image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/5857fda/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fed%2F59%2F1ae6f1cd4a7697b1c0ecf91dd4e8%2Fakbash-dog-ap-t8hml9-645-x-380.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/db1e9ae/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F6e%2F71c1d0c85111e096760050568d6ceb%2Ffile%2FAkbash-1-645km081611.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Akbash_Dog_male_2016.jpg
000004.jpg,https://www.dog-breeds-expert.com/images/Akbash.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/bd/5e3990c85111e096760050568d6ceb/file/Akbash-2-645km081611.jpg
000006.jpg,https://www.dogbreedplus.com/dog_breeds/images/akbash_dog_breed_02.jpg
000007.jpg,https://a-z-animals.com/media/animals/images/470x370/akbash_dog1.jpg
000008.jpg,https://www.vetarena.org/gallery/image-53.l.jpg
000009.jpg,https://animalsfocus.com/wp-content/uploads/2019/01/Akbash-6-630x381.jpg
000010.jpg,https://i.ytimg.com/vi/xzef5HxQ6Ig/maxresdefault.jpg
000011.jpg,https://i.pinimg.com/originals/2e/c5/4a/2ec54a1df986074ed97925f849b24d01.jpg
000012.jpg,https://i.pinimg.com/originals/86/c5/ad/86c5adfba90c02a85230d5c35f70c35c.jpg
000013.jpg,https://vetstreet-brightspot.s3.amazonaws.com/7a/64/4a940e4143e9bd4a6da929113146/akbash-3.jpg
000014.jpg,https://i1.wp.com/allbigdogbreeds.com/wp-content/uploads/2015/06/Akbash-dog-1.jpg?ssl=1
000015.jpg,https://www.puppyfind.com/breed/akbash/m_8h289t66t6.jpg
000016.jpg,http://doggydeals.com/wp-content/uploads/2013/07/Screen-shot-2013-07-16-at-2.26.01-PM.png
000017.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/07/the-akbash-davandra-cribbie.jpg
000018.jpg,https://idsb.tmgrup.com.tr/2015/05/10/HaberDetay/1431288621739.jpg
000019.jpg,http://www.dogzone.com/images/breeds/akbash-dog.jpg
000020.jpg,https://cdnuploads.aa.com.tr/uploads/Contents/2015/05/08/thumbs_b_c_93b7a3cfecc4a346ebdbe2c76260ec34.jpg
000021.jpg,https://savearescue.org/wp-content/uploads/2015/02/Akbash2.jpg
000022.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/02/Akbash-Dog-Pictures.jpg
000023.jpg,http://www.easypetmd.com/sites/default/files/imagecache/Portrait/Akbash_0.jpg
000024.jpg,https://dogsaholic.com/wp-content/uploads/2018/02/03-7051472299_114ce10aa3_o-001-1.jpg
000025.jpg,https://i.chzbgr.com/full/6981657344/h8D30884F/
000026.jpg,https://www.petguide.com/wp-content/uploads/2015/01/akbash-2.jpg
000027.jpg,https://justusdogs.com.au/wp-content/uploads/2019/05/Akbash-Dog-2.jpg
000028.jpg,https://dogsaholic.com/wp-content/uploads/2018/02/img-1452_orig-e1519547684736.jpg
000029.jpg,https://i.pinimg.com/originals/df/3a/60/df3a60d12e3dab8f3358442d2c493e52.jpg
000030.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/02/Akbash-Dog.jpg
000031.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Akbash-Dog-3.jpg
000032.jpg,https://www.dogbreedinfo.com/images14/akbashGoruntu_1.JPG
000033.jpg,http://www.easypetmd.com/sites/default/files/Akbash%20(4)_0.jpg
000034.jpg,http://www.belfairfarm.com/upload/528284/images/020.JPG
000035.jpg,https://images.wagwalkingweb.com/media/breed/akbash/hero/Akbash2.jpg
000036.jpg,https://www.petguide.com/wp-content/uploads/2015/01/akbash.jpg
000037.jpg,https://www.dogbreedinfo.com/images16/AkbashTeddy7months2.JPG
000038.jpg,http://allthingsranch.com/wp-content/uploads/2015/09/goat-pictures-570x350.jpg
000039.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/02/Akbash-Puppy.jpg
000040.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/%7Bslug%7D/hero/1535094144.97/akbash-dog-names.jpg
000041.jpg,https://i.ytimg.com/vi/bO0Wp3Ly9Cs/maxresdefault.jpg
000042.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/43591587/1/?bust=1558465534
000043.jpg,https://www.dog-breeds-expert.com/images/Akbash-resting.jpg
000044.jpg,https://s3-us-west-2.amazonaws.com/usedphotosna/73552449_614.jpg
000045.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41363003/4/?bust=1523300165&width=720
000046.jpg,http://1.bp.blogspot.com/-ShnbQ6i-JyE/WripnWFRUHI/AAAAAAABDPI/OI6GCGG5VycIOwgHUy1-G6jtcZ6ShX4LQCK4BGAYYCw/s1600/Akbash%2BDog%2B-%2BTurkish%2BDog-784099.png
000047.jpg,https://ckcusa.com/media/147395/akbash-dog.jpg?preset=ckcBreedImage375
000048.jpg,http://dogsbreedusa.online/wp-content/uploads/2017/12/Akbash.jpg
000049.jpg,http://www.easypetmd.com/sites/default/files/Akbash%20(3)_0.jpg
000050.jpg,https://i.pinimg.com/originals/12/d4/f2/12d4f2ad81cf97e2d0d9d6a1307b0fb1.jpg
