image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/alaskan-klee-kai-dog-breed-pictures/alaskan-klee-kai-breed-pictures-1.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Echo-standard-male-akk-2007.jpg/220px-Echo-standard-male-akk-2007.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/WOWAKK-Kukai-Alaskan-Klee-Kai.jpg
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/04/Alaskan-Klee-Kai-HP-long.jpg
000005.jpg,https://hellobark.com/wp-content/uploads/alaskan-klee-kai-9.jpg
000006.jpg,https://2.bp.blogspot.com/-mIFtxrBvzQ0/WkOtbC0hetI/AAAAAAAAHEs/iNug_pXZ-U0KRf3TQsX0V7lvOg-yZjo-gCLcBGAs/s1600/alaskan-klee-kai.png
000007.jpg,https://embarkvet.com/wp-content/uploads/2018/08/alaskan-klee-kai-5.jpg
000008.jpg,https://embarkvet.com/wp-content/uploads/2018/08/alaskan-klee-kai-1.jpg
000009.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Alaskan-Klee-Kai-walking-on-wooden-path-810x526.jpg
000010.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Alaskan-Klee-Kai-and-Husky-size-comparison-680x510.jpg
000011.jpg,http://www.puppyparadise.com/wp-content/uploads/2018/08/kleekai1.jpg
000012.jpg,https://www.thesprucepets.com/thmb/5KC7pEWHt7Q5Zf8vSSl86zB423E=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/Bi-eyed-alaskan-kleekai-5bd0a5c1c9e77c0051dd82ff.jpg
000013.jpg,https://i.pinimg.com/originals/68/df/ae/68dfae27a0edd9b1042b537bd8a5bef4.jpg
000014.jpg,https://cdn.fotofits.com/petzlover/gallery/img/l/alaskan-klee-kai-dogs-658583.jpg
000015.jpg,https://embarkvet.com/wp-content/uploads/2018/08/alaskan-klee-kai-2.jpg
000016.jpg,https://www.thurisiakennels.com/uploads/9/7/7/2/97727690/published/fullsizerender_1.jpg?1494451260
000017.jpg,http://i.imgur.com/V8nope5.jpg
000018.jpg,https://static1.squarespace.com/static/5c38c2438ab7223c1505514b/5c38fd56b8a045a25eb239ac/5c54f641e4966b0b81cd910f/1549129414920/image-6.jpg?format=500w
000019.jpg,http://www.spockthedog.com/wp-content/uploads/2013/02/Alaskan-Klee-Kai.jpg
000020.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/02/12195138/Alaskan-Klee-Kai-Kaiser-Agility.jpg
000021.jpg,https://hellobark.com/wp-content/uploads/alaskan-klee-kai-4.jpg
000022.jpg,https://i.ytimg.com/vi/veDO0Usfw_s/maxresdefault.jpg
000023.jpg,https://www.dogbreedplus.com/dog_breeds/images/miniature-alaskan-klee-kai.jpg
000024.jpg,http://cdn.akc.org/Enewsletter/Kizzy_AKC_Title.jpg
000025.jpg,http://houseofkleekai.com/wp-content/uploads/2018/05/33077648_1883033238394590_8816230921268101120_n.jpg
000026.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2018/08/Alaskan-Klee-Kai-e1534782667914-1600x700.jpg
000027.jpg,https://hellobark.com/wp-content/uploads/hello-bark-pomsky-2.jpg
000028.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2018/08/miniature-husky-aka-akk-dog-prancing-in-grass-1024x512.jpg
000029.jpg,https://i.imgur.com/SSdt1C4.jpg
000030.jpg,https://i.imgur.com/0KXcyi2.jpg
