image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/877186f/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F6e%2F28%2Fd2835a0d40b6a599461307bbad6b%2Falaskan-malamute-ap-qlqcnq-645-x-380.jpg
000002.jpg,https://www.pets4homes.co.uk/images/articles/4474/large/why-the-alaskan-malamute-is-so-well-suited-to-work-in-cold-weather-5a12ca2ddb6e2.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/300px-Alaskan_Malamute.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/alaskan-malamute-detail.jpg?bust=1535565041&width=355
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/10/alaskan-malamute-vs-siberian-husky-long.jpg
000006.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/07/alaskan-malamute-long.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001815/Alaskan-Malamute-On-White-03.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Puppy_Alaskan_Malamute.jpg/220px-Puppy_Alaskan_Malamute.jpg
000009.jpg,https://i.ytimg.com/vi/mX4Lt466sqM/hqdefault.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04151259/Alaskan-Malamute.jpg
000011.jpg,https://usercontent2.hubstatic.com/6837313_f520.jpg
000012.jpg,https://www.ctvsh.com/sites/default/files/styles/large/adaptive-image/public/alaskan-malamute-dog-breed-info.jpg?itok=4Ih_5Gy6
000013.jpg,https://vetstreet-brightspot.s3.amazonaws.com/82/071660a40111e087a80050568d634f/file/Alaskan-Malamute-3-605mk062311.jpg
000014.jpg,https://2.bp.blogspot.com/-pbdNn_1TOyI/V14_6BIJXGI/AAAAAAAAF2o/ZLRrUxl6G4AgMnWsattnhTdaoHGPwq9FwCKgB/s1600/Alaskan_Malamute_Lead_Shot.jpg
000015.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Alaskan-Malamute-2.jpg
