image,source
000001.jpg,https://i1.wp.com/www.petfriendlyhouse.com/wp-content/uploads/2018/11/Alaskan-Malamutes-Siberian-Husky-Differance.jpg?fit=955%2C637&ssl=1
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/51aa746/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fcf%2F9ae130a32b11e087a80050568d634f%2Ffile%2FAlaskan-Husky-2-645mk062411.jpg
000003.jpg,https://animalso.com/wp-content/uploads/2017/01/alaskan-husky_3.jpg
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/11/alaskan-husky-vs-siberian-husky-long.jpg
000005.jpg,https://animalso.com/wp-content/uploads/2017/01/alaskan-husky_7-300x225.jpg
000006.jpg,https://i.ytimg.com/vi/jdA4kMx68e8/maxresdefault.jpg
000007.jpg,https://qph.fs.quoracdn.net/main-qimg-6feb5db9664c7fa9e4707cf0d106f9dc
000008.jpg,https://cdn.petmoo.com/wp-content/uploads/2018/07/Alaskan-Husky-990x556.jpg
000009.jpg,https://media.buzzle.com/media/images-en/photos/mammals/dogs/1200-93445521-portrait-of-a-huskies.jpg
000010.jpg,http://www.arizonapetvet.com/blog/wp-content/uploads/2014/09/10603786_660688667361543_6090135285510374603_n.jpg
000011.jpg,https://indulgeyourpet.com/wp-content/uploads/Alaskan-Husky.png
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Idol_swingley.jpg
000013.jpg,http://www.dogzone.com/images/breeds/alaskan-husky.jpg
000014.jpg,https://live.staticflickr.com/8109/8478005296_10e7b3c196_b.jpg
000015.jpg,https://i.pinimg.com/originals/c8/e2/9a/c8e29accd3bde77e06109546ce0ad232.jpg
000016.jpg,https://pixfeeds.com/images/dogs/sled-dogs/1280-472178695-alaskan-malamute.jpg
000017.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2018/09/Alaskan-Husky-2.jpg?resize=750%2C570
000018.jpg,https://iditarodoutsider.files.wordpress.com/2013/02/siberianhusky1.jpg
000019.jpg,http://knightnews.com/wp-content/uploads/2018/05/imagejpeg_1-e1526584692203.jpg
000020.jpg,https://animalso.com/wp-content/uploads/2017/01/alaskan-husky-puppies_5.jpg
000021.jpg,http://www.parcjeandrapeau.com/medias/images/header/huskies-alaska-traineau-a-chiens-faq.jpg
000022.jpg,http://www.easypetmd.com/sites/default/files/Alaskan%20Husky%20(9).jpg
000023.jpg,https://i.pinimg.com/originals/ce/87/50/ce87506639058dea51823bb8b1a82fcf.jpg
000024.jpg,https://i.ytimg.com/vi/aR5ndhav6mU/hqdefault.jpg
000025.jpg,https://www.huskypuppiesinfo.com/wp-content/uploads/2018/03/Alaskan-Huskies.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/300px-Alaskan_Malamute.jpg
000027.jpg,https://c8.alamy.com/comp/PAMPB4/playful-alaskan-husky-dog-looks-straight-into-the-camera-while-laying-in-snow-PAMPB4.jpg
000028.jpg,https://www.petguide.com/wp-content/uploads/2015/01/alaskan-husky.jpg
000029.jpg,https://www.dogbreedinfo.com/images16/HuskyAlaskenSiberian3.JPG
000030.jpg,https://www.petmd.com/sites/default/files/breedopedia/Maya_0.jpg
000031.jpg,https://vetstreet.brightspotcdn.com/dims4/default/8bf5ebe/2147483647/crop/645x380%2B2%2B35/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F49%2Fe4%2F6d1e5475446ca6ba432b9f8bade9%2Falaskan-husky-3.jpg
000032.jpg,https://thehappypuppysite.com/wp-content/uploads/2017/12/alaskan4.jpg
000033.jpg,http://www.easypetmd.com/sites/default/files/Alaskan%20Husky%20(5).jpg
000034.jpg,https://www.petmd.com/sites/default/files/breedopedia/C36C16DC-B494-4B1E-BA50-48F538104586.jpeg
000035.jpg,https://hellobark.com/wp-content/uploads/alaskan-klee-kai-4.jpg
000036.jpg,https://www.dogbreedinfo.com/images14/AlaskanHuskyBaroncute.JPG
000037.jpg,https://c8.alamy.com/comp/M4KERN/an-alaskan-husky-dog-outdoors-M4KERN.jpg
000038.jpg,http://www.spockthedog.com/wp-content/uploads/2013/02/Alaskan-Husky.jpg
000039.jpg,http://dev.petcentral.chewy.com/wp-content/uploads/alaskan-husky-1.jpg
000040.jpg,https://i.pinimg.com/originals/5e/08/a4/5e08a407285a7a2eff2839d599df8017.jpg
000041.jpg,https://animalsadda.com/wp-content/uploads/2017/05/Alaskan-Husky-9.jpg
000042.jpg,http://ohl.co/wp-content/uploads/2014/05/Difference-between-Siberian-Husky-Alaskan-Malamute-featured-image-2.png
000043.jpg,https://i.ytimg.com/vi/y6lgIZr8Sfw/maxresdefault.jpg
000044.jpg,https://animalso.com/wp-content/uploads/2017/01/alaskan-husky-puppies_4.jpg
000045.jpg,https://www.russiandog.net/wp-content/uploads/2011/07/Alaskan-Husky-dog-sledding_780876-e1428243572877.jpg
000046.jpg,https://media.buzzle.com/media/images-en/photos/mammals/dogs/1200-19896317-sled-dog-race.jpg
000047.jpg,http://platpets.com/wp-content/uploads/2018/05/Alaskan-Husky-T.Bjornstad.png
000048.jpg,https://www.petinsurancequotes.com/app/uploads/2018/10/alaskan-husky-dog-insurance.jpg
000049.jpg,http://upload.wikimedia.org/wikipedia/commons/c/cf/Alaskan_Husky.jpg
000050.jpg,https://www.petguide.com/wp-content/uploads/2015/01/alaskan-husky-1.jpg
