image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2017/02/alpine-dachsbracke-2-501x668.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2017/02/alpine-dachsbracke.jpg
000004.jpg,http://www.dogzone.com/images/breeds/alpine-dachsbracke.jpg
000005.jpg,http://www.easypetmd.com/sites/default/files/Alpine%20Dachsbracke%20(3).jpg
000006.jpg,https://www.rover.com/blog/wp-content/uploads/2018/01/dachsbrake.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Alpine-Dachsbracke-Dog.jpg
000008.jpg,https://www.dogbreedinfo.com/images8/AlpineDachsbrackeDoeLola.jpg
000009.jpg,http://www.dogwallpapers.net/wallpapers/alpine-dachsbracke.jpg
000010.jpg,http://upload.wikimedia.org/wikipedia/commons/2/29/Alpenl_Dachsbracke_w.jpg
000011.jpg,https://a-z-animals.com/media/animals/images/470x370/alpine_dachsbracke1.jpg
000012.jpg,http://4paws4ever.net/images_dogs/alpine_dachsbracke.jpg
000013.jpg,http://www.easypetmd.com/sites/default/files/Alpine%20Dachsbracke%20(5).jpg
000014.jpg,https://wds2018.com/wp-content/uploads/2017/05/Alpenlandische.jpg
000015.jpg,https://img.dog-learn.com/dog-breeds/alpine-dachsbracke/alpine-dachsbracke-i13-sz6.jpg
000016.jpg,http://www.easypetmd.com/sites/default/files/Alpine%20Dachsbracke.jpg
000017.jpg,https://i1.wp.com/www.mascotarios.org/wp-content/uploads/2011/08/AlpineDachsbracke.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Westf%C3%A4lische_Dachsbracke.jpg
000019.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Alpenlandische-Dachsbracke.gif
000020.jpg,https://i.pinimg.com/236x/dc/94/9d/dc949d3cbf1f3b0df463341038daece5--alpine-dog-breeds.jpg
000021.jpg,https://www.featurepics.com/StockImage/20140717/alpine-dachsbracke-dog-stock-photo-3135511.jpg
000022.jpg,https://minepuppy.com/wp-content/uploads/2018/02/Alpine-Dachsbrackes-breed-minepuppy.jpg
000023.jpg,https://previews.123rf.com/images/capturelight/capturelight1212/capturelight121200002/16686042-portrait-of-an-alpine-dachsbracke-dog.jpg
000024.jpg,https://minepuppy.com/wp-content/uploads/2018/02/Alpine-Dachsbrackes-breed-puppy-minepuppy.jpg
000025.jpg,https://i.pinimg.com/236x/08/c2/d4/08c2d4bc1bd6677d3c4fd858af77ce6d--alpine-html.jpg
000026.jpg,http://www.dogwallpapers.net/wallpapers/alpine-dachsbracke-zoe-wallpaper.jpg
000027.jpg,http://www.easypetmd.com/sites/default/files/Alpine%20Dachsbracke%20(9).jpg
000028.jpg,https://www.pets4homes.co.uk/images/classifieds/2018/09/25/2075044/large/beau-male-alpine-bassett-hound-alpine-dachsbracke-5baab8feeba30.jpg
000029.jpg,http://www.dogwallpapers.net/wallpapers/three-alpine-dachsbracke-puppies-wallpaper.jpg
000030.jpg,https://d83vwgwvylun0.cloudfront.net/img/s/19-alpine-dachsbracke.jpg
000031.jpg,https://thumbs.dreamstime.com/z/alpine-dachsbracke-puppy-ger-alpenl%C3%A4ndische-small-breed-dog-scent-hound-type-originating-austria-was-bred-to-track-144078337.jpg
000032.jpg,https://images.ctfassets.net/w00x6p5qkejz/3FPRn5EoPYaguueqKOQqyo/8033cb67b65eccb43ae1276b1c0b9cf8/Alpine_Dachsbracke___2_.jpg
000033.jpg,https://c8.alamy.com/comp/X0690D/alpine-dachsbracke-X0690D.jpg
000034.jpg,http://www.easypetmd.com/sites/default/files/Alpine%20Dachsbracke%20(8).jpg
000035.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1803/dneprstock180300002/97251709-alpine-dachsbracke-dog-digital-art-illustration-isolated-on-white-background-small-breed-of-dog-of-t.jpg
000036.jpg,https://c8.alamy.com/comp/HBB06K/alpine-dachsbracke-bitch-in-germany-HBB06K.jpg
000037.jpg,http://www.petpaw.com.au/wp-content/uploads/2014/06/Alpine-Dachsbracke-2.jpg
000038.jpg,https://minepuppy.com/wp-content/uploads/2018/02/Alpine-Dachsbrackes-breed-puppies-minepuppy.jpg
000039.jpg,https://i.ytimg.com/vi/eW5BEzzIVYE/maxresdefault.jpg
000040.jpg,https://images.ctfassets.net/w00x6p5qkejz/3u5T88JNoAwOQcGOYqGMKg/0af2c8d73477942f4a275302ff31f703/Alpine_Dachsbracke___3_.jpg
000041.jpg,https://cdn.fotofits.com/petzlover/MERGE_HORIZONTAL/gallery/img/l/alpine-dachsbracke-658540.jpg/_MERGE_/gallery/img/l/labrador-retriever-656532.png
000042.jpg,https://library.kissclipart.com/20190209/woe/kissclipart-westphalian-dachsbracke-clipart-drever-alpine-dach-467e6e1e093c5b3e.png
000043.jpg,https://i.pinimg.com/originals/e9/2a/33/e92a33a1c14411ad5a25055dd60078ca.jpg
000044.jpg,https://www.hdwallpapersnature.com/wp-content/uploads/2019/03/Perfect-Alpine-Dachsbracke-HD-Wallpapers-660x330.jpg
000045.jpg,https://2puppies.com/api/media/cache/breed_photo/Alpine-Dachsbracke/Alpine-Dachsbracke-1.jpg
000046.jpg,https://2puppies.com/api/media/cache/breed_photo/Alpine-Dachsbracke/Alpine-Dachsbracke-2.jpg
000047.jpg,https://t3.ftcdn.net/jpg/02/18/98/40/500_F_218984027_5tiqSNCp9pYx5PIuw7Jqhdd5wdmkBVF7.jpg
000048.jpg,https://www.mascotarios.org/wp-content/uploads/2011/08/bassetalpino.jpg
000049.jpg,https://www.milouchouchou.com/milannu/inc/im_cat/254.jpg
000050.jpg,https://images-na.ssl-images-amazon.com/images/I/91fAY-SaaOL._SL1500_.jpg
