image,source
000001.jpg,https://www.petful.com/wp-content/uploads/2016/01/American-Hairless-Terrier-750x419.jpg
000002.jpg,https://d.newsweek.com/en/full/412269/1-6-16-american-hairless-terrier.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001608/American-Hairless-Terrier-On-White-01.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05144429/American-Hairless-Terrier.jpg
000005.jpg,https://images-na.ssl-images-amazon.com/images/I/413X9eRiJpL._SX331_BO1,204,203,200_.jpg
000006.jpg,http://www.dogspotters.com/dog-breed-photos/amehaite.jpg
000007.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_terrier_americanhairlessterrier_181119.jpg
000008.jpg,https://i.pinimg.com/originals/0d/cb/a1/0dcba14b578aa71da9da611cca6aa676.jpg
000009.jpg,https://dogsbreedusa.online/american-hairless-terrier/american-hairless-terrier-images-2/
000010.jpg,https://threedog.com/app/uploads/uploaded_images/hairless-marcus-courtesy-of-victor-helu-2.jpeg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/American-Hairless-Terrier-1.jpg
000012.jpg,https://dogable.net/wp-content/uploads/2013/12/american-hairless-terrier-300x265.jpg
000013.jpg,https://www.dogbreedinfo.com/images/americanhairlessstandripley.JPG
000014.jpg,https://www.genomia.cz/podklady/AHT-hairlesness.jpg
000015.jpg,https://vippuppies.com/wp-content/uploads/2016/11/American-Hairless-Terrier.jpg
000016.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/6/61/American-Hairless-Terrier.jpg/revision/latest?cb=20180125220159
000017.jpg,https://res.cloudinary.com/fwkc-production/image/upload/v1/fwkc-prod/JG7D5005
000018.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/American-hairless-terrier-in-grass-810x510.jpg
000019.jpg,http://www.worldlifeexpectancy.com/images/a/d/d/b/american_hairless_terrier/american_hairless_terrier_1.jpg
000020.jpg,https://dogbreedsfaq.com/wp-content/uploads/American-Hairless-Terrier-puppy-standing-on-the-lawn.jpg
000021.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/11/american-hairless-terriers-4-grey-puppy-portrait.jpg
000022.jpg,https://minepuppy.com/wp-content/uploads/2018/02/American-Hairless-Terrier-breed-minepuppy.jpg
000023.jpg,http://siggysparadise.com/wp-content/uploads/2018/07/Morenos-AHTs.jpg
000024.jpg,https://championshipbreeders.com/wp-content/uploads/2016/08/X-Jake-2012_picmonkeyed.jpg
000025.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/american-hairless-terrier-puppy-with-gray-spots-680x600.jpg
000026.jpg,https://www.iams.com/breedselector/images/22a90128bb908acbcc5fabc36bb14c84.jpg
000027.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001621/American-Hairless-Terrier-Care.jpg
000028.jpg,https://www.smalldogplace.com/images/americanhairless.png
000029.jpg,https://images.wagwalkingweb.com/media/breed/american-hairless-terrier/hero/American-Hairless-Terrier.jpg
000030.jpg,http://thepetwiki.com/wp-content/uploads/300px-American_Hairless_Terrier.jpg
000031.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100369.jpg
000032.jpg,https://www.dogster.com/wp-content/uploads/2016/02/am-hairless-PL3A1069-600x480-1.jpg
000033.jpg,https://st4.depositphotos.com/2767372/23470/i/1600/depositphotos_234701884-stock-photo-american-hairless-terrier-dog-close.jpg
000034.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/American-Hairless-Terrier.jpg
000035.jpg,https://i.ebayimg.com/images/g/8ecAAOSwFqJWonsM/s-l300.jpg
000036.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/American-Hairless-Terrier-Dog.jpg
000037.jpg,https://images.ctfassets.net/w00x6p5qkejz/2DMloAsT9KIWg0SUOEIe4E/76c15ef308b0301f0b7c882499878a36/American_Hairless_Rat_Terrier_300x300-1.jpg
000038.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/American-Hairless-Terrier-3.jpg
000039.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/76.3-1.jpg
000040.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12220746/American-Hairless-Terrier-Illo-2.jpg
000041.jpg,https://dogloversmagazine.com/wp-content/uploads/2018/02/AmericanHairlessTerrier.jpg
000042.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/04/16/nbc_dog_terrier_americanhairlessterrier_170412.jpg
000043.jpg,https://i.ytimg.com/vi/yofEP7Vt9YQ/maxresdefault.jpg
000044.jpg,http://www.thedogplace.org/images/breeds/American-Hairless-Terrier/Adult-Index_Murphy.jpg
000045.jpg,https://st4.depositphotos.com/2767372/21238/i/1600/depositphotos_212388760-stock-photo-american-hairless-terrier-dog-sitting.jpg
000046.jpg,https://i.pinimg.com/originals/6a/1a/ca/6a1aca37bd1237255f600687110332b4.jpg
000047.jpg,https://www.puppyfind.com/breed/american_hairless_terrier/m_i4rr7y5mqd.jpg
000048.jpg,http://www.thedogplace.org/images/breeds/American-Hairless-Terrier/Poston_Lynn-REP-GRCH-Nekid&Kalon'sDistinctlyDevine.jpg
000049.jpg,http://2.bp.blogspot.com/-88uf8ZLc7K4/UK-Q8FH4I3I/AAAAAAAABmw/A5RDyAgdv54/s1600/american-hairless1.jpg
000050.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/TagnonPond9-6-03.jpg
