image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/pit-bull-dog-breed-pictures/pit-bull-dog-breed-picture-1.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/American_Pitbull_Terrier_-_Colby_Line.jpg/220px-American_Pitbull_Terrier_-_Colby_Line.jpg
000003.jpg,https://www.thesprucepets.com/thmb/QPIrLXhho12oGRQdwpciJ1dGLos=/1885x1414/smart/filters:no_upscale()/AmericanStaffordshireTerrier-GettyImages-930740994-7d8a39011d0b41958d7bb02a44e899e5.jpg
000004.jpg,https://pet-uploads.adoptapet.com/5/e/9/394821391.jpg
000005.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/American-Pit-Bull-Terrier-2.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/04/a1/b1095a4c4b1f97f6fc3e44a89b67/american-pit-bull-terrier-ap-utwch7-645sm1416.jpg
000007.jpg,https://www.zooplus.de/magazin/CACHE_IMAGES/768/content/uploads/2017/07/american-pit-bull-terrier-im-grass.jpg
000008.jpg,http://geniusvets.s3.amazonaws.com/gv-dog-breeds/american-pitbull-2.jpg
000009.jpg,https://www.pitbulllovers.com/wp-content/uploads/2017/11/The-History-of-Brindle-Pit-Bulls_compressed-1-696x356.jpg
000010.jpg,https://vetstreet-brightspot.s3.amazonaws.com/d9/a2/eea2c82e4178b558c76beeb878eb/american-pit-bull-terrier-ap-f8w0ex-645sm1416.jpg
000011.jpg,https://cdn.britannica.com/s:300x300/27/123727-004-53258EA1.jpg
000012.jpg,https://americanpitbullfoundation.com/wp-content/uploads/2013/11/pit-toby.jpg
000013.jpg,https://www.dogbreedinfo.com/images30/PitBullRedNoseBlueNoseAPBTDogsSailorLeiaRescues.jpg
000014.jpg,https://www.petguide.com/wp-content/uploads/2015/06/american-pitbull-terrier.jpg
000015.jpg,https://miro.medium.com/max/1838/1*SwhHHcHA2v2U-atFYOU51g.jpeg
000016.jpg,https://i.pinimg.com/originals/70/bd/e5/70bde558835ff0d2b29154150a2a784c.jpg
000017.jpg,https://spcanevada.org/wp-content/uploads/2016/12/Muster-Pitty.png
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/%282%29_Pit_Bull_buckskin_named_Perla.jpg
