image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/anatolian-shepherd-detail.jpg?bust=1535565105&width=355
000002.jpg,http://cdn.akc.org/Anatolian_Portrait.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Varish.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001436/Anatolian-Shepherd-Dog-On-White-01.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001445/Anatolian-Shepherd-Dog-Care.jpg
000006.jpg,https://www.petmd.com/sites/default/files/breedopedia/255520_4765578587286_914950299_n.jpg
000007.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22910_anatolian-shepherd-dog-460x290.jpg
000008.jpg,https://3.bp.blogspot.com/-FLR3ZQ-MJls/V7zRE6rk6XI/AAAAAAAAHi0/08YmE0TCAg8PIxtsDrpOYA7bIZv7TFMvgCLcB/s1600/Anatolian-Shepherd-Dog.jpg
000009.jpg,https://i.ytimg.com/vi/3C-TV_FemqA/maxresdefault.jpg
000010.jpg,https://vetstreet.brightspotcdn.com/dims4/default/36ac057/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F05%2Fc61bc0a32d11e087a80050568d634f%2Ffile%2FAnatolian-Shepherd-1-645mk062411.jpg
000011.jpg,https://vetstreet-brightspot.s3.amazonaws.com/27/890870a32e11e087a80050568d634f/file/Anatolian-Shepherd-2-645mk062111.jpg
000012.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Anatolian-Shepherd.jpg
000013.jpg,http://www.dogspotters.com/dog-breed-photos/anatshep.jpg
000014.jpg,https://i0.wp.com/www.simplypets.com/wp-content/uploads/2019/05/1a.jpg?fit=980%2C549&ssl=1
000015.jpg,https://images.ctfassets.net/w00x6p5qkejz/5P26FPdTGwAWUIAQyeAocs/c00cd035965edc0f6bd14c07b445c34b/Anatolian_Shepherd_Dog2.png
000016.jpg,https://www.petguide.com/wp-content/uploads/2013/02/anatolian-shepherd-dog-puppies.jpg
000017.jpg,http://www.easypetmd.com/sites/default/files/Anatolian%20Shepherd%20Dog%20(1).jpeg
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/44/d0e9c0a32e11e087a80050568d634f/file/Anatolian-Shepherd-3-645mk062111.jpg
000019.jpg,http://breedfinder.ikc.ie/Content/images/breeds/189_anatolian_shepherd_dog.jpg
000020.jpg,https://indulgeyourpet.com/wp-content/uploads/Anatolian-Shepherd-Puppy.png
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Anatolian-Shepherd-Dog-Pictures.jpg
000022.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-AB/anatolianshepherddogs-th.jpg
000023.jpg,https://images.wagwalkingweb.com/media/breed/anatolian-shepherd-dog/appearance/anatolian-shepherd-dog.png
000024.jpg,https://www.pets4homes.co.uk/images/breeds/196/large/0acf044e26a2c2e2968167a2a717dd11.jpg
000025.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Anatolian-Shepherd-1-e1533682437801.jpg
000026.jpg,https://i.pinimg.com/originals/82/4f/73/824f73f38cab60de591fba11f79fb054.jpg
000027.jpg,http://cdn.akc.org/content/article-body-image/Michelle_Shiue_bom.jpg
000028.jpg,https://i.ytimg.com/vi/-ogW-rUH298/maxresdefault.jpg
000029.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/anatolian-shepherd-dog-breed-pictures/anatolian-shepherd-dog-breed-pictures-1.jpg
000030.jpg,https://i.ytimg.com/vi/A34JeLoTzzU/maxresdefault.jpg
000031.jpg,http://cdn.akc.org/content/article-body-image/anatolian_shep_hero.jpg
000032.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/anatolian-shepherd_01_lg.jpg
000033.jpg,https://www.petful.com/wp-content/uploads/2014/08/Anatolian-Shepherd-Dog-750x399.jpg
000034.jpg,http://thepetwiki.com/wp-content/uploads/300px-Anatolian_Shepherd_Dog.jpg
000035.jpg,http://www.marblepeaks.com/uploads/2/1/9/9/21991758/3231891.jpg
000036.jpg,http://www.dogbreedslist.info/uploads/allimg/dog-pictures/Anatolian-Shepherd-Dog-1.jpg
000037.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/2017-12/anatolian_shepherd_dog_400x378_0.jpg
000038.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12220738/Anatolian-Shepherd-Dog-Illo-2.jpg
000039.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/11/anatolian-shepherd-great-pyrenees-mix-long.jpg
000040.jpg,https://www.k9rl.com/wp-content/uploads/2016/06/Anatolian-Shepherd-photo.jpg
000041.jpg,https://www.pets4homes.co.uk/images/breeds/196/large/f2a4982ff6852b44ef9124027ce1cc40.jpg
000042.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/04/16/nbc_dog_working_anatolianshepherd_170412.jpg
000043.jpg,http://images.livingthecountrylife.mdpcdn.com/sites/livingthecountrylife.com/files/styles/story_detail/public/AnatolainShepherds%28courtesyDogBreedInfo.com%29.jpg?itok=iqgrYal3
000044.jpg,https://www.dogtemperament.com/wp-content/uploads/2016/06/anatolian-shepherd-dog-min.jpg
000045.jpg,https://animalsadda.com/wp-content/uploads/2013/05/Anatolian-Shepherd-Dog.jpg
000046.jpg,https://upsidedowndogs.com/wp-content/uploads/2018/01/Fletcher-Lou-the-Anatolian-Shepherd-Dog.jpg
000047.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001439/Anatolian-Shepherd-Dog-MP.jpg
000048.jpg,https://img.thrfun.com/img/149/099/anatolian_shepard_x5.jpg
000049.jpg,https://archive.content.aah.net.au/files/images/Breed-anatolian.jpg
000050.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555335150/shape/mentalfloss/14912285851_c499006d71_z.jpg
