image,source
000001.jpg,http://www.easypetmd.com/sites/default/files/Artois_Hound.jpg
000002.jpg,http://www.dogzone.com/images/breeds/artois-hound.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Artois-Hound-Photos.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Artois-Hound.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Briquet-dArtois.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2018/08/artois-hound.jpg
000007.jpg,https://i0.wp.com/www.mascotarios.org/wp-content/uploads/2011/04/BassetArtois.jpg
000008.jpg,https://dogsbreedusa.online/wp-content/uploads/2017/12/Artois-Hound-Dog.jpg
000009.jpg,https://www.petguide.com/wp-content/uploads/2018/08/artois-hound-1.jpg
000010.jpg,https://i.pinimg.com/236x/2f/8a/42/2f8a422e1501e859790da96f825b4e80--basset-hound-puppy-hound-puppies.jpg
000011.jpg,https://i.pinimg.com/236x/b9/7d/75/b97d7589bc3e27884dfc0a45349dfa3b--coin-atlas.jpg
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Artois-Hound-Pictures.jpg
000013.jpg,https://i.pinimg.com/236x/fc/e0/a0/fce0a0dfc8d7c1818211b67dc1aa502c--dog-breeds-th-century.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Images-of-Artois-Hound.jpg
000015.jpg,https://images-na.ssl-images-amazon.com/images/I/518SCRRRV0L._SX466_.jpg
000016.jpg,https://i.pinimg.com/originals/31/f8/d5/31f8d5d9258b22c4f5a75a7116c42f59.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Artois-Hound-Puppies.jpg
000018.jpg,http://pets-place.net/Breeds/A/ArtoisHoundImage1.jpg
000019.jpg,https://alchetron.com/cdn/artois-hound-a6394899-237f-46e6-a0f5-0cf7b6ae307-resize-750.jpeg
000020.jpg,https://c8.alamy.com/comp/GDA33G/artois-hound-puppies-sitting-GDA33G.jpg
000021.jpg,https://i.pinimg.com/originals/fc/46/91/fc46917a936fa1d6a2a8452a08e837f3.jpg
000022.jpg,https://c8.alamy.com/comp/X9M3BA/artois-hound-puppies-sitting-X9M3BA.jpg
000023.jpg,https://i.pinimg.com/736x/11/b4/b7/11b4b71077a2e86fe8e82fdf6e2fb2cf.jpg
000024.jpg,https://c8.alamy.com/comp/X3DC2A/artois-hound-dog-X3DC2A.jpg
000025.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Artois-Hound-Images.jpg
000026.jpg,https://i.ytimg.com/vi/M7GX5knszyU/hqdefault.jpg
000027.jpg,https://thumbs.dreamstime.com/z/artois-hound-dog-digital-art-illustration-isolated-white-background-artois-hound-rare-breed-dog-artois-hound-dog-116533891.jpg
000028.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/French-Artois-Hound.jpg
000029.jpg,http://www.petpaw.com.au/wp-content/uploads/2012/07/Artois-Hound-2.jpg
000030.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Artois_from_1915.JPG
000031.jpg,http://3.bp.blogspot.com/-8Uw093fCcUc/T4Z_sKu9PFI/AAAAAAAAAHg/a24Nblh9snw/s1600/Artois-Hound-Dog-overview.jpg
000032.jpg,https://thumbs.dreamstime.com/z/artois-hound-dog-vector-illustration-style-flat-86010800.jpg
000033.jpg,https://www.kimballstock.com/pix/DOG/14/DOG_14_KH0020_01_P.JPG
000034.jpg,http://www.furrycritter.com/fcn/assets/img/dogs/Artois_Hound.jpg
000035.jpg,https://c8.alamy.com/comp/GDA348/artois-hound-dog-GDA348.jpg
000036.jpg,https://t2.thpservices.com/previewimage/gallil/d5c0db3430e074058d5f935ca93b2aee/tfa-bs-04281.jpg
000037.jpg,https://2puppies.com/api/media/cache/breed_photo/Artois-Hound/Artois-Hound-2.jpg
