image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/ACD-blue-spud.jpg
000002.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/australian-cattle-dog-dog-breed-pictures/7-sidestanding.jpg
000003.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/australian-cattle-dog_01_lg.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001403/Australian-Cattle-Dog-On-White-03.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/de/7c1c30c81c11e09b940050568d6ceb/file/Australian-Cattle-Dog-1-AP-645km081611.jpg
000006.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/australian-cattle-dog-detail.jpg?bust=1535565115&width=355
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06162729/Australian_Cattle_Dog.jpg
000008.jpg,https://topdogconeyisland.com/wp-content/uploads/2018/08/pictures-of-australian-cattle-dogs.jpg
000009.jpg,https://www.showsightmagazine.com/files/news/5af4d0d1ab2bf4.57340818.jpg
000010.jpg,http://www.dogspotters.com/dog-breed-photos/auscatdo.jpg
000011.jpg,http://media.gettyimages.com/photos/australian-cattle-dog-picture-id153533609?s=170667a&w=1007
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Australian_Stumpy_Tail_Cattle_Dog.jpg
000013.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44837846/1/?bust=1559269166&width=720
000014.jpg,https://cdn.britannica.com/s:300x300/58/8158-004-59373564.jpg
000015.jpg,https://i.pinimg.com/originals/ba/3f/ef/ba3fef2891824cfca6eb73c4d2bd5cca.jpg
000016.jpg,https://threedog.com/app/uploads/uploaded_images/adobestock-189787864.jpeg
000017.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/43020720/1/?bust=1560739667
000018.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/10/australian-shepherd-vs-australian-cattle-dog-long.jpg
000019.jpg,https://previews.123rf.com/images/adogslifephoto/adogslifephoto1410/adogslifephoto141000207/32487317-a-friendly-australian-cattle-dog-which-is-also-known-as-a-red-heeler-sitting-to-the-side-with-a-happ.jpg
000020.jpg,http://www.petsworld.in/blog/wp-content/uploads/2015/02/Australian-Cattle-Dog.jpg
000021.jpg,https://doglime.com/wp-content/uploads/2019/02/Australian-Cattle-Dog-Breed-Information.jpg
000022.jpg,https://media.istockphoto.com/photos/australian-cattle-dog-sitting-in-front-of-a-white-background-picture-id508856988?k=6&m=508856988&s=612x612&w=0&h=Sx9cFoWey-JvSnH6udHhaMfWUHcJsZ8fOmontqB8xgI=
000023.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555351407/shape/mentalfloss/istock_000049445992_small.jpg
000024.jpg,https://www.rover.com/blog/wp-content/uploads/2017/07/aussie-cattle-dog-blue-heerler-red-heeler-lovers-960x540.jpg
000025.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213330/Australian-Cattle_Dog-MP.jpg
000026.jpg,https://www.thesprucepets.com/thmb/-oDfwzzm7t9qHupA3Sx2ojWsCyw=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/australian-cattle-dog-1000501490-5bc4d493c9e77c005151358a.jpg
000027.jpg,https://res.cloudinary.com/fwkc-production/image/upload/c_fit,dpr_3.0,f_auto,g_center,h_430,q_auto,w_768/v1/fwkc/import/1052
