image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/ae3f8da/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F2d%2F9e89f0a32f11e087a80050568d634f%2Ffile%2FAustralian-Kelpie-2-645mk062411.jpg
000002.jpg,https://www.pets4homes.co.uk/images/breeds/393/large/8f237c7199c789e0199941ec686a4087.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Hilu_the_Australian_Kelpie_dog.jpg
000004.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Australian-Kelpie_Mobile.jpg?h=300&la=en&w=375&hash=E8564C29810A677BB55B79692D948438
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14153647/Australian-Kelpie.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/3d/518d20a32f11e087a80050568d634f/file/Australian-Kelpie-3-645mk062411.jpg
000007.jpg,https://cdn1-www.dogtime.com/assets/uploads/2018/04/australian-kelpie-dog-breed-pictures-header-460x260.jpg
000008.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/australian-kelpie-dog-breed-pictures/australian-kelpie-dog-breed-pictures-1.jpg
000009.jpg,https://www.petguide.com/wp-content/uploads/2014/08/australian-kelpie.png
000010.jpg,https://phz8.petinsurance.com/-/media/all-phz-images/2016-images-breeds-850/australian_kelpie850.jpg
000011.jpg,https://cdn.shopify.com/s/files/1/0839/5903/products/978197540365.jpg?v=1525877701
000012.jpg,https://4.bp.blogspot.com/-LO6e4PI9LKw/V5f_W1VqT8I/AAAAAAAAG-g/x-0Gqwq3zoQqJfUQHmxFuJDdTTdJyRQBQCEw/s1600/Brown-Australian-Kelpie-Dog-On-Rock.jpg
000013.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/03/australian-kelpie.jpg
