image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23168_australian-shepherd-460x290.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/australian-shepherd-detail.jpg?bust=1535565122&width=355
000003.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/austalian-shepherd-dog-breed-pictures/1-face.jpg
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/11/mini-australian-shepherd-long.jpg
000005.jpg,https://www.dogster.com/wp-content/uploads/2018/06/Two-Australian-Shepherds-running.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/dd360fc/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F6a%2F236920a41c11e087a80050568d634f%2Ffile%2FAustralian-Shepherd-2-645mk062111.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03173132/Australian-Shepherd.1.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03172411/Australian-Shepherd-Care1.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04113830/Australian-Shepherd.10440112.jpg
000010.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555379306/shape/mentalfloss/istock_000040509734_small.jpg
000011.jpg,https://www.ctvsh.com/sites/default/files/styles/large/adaptive-image/public/australian-shepherd-dog-breed-info.jpg?itok=aFnCNI2l
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Redtriaussie01.jpg
000013.jpg,https://vetstreet.brightspotcdn.com/dims4/default/3e9ab5f/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F95%2Fb1c550a41c11e087a80050568d634f%2Ffile%2FAustralian-Shepherd-4-645mk062111.jpg
000014.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/01/australian-shepherd-colors-long.jpg
000015.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03184922/Aussie.history.jpg
000016.jpg,https://www.dogbreedinfo.com/images31/AustralianShepherdsTricolorZoey2YearsOldBeauMerle1YearsOldDogs.jpg
000017.jpg,https://vetstreet.brightspotcdn.com/dims4/default/d5e8451/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F6b%2F4a%2F95942b2b42269144fc87f33bd93e%2Faustralian-shepherd-ap-kfqkvx-645-x-380.jpg
000018.jpg,http://nebula.wsimg.com/65a9776f17fba147475e7f0342b43838?AccessKeyId=2A05325601B974ABC199&disposition=0&alloworigin=1
000019.jpg,https://www.dognutrition.com/wp-content/uploads/2019/04/Australian-Shepherd-Dog-Breed-Puppy.png
000020.jpg,https://storage.googleapis.com/nom-nom-now/images/breeds/australian-shepherd.jpg
