image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/silky-terrier-dog-breed-pictures/2-side.jpg
000002.jpg,https://www.pets4homes.co.uk/images/articles/4035/large/yorkshire-terrier-or-australian-silky-terrier-which-is-best-for-you-58f76a1f5b59a.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Australian_Silky_Terrier_Alana_Of_Silky%27s_Dream.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224155/Silky-Terrier-Care.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224133/Silky-Terrier-On-White-01.jpg
000006.jpg,https://i.pinimg.com/originals/30/97/a4/3097a403187a1ae63ab7e8a0fdab620e.jpg
000007.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/96-Silky-Terrier.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Silkyterrier125.jpg/200px-Silkyterrier125.jpg
000009.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/silky-terrier-detail.jpg?bust=1535566605&width=355
000010.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/silky-terrier-card-small.jpg?bust=1535567877
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Australian-Silky-Terrier-1.jpg
000012.jpg,https://www.petful.com/wp-content/uploads/2015/11/silky-terrier-breed-profile.jpg
000013.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23128_silky-terrier-460x290.jpg
000014.jpg,https://www.k9rl.com/wp-content/uploads/2016/02/Silky-Terrier-800x510.jpg
000015.jpg,http://breedfinder.ikc.ie/Content/images/breeds/161_australian_silky_terrier.jpg
000016.jpg,https://i.pinimg.com/736x/bf/b1/3c/bfb13c40c9e7936974a9b4a0bb3be6b9.jpg
000017.jpg,http://www.dogster.com/wp-content/uploads/2016/08/Silky-Terrier_3.jpg
000018.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Australian-Silky-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=D11428E9A37CED412B962BA090A3FBA9
000019.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-RS/silkyterriersf4.jpg
000020.jpg,https://img-aws.ehowcdn.com/600x600p/photos.demandstudios.com/getty/article/178/127/87788133.jpg
000021.jpg,https://animalsadda.com/wp-content/uploads/2016/04/Australian-Silky-Terrier-4.jpg
000022.jpg,http://www.dogster.com/wp-content/uploads/2016/08/Silky-Terrier_2.jpg
000023.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_7245dc10-eb13-406d-bc48-b120ffd5aa37.jpg
000024.jpg,https://cdn.omlet.co.uk/images/cache/511/768/Dog-Silky_terrier-a_happy_australian_silky_terrier_ready_to_play.jpg
000025.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/06/Australian-Silky-Terrier-3-1.jpg
000026.jpg,https://i.ytimg.com/vi/oIZtyB3l5d8/maxresdefault.jpg
000027.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c2dd7cf/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fe0%2Fb2%2F08e3fdd7428a88548e3488e87602%2Fsilky-terrier-AP-OMREIR-645sm52313.jpg
000028.jpg,https://mypetworld.in/wp-content/uploads/2018/08/Australian-Silky-Terrier-Riley.jpg
000029.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20203728/Yorkshire-Terrier-2.1-400x267.jpg
000030.jpg,https://www.mascotarios.org/wp-content/uploads/2011/08/AustralianSilkyTerrier.jpg
000031.jpg,https://s3-ap-southeast-2.amazonaws.com/profile.ppets/1404/large/2374685875c68f5e050c5e1.23048753-profile-1404.jpg
000032.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/03/tt.jpg
000033.jpg,https://www.dogbreedplus.com/dog_breeds/images/australian_silky_terrier.jpg
000034.jpg,https://thumbs.dreamstime.com/z/typical-australian-silky-terrier-garden-spring-70800159.jpg
000035.jpg,https://i.pinimg.com/originals/f6/a0/63/f6a0632d0852faf2798e481f09755a08.jpg
000036.jpg,https://www.dogslife.com.au/wp-content/uploads/2008/08/Silky-terrier-624x390.jpg
000037.jpg,https://images.wagwalkingweb.com/media/breed/aussie-silk-terrier-australian-terrier-and-silky-terrier-mix/hero/Aussie-Silk-Terrier.jpg
000038.jpg,https://vetstreet-brightspot.s3.amazonaws.com/eb/0af970a80611e0a0d50050568d634f/file/Silky-Terrier-1-645mk062811.jpg
000039.jpg,https://images.wagwalkingweb.com/media/breed/silky-terrier/appearance/silky-terrier.png
000040.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/1492.jpg
000041.jpg,https://www.petlandbluesprings.com/wp-content/uploads/2017/04/silky-terrier1-300x300.jpg
000042.jpg,https://www.theanimalfiles.com/images/australian_silky_terrier_1.jpg
000043.jpg,http://jesterssilkyterriers.weebly.com/uploads/3/9/8/8/3988373/8140535.jpg?368
000044.jpg,https://previews.123rf.com/images/boitano/boitano1811/boitano181100208/113497331-an-adorable-australian-silky-terrier-sitting-against-a-white-background-with-shadow-reflection-dog-s.jpg
000045.jpg,https://www.selectadogbreed.com/media/1488/australiansilkyterrier_adult.jpg
000046.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Silky-Terrier.jpg
000047.jpg,https://s-media-cache-ak0.pinimg.com/736x/ac/94/5c/ac945cf3b23b44c01bbea886088059a9.jpg
000048.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Australian-Silky-Terrier-3.jpg
000049.jpg,https://www.aprpets.org/sites/americaspetregistry/uploads/images/breeds/dogs/Silky-Terrier.jpg
000050.jpg,https://www.petmd.com/sites/default/files/breedopedia/335535_10150336228531260_1112638340_o.jpg
