image,source
000001.jpg,http://www.dogzone.com/images/breeds/austrian-pinscher.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Pinczer_austiacki_678.jpg
000003.jpg,https://www.pets4homes.co.uk/images/articles/2542/large/is-the-austrian-pinscher-a-good-choice-of-pet-54c1262787f87.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Austrian-Pinscher-1.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Austrian-Pinscher.jpg
000006.jpg,https://i.pinimg.com/originals/fd/08/8f/fd088f0edea4debdf0d61458c1d2ccda.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Austrian-Pinscher-Images.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Austrian-Pinscher-2.jpg
000009.jpg,http://www.worldlifeexpectancy.com/images/a/d/d/b/austrian_pinscher/austrian_pinscher_1.jpg
000010.jpg,https://animalsadda.com/wp-content/uploads/2017/07/Austrian-Pinscher-5.jpeg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Austrian-Pinscher-Pictures.jpg
000012.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/3667249_orig.png
000013.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2016/05/0910a0abb29603443ea7459806c937db.jpg
000014.jpg,https://d83vwgwvylun0.cloudfront.net/img/s/289-austrian-pinscher.jpg
000015.jpg,http://media.infodogs.co.uk/photos/dogs/austrian-shorthaired-pinscher_63.jpg
000016.jpg,https://www.dogbreedinfo.com/images8/Austrian_Pinscher_1.jpg
000017.jpg,https://dogsbreedusa.online/wp-content/uploads/2017/12/Austrian-Pinscher-2.jpg
000018.jpg,https://animalsbreeds.com/wp-content/uploads/2015/11/Austrian-Pinscher.jpg
000019.jpg,https://c8.alamy.com/comp/BM47BJ/sterreichischer-pinscher-austrian-short-haired-pinscher-BM47BJ.jpg
000020.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Austrian-Pinscher-3.jpg
000021.jpg,https://i.pinimg.com/236x/2c/15/3e/2c153e5011d5b91f5491f14799287c84.jpg
000022.jpg,https://c8.alamy.com/comp/CXXG57/german-pinscher-portrait-upper-austria-austria-europe-CXXG57.jpg
000023.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/Austrian-Shorthaired-Pinscher.jpg
000024.jpg,https://animalsbreeds.com/wp-content/uploads/2015/11/Austrian-Pinscher-4.jpg
000025.jpg,https://thumbs.dreamstime.com/z/austrian-pinscher-dog-6880909.jpg
000026.jpg,https://wds2018.com/wp-content/uploads/2017/05/Oostenrijkse-Pinscher.jpg
000027.jpg,http://www.gopetsamerica.com/dog_breeds/pics/austrian_pinscher.jpg
000028.jpg,http://pets-place.net/Breeds/A/AustrianPinscherImage1.jpg
000029.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Austrian-Pinscher-Dog.jpg
000030.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Black_%26_tan_Austrian_Pinscher.jpg
000031.jpg,https://www.desicomments.com/wp-content/uploads/Black-Austrian-Pinscher-Dog-ADB02105DC020205.jpg
000032.jpg,https://pet-uploads.adoptapet.com/1/b/7/129459612.jpg
000033.jpg,http://3.bp.blogspot.com/_LYxGQn08RU4/SNBJ1G1o42I/AAAAAAAABco/zMlX7qQPF5c/s400/%C3%96sterreichischer+Pinscher+AUSTRIAN+PINSCHER1.bmp
000034.jpg,https://static3.depositphotos.com/1009420/259/i/950/depositphotos_2591174-stock-photo-austrian-pinscher-dog.jpg
000035.jpg,https://www.ukcdogs.com/images/breeds/austrian-pinscher.jpg
000036.jpg,https://www.dogbreedinfo.com/images8/Austrian_Pinscher__2.jpg
000037.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/AustrianShorthairedPinscher.jpg
000038.jpg,https://animalsbreeds.com/wp-content/uploads/2015/11/Austrian-Pinscher-2.jpg
000039.jpg,https://cdn.imgbin.com/17/3/21/imgbin-dobermann-miniature-pinscher-german-pinscher-austrian-pinscher-puppy-puppy-rS1Kmf7rwZXbGhUEMxc1kc7zD.jpg
000040.jpg,https://thumbs.dreamstime.com/z/austrian-pinscher-dog-6880837.jpg
000041.jpg,https://www.defendanimals.com/images_designs/austrian-pinscher-d001013857130.png
000042.jpg,https://i.ytimg.com/vi/YdHKKY1Gjkk/maxresdefault.jpg
000043.jpg,http://www.dogwallpapers.net/wallpapers/cute-austrian-pinscher-puppy-photo.jpg
000044.jpg,https://i.pinimg.com/236x/41/5d/f0/415df0e49ef46e0ad3608e89145eac41--austria-dog-world.jpg
000045.jpg,https://c8.alamy.com/comp/XCNFGG/sterreichischer-pinscher-austrian-short-haired-pinscher-XCNFGG.jpg
000046.jpg,https://cdn11.bigcommerce.com/s-jbg7mp3qyd/images/stencil/800x800/products/14129/14418/Austrian_Pinscher_Co__82606__03547.1474352442.png?c=2&imbypass=on
000047.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1804/dneprstock180400002/99633336-austrian-pinscher-dog-breed-digital-art-illustration-isolated-on-white-medium-sized-pinscher-type-do.jpg
000048.jpg,https://as2.ftcdn.net/jpg/00/21/49/91/500_F_21499164_EhFKlnBowpsYizWFgmdWX64ULjZZdm0i.jpg
000049.jpg,https://www.animalssale.com/uploads/breed/breeds-2/austrianpinscher.jpg
000050.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/staffordshire_bull_terrier/staffordshire_bull_terrier_1.jpg
