image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bistrita_2015_%2822%29.jpg/220px-Bistrita_2015_%2822%29.jpg
000002.jpg,https://www.dogingtonpost.com/wp-content/uploads/2019/01/AdobeStock_178091272-1024x684.jpg
000003.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23286_azawakh-460x290.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03163019/Azawakh_171089447.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Azawakh_male_Greboun_de_Garde-Epee.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/299032a/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F7e%2F940ef09e8b11e0a2380050568d634f%2Ffile%2FAzawakh-2-645mk062411.jpg
000007.jpg,https://vetstreet-brightspot.s3.amazonaws.com/af/25aec09e8b11e0a2380050568d634f/file/Azawakh-3-645mk062411.jpg
000008.jpg,https://i.pinimg.com/736x/c2/12/2a/c2122a9b8bdf453c99c55a8c505b54b2.jpg
000009.jpg,http://ipfactly.com/wp-content/uploads/2015/09/Azawakh_main.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Chart_afryka%C5%84ski_azawakh_31.jpg/220px-Chart_afryka%C5%84ski_azawakh_31.jpg
000011.jpg,https://images.ctfassets.net/w00x6p5qkejz/5xN709Mn16KuymmmUK2kKM/cffc4be74559037f3197e4bfdaafdc12/Azawakh3.png
000012.jpg,https://i.pinimg.com/originals/2f/10/34/2f103411d9cb768e5ba9da4ee831d91e.jpg
000013.jpg,http://www.dogzone.com/images/breeds/azawakh.jpg
000014.jpg,https://vetstreet.brightspotcdn.com/dims4/default/04b9410/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F00%2F09d7d09e8c11e0a2380050568d634f%2Ffile%2FAzawakh-4-645mk062411.jpg
000015.jpg,https://www.petguide.com/wp-content/uploads/2013/02/azawakh1.jpg
000016.jpg,http://www.dogspotters.com/dog-breed-photos/azawakh_.jpg
000017.jpg,http://1.bp.blogspot.com/-wSvAMJAWqQY/Vq8S9UzYbzI/AAAAAAAACcY/F967pCx5sxo/s1600/11059902_10153401695791418_7603992895466465849_o.jpg
000018.jpg,https://www.omlet.co.uk/images/cache/1024/682/Dog-Azawakh-A_slender_azawakh_ready_to_run.jpg
000019.jpg,https://sites.google.com/site/dawgs4u/_/rsrc/1357264626002/how_to_find_a_dog_4_you/doggy-dictionary/dictionary-aaa/azawakh/azawakh%2520autres%2520100.jpg?height=270&width=320
000020.jpg,https://animalsadda.com/wp-content/uploads/2017/05/Azawakh-2.jpg
000021.jpg,http://ipfactly.com/wp-content/uploads/2015/09/Azawakh_dog.jpg?31623f
000022.jpg,https://i0.wp.com/www.chicchoix.com/wp-content/uploads/Mimi-July-2018-6.jpg?fit=1200%2C800&ssl=1
000023.jpg,https://indulgeyourpet.com/wp-content/uploads/Azawakh-Puppy.png
000024.jpg,https://cdn.petmoo.com/wp-content/uploads/2019/01/Azawakh-990x556.jpg
000025.jpg,https://www.petful.com/wp-content/uploads/2014/05/Azawakh.jpg
000026.jpg,https://www.petguide.com/wp-content/uploads/2013/02/azawakh-11.jpg
000027.jpg,https://www.petmd.com/sites/default/files/Azawakh-Dog-Breed-533256317.jpg
000028.jpg,https://thumbs.dreamstime.com/z/azawakh-dog-running-beach-rare-breed-89079511.jpg
000029.jpg,http://siggysparadise.com/wp-content/uploads/2018/07/Azawakh-Breeders.jpg
000030.jpg,https://i.ytimg.com/vi/fh9kIlOXprs/maxresdefault.jpg
000031.jpg,https://media.voltron.voanews.com/Drupal/01live-166/styles/sourced/s3/2019-04/655ED29E-3CB9-42C4-A8C8-28812718603C.jpg?itok=cOUOUZn0
000032.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2016/08/WAC-ffire-Photography-e1470972649332.jpg
000033.jpg,https://www.mascotarios.org/wp-content/uploads/2011/07/Azawakh.jpg
000034.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Azawakh-Puppy.jpg
000035.jpg,http://www.fci.be/Nomenclature/Illustrations/307g10-2.jpg
000036.jpg,https://cbssanfran.files.wordpress.com/2019/01/azawakh-dog.jpg?w=420&h=309
000037.jpg,https://nimages.champdogs.net/breeds/azawakh.jpg
000038.jpg,https://dogbreedsfaq.com/wp-content/uploads/azawakh-on-white-background.jpg
000039.jpg,http://poochinfo.com/wp-content/uploads/2018/07/Brindle-Azawakh.jpg
000040.jpg,https://www.akcpetinsurance.com/res/akc/blog/2019/akc-pet-insurance-congratulates-the-azawakh/header_azawakh.jpg
000041.jpg,https://images-na.ssl-images-amazon.com/images/I/51yo%2BInOFZL.jpg
000042.jpg,https://vetstreet.brightspotcdn.com/dims4/default/0e9d8f6/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa9%2Fff%2Ffe2498274674ac697be8ceb90f17%2Fazawakh-5.jpg
000043.jpg,https://media.mnn.com/assets/images/2017/05/Azawakh-dog.jpg.638x0_q80_crop-smart.jpg
000044.jpg,http://3.bp.blogspot.com/-A19KSceT7PM/T1wnpqJfFMI/AAAAAAAAFTM/kHF3L78yKOU/s1600/azawakh-01.jpg
000045.jpg,http://www.easypetmd.com/sites/default/files/Azawakh.jpg
000046.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/a/a2/Azawakh2.jpg/revision/latest?cb=20180120132602
000047.jpg,https://i.ytimg.com/vi/guVhVQBu5ew/hqdefault.jpg
000048.jpg,https://pbs.twimg.com/media/CD9Rv2YUkAAWBHN.jpg
000049.jpg,https://www.dogingtonpost.com/wp-content/uploads/2019/01/Azawakh-1024x683.jpg
000050.jpg,https://animalsadda.com/wp-content/uploads/2017/05/Azawakh.jpg
