image,source
000001.jpg,http://cmell.tripod.com/barak/Cezar01.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Bosnian-Coarse-haired-Hound-Dog.jpg
000004.jpg,https://i.pinimg.com/236x/80/1e/03/801e034e405098920d1bcbfbdb859d83--barak-otterhound.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Bosnian-Coarse-haired-Hound.jpg
000006.jpg,http://www.bhtornjak.com/barak/slike/galerija/tesanj03.jpg
000007.jpg,https://i.pinimg.com/originals/c8/1e/81/c81e8154ce90c4afd32e074077eb59be.jpg
000008.jpg,https://www.petguide.com/wp-content/uploads/2017/12/bosnian-coarse-haired-hound.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Bosnian-Rough-haired-Hound.jpg
000010.jpg,http://www.bhtornjak.com/barak/slike/galerija/barak17.jpg
000011.jpg,https://i.pinimg.com/236x/63/0b/41/630b4106e4a0399477e8bf6b60d02bba--barak-bathrooms.jpg
000012.jpg,http://www.bhtornjak.com/barak/slike/galerija/sejdinovic01.jpg
000013.jpg,https://wds2018.com/wp-content/uploads/2017/05/BOG-called-Barak.jpg
000014.jpg,http://www.dogzone.com/images/breeds/bulgarian-hound.jpg
000015.jpg,https://images.wagwalkingweb.com/media/breed/barak/hero/Barak.jpg
000016.jpg,http://www.bhtornjak.com/barak/slike/galerija/tesanj02.jpg
000017.jpg,http://www.celysvet.cz/big-photo/bosnian-broken-haired-hound-called-barak-dog-standard-1.jpg
000018.jpg,https://c8.alamy.com/comp/X34PY8/bosnian-coarse-haired-hound-barak-mix-adult-dog-walking-austria-X34PY8.jpg
000019.jpg,https://www.dogbreedplus.com/dog_breeds/images/bosnian-coarse-haired-hound-puppy.jpg
000020.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Bosnian-Coarse-haired-Hound-Pictures.jpg
000021.jpg,https://i.ytimg.com/vi/wgOOW9nn0cI/maxresdefault.jpg
000022.jpg,https://www.petguide.com/wp-content/uploads/2017/12/bosnian-coarse-haired-hound-1.jpg
000023.jpg,https://c8.alamy.com/comp/EAFNRB/bosnian-coarse-haired-hound-barak-mix-portrait-of-adult-dog-austria-EAFNRB.jpg
000024.jpg,https://images-cdn.9gag.com/photo/amBzo6j_460s.jpg
000025.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/6815439_orig.png
000026.jpg,https://previews.agefotostock.com/previewimage/medibigoff/b96457319ab87230572d6b8c9886c38e/ibr-4404334.jpg
000027.jpg,https://c8.alamy.com/comp/EAFNR6/bosnian-coarse-haired-hound-barak-mix-adult-dog-walking-austria-EAFNR6.jpg
000028.jpg,https://previews.agefotostock.com/previewimage/medibigoff/14a4a43fda508816063c8d3998322720/ssj-194751.jpg
000029.jpg,https://2puppies.com/api/media/cache/breed_photo/Bosnian-coarse-haired-Hound---called-Barak/Bosnian-coarse-haired-Hound---called-Barak-1.jpg
000030.jpg,http://www.furrycritter.com/fcn/assets/img/dogs/Bosnian_Roughhaired_Hound.jpg
000031.jpg,https://i.ytimg.com/vi/I0CeMentl_c/hqdefault.jpg
000032.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Bosanski-Ostrodlaki-Gonic.jpg
000033.jpg,http://www.easypetmd.com/sites/default/files/Bosnian%20Coarse-Haired%20Hound.JPG
000034.jpg,https://c8.alamy.com/comp/EAFNR8/bosnian-coarse-haired-hound-barak-mix-adult-dog-walking-austria-EAFNR8.jpg
000035.jpg,https://previews.agefotostock.com/previewimage/medibigoff/c9d7a2659fc796b20edf42e0eae80567/ssj-194753.jpg
000036.jpg,http://www.bhtornjak.com/barak/slike/galerija/tesanj01.jpg
000037.jpg,https://images-na.ssl-images-amazon.com/images/I/51zI-xFOJkL._SY879_.jpg
000038.jpg,https://fscomps.fotosearch.com/compc/IMB/IMB002/bosnian-coarse-haired-hound-or-stock-image__iblfox03812872.jpg
000039.jpg,http://cmell.tripod.com/barak/Bara02.jpg
000040.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2018/05/Screen-Shot-2018-05-19-at-2.47.56-PM.png
000041.jpg,http://thegreendogshow.com/wp-content/uploads/2016/12/barak.jpg
000042.jpg,http://molosserdogs.com/gallery/albums/userpics/10001/03311135325B15D.jpg
000043.jpg,https://fscomps.fotosearch.com/compc/IMB/IMB002/bosnian-coarse-haired-hound-bosanski-picture__iblfox03918064.jpg
000044.jpg,https://previews.agefotostock.com/previewimage/medibigoff/9762cac4a6791574cc5fcbe91c176a43/ssj-194749.jpg
000045.jpg,https://cdn.fotofits.com/responsive/500x500/petzlover/gallery/img/l/poodle-658486.jpg
000046.jpg,https://cdn.nohat.cc/thumb/f/350/5673267805290496.jpg
000047.jpg,http://i49.tinypic.com/1zgryuf.jpg
000048.jpg,https://c8.alamy.com/comp/XCK4EB/bosnian-coarse-haired-hound-barak-mix-adult-dog-walking-austria-XCK4EB.jpg
000049.jpg,http://molosserdogs.com/gallery/albums/userpics/10001/03311135225B15D.jpg
000050.jpg,https://i.pinimg.com/236x/8f/5d/06/8f5d06d2856b2decdd8244a0413cafb3--barak-hound-dog.jpg
