image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23288_barbet-460x290.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Barbety_suki_2009_pl3.jpg/250px-Barbety_suki_2009_pl3.jpg
000003.jpg,http://www.dogzone.com/images/breeds/barbet.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27114851/barbet.lying_.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211227/Barbet-History-02.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27142955/Barbet-puppy.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/05/Barbet-Dog-Images.jpg
000008.jpg,https://www.holidogtimes.com/wp-content/uploads/2018/06/barbet-dog-1-810x413.png
000009.jpg,https://i.ytimg.com/vi/GNeoIN3coxY/maxresdefault.jpg
000010.jpg,http://nebula.wsimg.com/22124d88370a31ca19a5f42000e33944?AccessKeyId=44D040BC299FD9F6CB1D&disposition=0&alloworigin=1
000011.jpg,https://www.pets4homes.co.uk/images/classifieds/2017/10/22/1745519/large/french-water-dog-barbet-not-cockapoo-59ec6c5e8ba17.jpg
000012.jpg,https://doglime.com/wp-content/uploads/2019/02/Barbet-Dog-Breed-Information.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/05/Barbet-Dog-Pictures.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/05/Pictures-of-Barbet-Dog.jpg
000015.jpg,https://i.pinimg.com/originals/e6/8b/5f/e68b5f8898dbfa0d381ed42e069fe42a.jpg
000016.jpg,https://images.squarespace-cdn.com/content/v1/5c6838887a1fbd48bc4bfbd4/1552073678505-CEJU143AYTLRKUNLAFIX/ke17ZwdGBToddI8pDm48kMpqyoMiERQw0z2E_XEynJp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3rv7sVmavAApj1cuSnuUyXzqqXjS3CfNDSuuf31e0tVF3FzrasoMP6MQ2IOgvkTi7akT9EvBoluuNVY-Gwsau7mK8SyEziaWFhz-jb4DupS4/claire+nessa+solene.jpg
000017.jpg,http://olsenvet.com/wp-content/uploads/2018/03/de0630ac84cbe27020cad1ece6d5f5cf-300x226.jpg
000018.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Barbet.jpg
000019.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/05/Barbet-Dog-Puppy.jpg
