image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pastor_vasco_m_14months_loby_3018.jpg/220px-Pastor_vasco_m_14months_loby_3018.jpg
000002.jpg,http://www.dogzone.com/images/breeds/basque-shepherd-dog.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2017/04/basque-shepherd-dog.jpg
000004.jpg,https://i.pinimg.com/originals/af/b0/14/afb014657569645e084ee084e7fc1f87.jpg
000005.jpg,https://www.petguide.com/wp-content/uploads/2017/04/basque-shepherd-dog-2.jpg
000006.jpg,https://aboutbasquecountry.eus/wp-content/uploads/2018/02/basque-shepherd-dog-800.jpg
000007.jpg,https://i.ytimg.com/vi/oHjWvWE59eo/hqdefault.jpg
000008.jpg,http://previews.123rf.com/images/irantzuarbaizagoitia/irantzuarbaizagoitia1307/irantzuarbaizagoitia130700029/20621519-Basque-shepherd-dog-portrait-Stock-Photo.jpg
000009.jpg,https://www.europetnet.com/images/dogbreeds/basqueshepherddog1.jpg
000010.jpg,https://aboutbasquecountry.eus/wp-content/uploads/2018/02/basque-shepherd-dog-puppy.jpg
000011.jpg,https://previews.123rf.com/images/irantzuarbaizagoitia/irantzuarbaizagoitia1311/irantzuarbaizagoitia131100016/23387862-basque-shepherd-dog-playing-whit-his-toy.jpg
000012.jpg,https://thumbs.dreamstime.com/z/basque-shepherd-dog-portrait-beautiful-pet-31837641.jpg
000013.jpg,https://www.petguide.com/wp-content/uploads/2017/04/basque-shepherd-dog-1.jpg
000014.jpg,https://cmkt-image-prd.global.ssl.fastly.net/0.1.0/ps/245557/910/1370/m2/fpnw/wm1/us7p3pce6htd0e7rflewkhxjn8drfplkzuyrkegcy8ntbvysvcqaczijo85hm9sm-.jpg?1444298128&s=ca3e46b8ea5a0db82f1baf9e6c24a6c6
000015.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/03/basque-shepherd-dog.jpg
000016.jpg,http://www.bordercolliemuseum.org/BCCousins/EuropeWestern/Sp05-BasqueShepherdRt.jpg
000017.jpg,https://images.wagwalkingweb.com/media/breed/basque-shepherd/hero/Basque-Shepherd.jpg
000018.jpg,https://cmkt-image-prd.global.ssl.fastly.net/0.1.0/ps/245558/910/1370/m2/fpnw/wm1/ciq7r6wogdsehv42f5d7jupjtaazihvmcimbvdvdtommj56dnbqzeu5da13fhubb-.jpg?1444298135&s=f8b9e5e9368378bed8f4b527a0a5d00b
000019.jpg,https://images-na.ssl-images-amazon.com/images/I/51XPqNcq3iL._SX466_.jpg
000020.jpg,http://4.bp.blogspot.com/-we9gGiPOsWc/UXUTApfvQ-I/AAAAAAAAABo/SHl6TPqmU8s/s1600/Pastor+Vasco.JPG
000021.jpg,http://themes.designcrumbs.com/rescue/files/2013/02/336166_250825358312199_1223820569_o1-275x275.jpg
000022.jpg,https://media.istockphoto.com/photos/basque-shepherd-dog-portrait-picture-id186551270
000023.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ba/basque-australian-shepherd-dogs-breed.jpg
000024.jpg,https://thumbs.dreamstime.com/z/small-basque-shepherd-puppy-looking-intently-ears-cocked-28826634.jpg
000025.jpg,https://previews.123rf.com/images/javitrapero/javitrapero1701/javitrapero170100013/69164650-one-year-old-basque-shepherd-male-dog-standing-on-the-green-grass-looking-to-his-toy-outdoors-on-a-v.jpg
000026.jpg,https://images-na.ssl-images-amazon.com/images/I/51DdBU8iDvL.jpg
000027.jpg,https://images.freeimages.com/images/premium/previews/3337/33376706-basque-shepherd-dog-playing.jpg
000028.jpg,https://i.pinimg.com/originals/13/42/19/13421976343853157cbca91f92c849a6.jpg
000029.jpg,https://images.unsplash.com/photo-1560089168-ee28d9120182?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&w=1000&q=80
000030.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03173132/Australian-Shepherd.1.jpg
000031.jpg,https://1.bp.blogspot.com/-sej8Y1Imj-w/UepQgnRIQeI/AAAAAAAAOVU/BFMyXu22y5s/s1600/bsd5.jpg
000032.jpg,http://www.dogwallpapers.net/wallpapers/basque-dhepherd-dog-in-field-wallpaper.jpg
000033.jpg,https://c8.alamy.com/comp/M5CE9B/large-basque-shepherd-dog-on-a-green-meadow-M5CE9B.jpg
000034.jpg,https://media.gettyimages.com/photos/basque-shepherd-dog-portrait-picture-id467150233?s=612x612
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Euskal_Artzain_Txakurra-_Iletsua.jpg/970px-Euskal_Artzain_Txakurra-_Iletsua.jpg
000036.jpg,https://66.media.tumblr.com/523e5ab0195d77104c6a54c348f4210b/tumblr_mop4ltrTGk1rs8r2xo1_640.jpg
000037.jpg,http://www.dogwallpapers.net/wallpapers/basque-dhepherd-dog-on-couch-wallpaper.jpg
