image,source
000001.jpg,http://www.dogzone.com/images/breeds/basset-artesien-normand.jpg
000002.jpg,https://media.ooreka.fr/public/image/3-306085-2173-full-13047353.jpg
000003.jpg,https://media.ooreka.fr/public/image/3-306085-2171-full-13047357.jpg
000004.jpg,http://thegreendogshow.com/wp-content/uploads/2016/12/basset-art%C3%A9sien-normand-300x212.jpg
000005.jpg,https://i.ytimg.com/vi/ZQ0v31jp1UM/maxresdefault.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2017/11/basset-artesien-normand.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Basset-Artesien-Normand-3.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg
000009.jpg,https://www.europetnet.com/images/dogbreeds/bassetartesiennormand.jpg
000010.jpg,https://static.wamiz.fr/images/animaux/chiens/large/basset-artesien-normand.jpg
000011.jpg,https://www.chiens-de-france.com/photo/eleveurs/18/3462/portees/468d6cb9-7f18-b3e4-9d55-af5b9eb15285_min.jpg
000012.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Basset-Artesien-Normand-2.jpg
000013.jpg,http://club-canin-arzens.e-monsite.com/medias/album/basset-artesien-normand.jpg
000014.jpg,https://www.chien.fr/assets/races/000/019/originale/basset-artesien-normand.jpg
000015.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/basset_artesien_normand/basset_artesien_normand_1.jpg
000016.jpg,https://i.ytimg.com/vi/jW2D877bCag/hqdefault.jpg
000017.jpg,https://fairvet.com/uploads/dog_breeds/full/Basset-Artesien-Normand1438979762.jpg
000018.jpg,https://www.woopets.fr/assets/races/000/019/mobile/basset-artesien-normand.jpg
000019.jpg,https://i.pinimg.com/originals/f6/ef/c7/f6efc7e838585f55c0223466045fc46b.jpg
000020.jpg,http://www.frenchtoutou.com/race/groupe6/images/basset_artesien_normand/toilette1.jpg
000021.jpg,http://www.dogwallpapers.net/wallpapers/cute-basset-art%C3%A9sien-normand-uppy-wallpaper.jpg
000022.jpg,http://www.ban-artois.org/images/chiens/1021.jpg
