image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Basset_Fauve_de_Bretagne_600.jpg
000002.jpg,https://www.pets4homes.co.uk/images/breeds/165/large/e59f3e7847b818c7b77d83c3083fec3b.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184420/AdobeStock_23183639.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184409/AdobeStock_23183632.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184352/AdobeStock_23183546.jpg
000006.jpg,https://cdn.omlet.co.uk/images/cache/610/768/Dog-Basset_Fauve_De_Bretagne-A_young_Basset_Fauve_De_Bretagne_with_beautiful_brown_eyes_and_a_cute_wet_nose.jpg
000007.jpg,https://www.pets4homes.co.uk/images/classifieds/2014/04/14/606356/large/basset-fauve-de-bretagne-dog-puppy-534bec1166871.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184357/AdobeStock_23183534-400x267.jpg
000009.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/105.-Basset-Fauve-de-Bretagne.jpg
000010.jpg,http://www.bassetfauvedebretagneclub.com/wp-content/uploads/2018/11/e6b6af42-293c-4784-bf64-7eeae749c00c.jpg
000011.jpg,https://i.ytimg.com/vi/i7AIwYlz6zQ/maxresdefault.jpg
000012.jpg,https://wds2018.com/wp-content/uploads/2017/05/Basset-fauve-de-Bretagne.jpg
000013.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/70.2.jpg
000014.jpg,https://www.mypetzilla.co.uk/files/8914/7911/9691/Basset-Fauve-De-Bretagne.jpg
000015.jpg,https://www.dogbreedinfo.com/images28/BassetFauvedeBretagneFawnBrittanyBassetPurebreeDogBarnieBeforeCoatWasStripped1.JPG
000016.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/11707640_924595640911788_8647794293384162677_n.jpg
