image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23012_beagle-460x290.jpg
000002.jpg,https://i.ytimg.com/vi/bx7BjjqHf2U/maxresdefault.jpg
000003.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/beagle-detail.jpg?bust=1535565158&width=355
000004.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/HOUND_Beagle-%2813inch%29.jpg?itok=6NGLSCVd
000005.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23234_pocket-beagle-460x290.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000937/Beagle-On-White-07.jpg
000007.jpg,http://www.dogzone.com/images/breeds/beagle.jpg
000008.jpg,https://vetstreet-brightspot.s3.amazonaws.com/7b/0526609e8c11e0a2380050568d634f/file/Beagle-3-645mk062311.jpg
000009.jpg,https://images.wagwalkingweb.com/media/training_guides/be-off-leash/hero/How-to-Train-Your-Beagle-Dog-to-Be-Off-leash.jpg
000010.jpg,https://g77v3827gg2notadhhw9pew7-wpengine.netdna-ssl.com/wp-content/uploads/2017/11/beagle-training-tips_canna-pet-1024x683.jpg
000011.jpg,https://spectator.imgix.net/content/uploads/2018/01/Notes-on-6.jpg?auto=compress,enhance,format&crop=faces,entropy,edges&fit=crop&w=820&h=550
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/Bronco_the_Beagle.JPG
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Beagle_600.jpg
000014.jpg,https://www.thesprucepets.com/thmb/n0Q08UUEZ_r7u5P7LWRk1sADdsU=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/beagle-RolfKopfle-Photolibrary-Getty-135631212-56a26b1d3df78cf772756667.jpg
000015.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/10/beagle-and-puppies.jpg
000016.jpg,https://ls.imgix.net/factsheets/thumbnails/beagle.jpg?w=616&h=308&auto=compress,format&fit=crop
000017.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Dog_Beagle_Desktop.jpg?h=475&la=en&w=825&hash=5346CF71108CD1C56165EAD961806A63
000018.jpg,https://embarkvet.com/wp-content/uploads/2018/08/Beagle5.jpg
000019.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Beagle-A_beautiful_Beagle_puppy_attempting_to_lay_still.jpg
000020.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/03/fotolia_73795489.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27225027/Beagle-care1.jpg
000022.jpg,https://g77v3827gg2notadhhw9pew7-wpengine.netdna-ssl.com/wp-content/uploads/2017/11/do-beagles-shed_canna-pet-1024x684.jpg
000023.jpg,https://petcaretools.com/wp-content/uploads/2017/07/whats-the-best-brush-for-a-beagle.jpg
000024.jpg,https://cf-s3.petcoach.co/uploads/breed/54/1519656689-beagle.jpg
