image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/bearded-collie-dog-bread-pictures/9-laying.jpg
000002.jpg,https://images-na.ssl-images-amazon.com/images/I/81YzuZPYDnL.jpg
000003.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-AB/beardedcolliesf6.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Bearded_collie_and_a_rope.jpg/220px-Bearded_collie_and_a_rope.jpg
000005.jpg,https://images-na.ssl-images-amazon.com/images/I/81n7KTUdP%2BL._SL1500_.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000856/Bearded-Collie-On-White-01.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08230209/Bearded-Collie.jpg
000008.jpg,https://t2.ea.ltmcdn.com/en/images/5/5/4/img_the_main_difference_between_a_bearded_collie_and_an_old_english_sheepdog_2455_600.jpg
000009.jpg,https://i.pinimg.com/originals/50/98/95/5098955a104045ad507342ad1c8c09a8.jpg
000010.jpg,https://s3.envato.com/files/259492281/190117-161.jpg
000011.jpg,http://www.dogzone.com/images/breeds/bearded-collie.jpg
000012.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/22/46/67/02/700_FO22466702_2b96295a1d784b4912873a1895593df9.jpg,467,700,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,247,650,jpg)/wall-murals-bearded-collie-highland-collie-mountain-collie-dog.jpg.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Bearded_Collie_600.jpg
000014.jpg,https://www.petguide.com/wp-content/uploads/2013/02/bearded-collie1.jpg
000015.jpg,https://www.omlet.de/images/cache/512/768/Dog-Bearded_Collie-A_beautiful_adult_Bearded_Collie_sitting_neatly,_resting.jpg
000016.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-bearded-collie.png?itok=tCdRTJuw
000017.jpg,https://3.bp.blogspot.com/-eyCCySCrDq4/V-vlrFBbaVI/AAAAAAAAFKs/ZkxfEW7jpMEpSviIbume0HpeopZRU1ocACLcB/s1600/bearded-bearded-collie.jpg
000018.jpg,https://archive.content.aah.net.au/files/images/Bearded-collie-park.jpg
000019.jpg,https://indulgeyourpet.com/wp-content/uploads/Bearded-Collie-Puppy.png
000020.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/04/bearded-collie.jpg
000021.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bearded-Collie-1.jpg
000022.jpg,https://imgc.artprintimages.com/img/print/blue-bearded-collie-puppy-misty-3-months_u-l-q10oapd0.jpg?h=550&w=550
000023.jpg,http://www.beardedcollieclub.co.uk/images/westbere_wolfgang_sep2015.jpg
000024.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Bearded-Collie_Mobile.jpg?h=300&la=en&w=375&hash=CAF2540CE7C286944D70A6E7DE3EEFEB
000025.jpg,https://www.calendarclub.co.uk/resize/main/-/media/productimages/24/10/241036_main.jpg
000026.jpg,https://s3.envato.com/files/259804378/190117-21.jpg
000027.jpg,https://www.browntrout.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9781975402037.jpg
000028.jpg,https://previews.123rf.com/images/f8grapher/f8grapher1312/f8grapher131200004/24171628-a-young-happy-beautiful-white-fawn-bearded-collie-standing-on-the-grass-beardie-dogs-have-a-long-coa.jpg
000029.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/91.-Bearded-Collie.jpg
000030.jpg,https://www.pets4homes.co.uk/images/articles/2259/large/how-to-keep-a-bearded-collies-coat-looking-good-545a288fdf0b6.jpg
000031.jpg,https://dog-supplements.com/wp-content/uploads/2017/09/Bearded-Collie-F.jpg
000032.jpg,https://comps.canstockphoto.com/bearded-collie-stock-photos_csp52842635.jpg
000033.jpg,http://www.farmarens.com/bilderhis/Jayemji_Clunie.jpg
000034.jpg,https://c8.alamy.com/comp/BEK20K/bobtail-collie-and-bearded-collies-sitting-outdoor-next-to-each-other-BEK20K.jpg
000035.jpg,https://i.pinimg.com/originals/34/61/e8/3461e892f3e02310be2a778bea482e53.jpg
000036.jpg,https://images.fineartamerica.com/images-medium-large/bearded-collie-amir-paz.jpg
000037.jpg,https://previews.123rf.com/images/vanitytheone/vanitytheone1612/vanitytheone161200025/66957959-set-of-teeth-of-a-bearded-collie-dog.jpg
000038.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/28/15/89/00/700_FO28158900_72e6121dc2236854934c1e2868500e69.jpg,700,467,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,417,jpg)/wall-murals-bearded-collie-4-years-old-of-white-background.jpg.jpg
000039.jpg,http://doglover.in/wp-content/uploads/2018/05/Bearded-Collie-dog-1140x760.jpg
000040.jpg,https://www.petful.com/wp-content/uploads/2015/01/Bearded-Collie-750x398.jpg
000041.jpg,https://www.calendarclub.co.uk/-/media/productimages/24/00/240083_main.jpg
000042.jpg,https://i.etsystatic.com/14851182/r/il/a3cbd9/1169175536/il_794xN.1169175536_9u13.jpg
000043.jpg,https://media.istockphoto.com/photos/couple-of-amazing-bearded-collies-picture-id520839600
000044.jpg,https://sites.google.com/site/cadencebeardedcollies/_/rsrc/1422333585328/home/IMG_0125.JPG
