image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/bedlington-terrier/bedlington-terrier-1.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/bedlington-terrier-detail.jpg?bust=1535565193&width=355
000003.jpg,https://www.pets4homes.co.uk/images/breeds/54/large/1698fe9ed84d1d2fae151b368255cdd4.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06122056/20121215-_MG_3486.jpg
000005.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23056_bedlington-terrier-460x290.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211529/Bedlington-Terrier-History-10.jpg
000007.jpg,https://www.pets4homes.co.uk/images/articles/4778/large/the-unique-and-interesting-temperament-of-the-bedlington-terrier-5b0423a3ecd68.jpg
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/dda30ba/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F89%2F937a40a41f11e087a80050568d634f%2Ffile%2FBedlington-Terrier-2-645mk062311.jpg
000009.jpg,https://vetstreet.brightspotcdn.com/dims4/default/a3c72e4/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fb4%2F5698e0a7dd11e0a0d50050568d634f%2Ffile%2Fbedlington-terrier-1-645mk070411.jpg
000010.jpg,https://images-na.ssl-images-amazon.com/images/I/81ep5axdFDL.jpg
000011.jpg,https://www.petmd.com/sites/default/files/breedopedia/bedlington_terrier.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Boutchie_apres_championnat_004.JPG/1200px-Boutchie_apres_championnat_004.JPG
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000803/Bedlington-Terrier-MP.jpg
000014.jpg,https://www.dogbreedinfo.com/images20/BEDLINGTONGLEN8Months1.JPG
000015.jpg,https://res.cloudinary.com/jacepharm/image/upload/v1548868542/Bedlington-Terrier_v9f0gp.jpg
000016.jpg,http://breedfinder.ikc.ie/Content/images/breeds/64_bedlington_terrier.jpg
000017.jpg,https://i.ebayimg.com/images/g/-vUAAOSwoydWkPig/s-l300.jpg
000018.jpg,http://www.dogspotters.com/dog-breed-photos/bedlterr.jpg
000019.jpg,https://vetstreet-brightspot.s3.amazonaws.com/6c/bafc90a41f11e087a80050568d634f/file/Bedlington-Terrier-1-645mk062311.jpg
000020.jpg,https://dogbreedersguide.com/wp-content/uploads/2013/11/Bedlington-Terrier-Puppy-1546.png
000021.jpg,https://cdn.omlet.co.uk/images/cache/990/768/Dog-Bedlington_Terrier-A_wonderful_Bedlington_Terrier,_standing_tall,_showing_of_it's_well_groomed_coat.jpg
