image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Bergamasco_shepherd_dog_-_merle_female_cropped.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Bergamasco_600.jpg/220px-Bergamasco_600.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213658/Bergamasco-History-02.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213719/Bergamasco-on-White-00.jpg
000005.jpg,https://vetstreet.brightspotcdn.com/dims4/default/8fc76c0/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F5c%2F318180a35911e087a80050568d634f%2Ffile%2Fbergamasco-2-645mk062411.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10190945/Bergamasco-Sheepdog.jpg
000007.jpg,https://4.bp.blogspot.com/-gmTyGFXbtZE/WcllworU_oI/AAAAAAAAGfM/FYJYtV6yUXMnsMsR3cyAqpiEsq5fOS4LACLcBGAs/s1600/Bergamasco%2BShepherd.jpg
000008.jpg,https://i.ytimg.com/vi/tJ569GAeb24/maxresdefault.jpg
000009.jpg,https://images.squarespace-cdn.com/content/v1/553fe416e4b00078a8509ff7/1540394585464-DZFT9F7P5X9NJ1IUDYNJ/ke17ZwdGBToddI8pDm48kG0ueehOMAS2T-Xb_M0zMjp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UVjLWfk8QzakOocArRWtT00Dp8UqnngL_sM1Q6f32NNUxXwewy4_owVCEaES5JN-qA/35486470_478980629200418_3084742307665149952_o.jpg?format=1500w
000010.jpg,https://www.petful.com/wp-content/uploads/2014/09/Bergamasco-750x417.jpg
000011.jpg,https://i.imgur.com/2flVXvW.jpg
000012.jpg,https://www.dogbreedinfo.com/images5/BergamascoMaria3dogs1.jpg
000013.jpg,https://www.pets4homes.co.uk/images/articles/4037/large/bergamasco-or-komondor-which-is-best-for-you-58f8c11acaf22.jpg
000014.jpg,https://i.pinimg.com/originals/76/c7/b6/76c7b684d1d10d44381651d3e4a3ab9a.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Bergamasco-Shepherd-Dog.jpg
000016.jpg,https://static1.squarespace.com/static/553fe416e4b00078a8509ff7/t/561e85c2e4b04d93c24caf13/1390406559457/1000w/proportions.jpg
000017.jpg,http://www.dogspotters.com/dog-breed-photos/bergamas.jpg
000018.jpg,https://www.dog-breeds-expert.com/images/bergamasco-shepherd-cookiesupperDOTblogspotDOTcom-cropped.jpg
000019.jpg,http://www.veanimals.com/images/stories/dog/bergamasko1.jpg
000020.jpg,https://vetstreet.brightspotcdn.com/dims4/default/baed035/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F9a%2F179b10a35911e087a80050568d634f%2Ffile%2Fbergamasco-5-mk062411.jpg
000021.jpg,https://www.dog-breeds-expert.com/images/bergamasco-sheepdog-dogbreedsazDOTcom-cropped.jpg
000022.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bergamasco-2.jpg
000023.jpg,https://shoeuntied.files.wordpress.com/2015/08/bergamasco-shepard.jpg
000024.jpg,https://cdn.newsapi.com.au/image/v1/77dbf1101885d8ff1fce4777b063addd?width=1024
000025.jpg,https://pbs.twimg.com/media/Dfkw7aDXcAAuJ_9.jpg
000026.jpg,http://www.gopetsamerica.com/bergamasco/bergamasco.jpg
000027.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f2/99a540a35811e087a80050568d634f/file/bergamasco-1-645mk062411.jpg
000028.jpg,http://www.discoveranimals.org/uploads/pets/Bergamasco.jpg
000029.jpg,https://static1.squarespace.com/static/553fe416e4b00078a8509ff7/t/56213715e4b0d7dad9a2ad2e/1445017369127/
000030.jpg,https://i.pinimg.com/originals/7d/37/42/7d3742275ff65261bed06e9408d2009c.jpg
000031.jpg,https://www.dog-breeds-expert.com/images/bergamasco_sheepdog_tomluckytom_flickr_large.jpg
000032.jpg,https://i.ytimg.com/vi/NzbVAWIecXY/hqdefault.jpg
000033.jpg,https://static1.squarespace.com/static/51bdd41ae4b092e6df7a2971/t/5c370cdf4fa51a22966d6f8a/1547113063211/IMG_5300_bearbeitet-1.JPG?format=2500w
000034.jpg,https://images.wagwalkingweb.com/media/breed/bergamasco/appearance/bergamasco.png
000035.jpg,https://animalsbreeds.com/wp-content/uploads/2015/12/Bergamasco-5.jpg
000036.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221526/Bergamasco-Illo-500x500.jpg
000037.jpg,https://static1.squarespace.com/static/553fe416e4b00078a8509ff7/t/58bec85046c3c478cf7277df/1488898138576/
000038.jpg,https://thumbs.dreamstime.com/z/bergamasco-shepherd-stands-green-grass-park-bergamasco-shepherd-looks-aside-110029298.jpg
000039.jpg,https://i.pinimg.com/originals/fc/9e/e2/fc9ee2b6a22ccf274e125a08b227e9f0.jpg
000040.jpg,https://i.ytimg.com/vi/0g8hp64JEM8/maxresdefault.jpg
000041.jpg,http://dogsbreedusa.online/wp-content/uploads/2017/12/Bergamasco-Puppies.jpg
000042.jpg,https://cdn.newsapi.com.au/image/v1/feada1e8675a034b3fcf53ea8a2cf475?width=650
000043.jpg,https://static1.squarespace.com/static/553fe416e4b00078a8509ff7/t/561c129ee4b0cb30e1d9ec10/1444680355102/0001_DSC_1783.jpg?format=1500w
000044.jpg,https://i.pinimg.com/originals/14/32/f8/1432f8f6ba8041e8a0a84a2d3a9baaa7.jpg
000045.jpg,https://www.sheknows.com/wp-content/uploads/2018/12/ewl7jckfm6zeuntil3uj.jpeg
