image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2015/02/berger-blanc-suisse-1.jpg
000002.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/09/Berger-Blanc-Suisse-Images.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/20180320_White_Shepherd_2.jpg
000004.jpg,https://previews.123rf.com/images/byrdyak/byrdyak1804/byrdyak180400193/100031804-berger-blanc-suisse-white-german-shepherd-dog-in-grass.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/09/Blanc-Berger-Suisse.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2015/02/berger-blanc-suisse.jpg
000007.jpg,https://cmkt-image-prd.global.ssl.fastly.net/0.1.0/ps/4344451/910/1365/m2/fpnw/wm1/rvrrd5dxdlww63krhepcx2rccdp3rpetg6z8yol6rigaipaqmv1o7uvrojx3yisr-.jpg?1524510427&s=9e3efbb31ca88ef81352de9f0c67cddb
000008.jpg,http://www.trebonsbergerblancsuisse.com/imageshead/109.jpg
000009.jpg,https://cmkt-image-prd.global.ssl.fastly.net/0.1.0/ps/4344448/910/607/m2/fpnw/wm1/zdc7rde7agve5hqgyll2nkdmmsuapv4puo495fyspmcao0h41vofpcj5tesxalon-.jpg?1524510411&s=72e65d40f148b9c5c350d368c33a7f7b
000010.jpg,https://www.woopets.fr/assets/races/000/035/mobile/berger-blanc-suisse.jpg
000011.jpg,https://previews.123rf.com/images/byrdyak/byrdyak1804/byrdyak180400195/100031806-berger-blanc-suisse-white-german-shepherd-dog-in-grass.jpg
000012.jpg,https://s3.envato.com/files/245635590/D8C_6048.jpg
000013.jpg,https://www.dogbreedinfo.com/images31/BergerBlancSuisseWhiteShepherdEgoSumAttila1YearOld.jpg
000014.jpg,https://i.pinimg.com/originals/45/7a/ad/457aad30b23017b74b9dc31f122db2ba.jpg
000015.jpg,https://cdn9.dissolve.com/p/D1089_100_897/D1089_100_897_1200.jpg
000016.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/9/99/Doomey-Berger-Blanc-Suisse-Dog1.jpg/revision/latest?cb=20170924073525
000017.jpg,http://akboparchovany.com/Ixo11_6_162.jpg
000018.jpg,http://www.danceswithwolvesranch.com/wp-content/uploads/2014/01/bergerblancsuisse2-lg.jpg
000019.jpg,https://images-na.ssl-images-amazon.com/images/I/71zaFN8CmtL.jpg
000020.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Berger-Blanc-Suisse.jpg
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/09/Berger-Blanc-Suisse-Pictures.jpg
000022.jpg,https://www.dog-breeds-expert.com/images/379xNxwhite-swiss-shepherd-dog.jpg.pagespeed.ic.cpjnErIPkT.jpg
000023.jpg,https://kant.gr/media/k2/items/cache/e31ace2a15a7c70645ad83df9ecd43b0_XL.jpg
000024.jpg,https://comps.canstockphoto.com/berger-blanc-suisse-white-german-picture_csp56844578.jpg
000025.jpg,https://ak1.picdn.net/shutterstock/videos/21460801/thumb/1.jpg
000026.jpg,https://previews.123rf.com/images/byrdyak/byrdyak1804/byrdyak180400167/100031736-white-german-shepherd-in-the-summer-meadow-berger-blanc-suisse.jpg
000027.jpg,https://images-na.ssl-images-amazon.com/images/I/41R12S8GJ2L._SX331_BO1,204,203,200_.jpg
000028.jpg,https://img1.okidoker.com/c/4/7/0/370723/6451089/13776978_2.jpg
000029.jpg,https://comps.canstockphoto.com/berger-blanc-suisse-white-german-stock-photograph_csp56844597.jpg
000030.jpg,https://fscomps.fotosearch.com/compc/CSP/CSP492/berger-blanc-suisse-white-german-stock-image__k56844590.jpg
000031.jpg,https://cmkt-image-prd.global.ssl.fastly.net/0.1.0/ps/4344440/910/607/m2/fpnw/wm1/frp7jvhtxfnlbq1pi4tm746kllhypx4qccdyckffrsaku73mugwcbxaeefecogab-.jpg?1524510378&s=409fa1291bcc12901ee685b45e1ca6a9
000032.jpg,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/berger-blanc-suisse-jana-behr.jpg
000033.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Wayn_Condor_Ronanke.jpg/220px-Wayn_Condor_Ronanke.jpg
000034.jpg,https://st3.depositphotos.com/1008660/19310/i/1600/depositphotos_193103810-stock-photo-berger-blanc-suisse-white-german.jpg
000035.jpg,https://t1.pixers.pics/img-c676e9e9/posters-berger-blanc-suisse-shepherd-dog.jpg?H4sIAAAAAAAAA42PWU7EMAyGr9OR0tpJmq0HmNc5QpV1KHRTUmDE6UkB8YaE_OBF9vf7h9e12BTBx_WIGZYphDlCmubalSHHMn3ERhhO8DLU6dwg1mp7i9nnbW9azklLOSOSKSKYvgzvtl4uNr80T8exlwGg8G6fHhVXky_glwIMqQLUIIy2PrqgDLVs3Nty2DXYHFqFrXoI7Pb1TvCM_4M1UAThAnXS6YC90yNjWGHtL-EL26MivdIn-semQiTqtHfkaWmq361uH83zfr_AH5rfNdQruN5AUkAJRoDW52i83iRFaYTWI--ZcDRiioklGZ20Tov6oBEs-ZBsV1U-AZO2WjCMAQAA
000036.jpg,https://i.pinimg.com/originals/f0/a3/53/f0a353120947e2c225be52af6147fdc1.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Berger_Blanc_Suisse.JPG
000038.jpg,https://animalso.com/wp-content/uploads/2018/12/White-Swiss-Shepherd.jpg
000039.jpg,https://ak8.picdn.net/shutterstock/videos/21588778/thumb/1.jpg
