image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/8dfa249/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F00%2Fcc%2Fa57743dd4130b25e14d9ffa9f16a%2Fberger-picard-AP-G9XPDM-645sm5814.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07192240/New-Stacking-full-body-2.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28160308/Berger-Picard-Care1-500x750.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/9/91/Picard_Delice_Stacked.jpg
000005.jpg,https://www.petful.com/wp-content/uploads/2015/08/berger-picard-breed-profile-copy-750x799.jpg
000006.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/berger-picard-dog-breed-pictures/face-1_680-453.jpg
000007.jpg,https://www.petmd.com/sites/default/files/petmd-berger-picard.jpg
000008.jpg,http://cdn.akc.org/content/hero/loupyheader.jpg
000009.jpg,http://picards.us/wp-content/uploads/2017/05/Front-page.jpg
000010.jpg,https://www.dogmal.com/wp-content/uploads/2018/07/berger-picard.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/01/Berger-Picard.jpg
000012.jpg,http://www.eclipsekennels.com/images/main1.jpg
000013.jpg,https://www.dogalize.com/wp-content/uploads/2017/03/Berger-Picard-dog.jpg
000014.jpg,https://i.pinimg.com/originals/97/f4/c0/97f4c02d58206fa0c9aa76fdfb5e5318.jpg
000015.jpg,http://picards.us/wp-content/uploads/2013/03/VCmountain-meg.jpg
000016.jpg,https://images-na.ssl-images-amazon.com/images/I/51mj9AtwzNL._SX258_BO1,204,203,200_.jpg
000017.jpg,https://vetstreet.brightspotcdn.com/dims4/default/84a06c4/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F2c%2F6c%2Fb86ed2ce408aa8de700127444d9e%2Fberger-picard-AP-1NM66J-645sm5814.jpg
000018.jpg,https://www.davisenterprise.com/files/2016/02/Meggie1W.jpg
000019.jpg,https://www.dogster.com/wp-content/uploads/2015/05/berger-picard-curious.jpg
000020.jpg,https://i.pinimg.com/originals/4a/af/cd/4aafcdb723075e6ffdd1b12c8143845a.jpg
000021.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23290_berger-picard-460x290.jpg
000022.jpg,http://picards.us/wp-content/uploads/2013/01/Only-in-stack-CR-FL.jpg
000023.jpg,http://deborahsilver.com/blog/wp-content/uploads/2016/04/Berger-Picard.jpg
000024.jpg,https://image.jimcdn.com/app/cms/image/transf/dimension=1920x10000:format=jpg/path/sde9b45142a17d3a6/image/ic645986dda15220a/version/1518696072/image.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Picards_of_both_colors.jpg/220px-Picards_of_both_colors.jpg
000026.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Berger-Picard-3.jpg
000027.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1803/dneprstock180300041/97433502-berger-picard-or-picardy-shepherd-herding-group-breed-dog-digital-art-illustration-isolated-on-white.jpg
000028.jpg,http://2.bp.blogspot.com/-ducT4S9fyv8/UMw03obCxTI/AAAAAAAAAkE/PEp7eNm5a-I/s1600/berger-picard1.jpg
000029.jpg,https://guildofshepherdsandcollies.com/wp-content/uploads/2015/09/Berger-Picard-Jackie-Brown.jpg
000030.jpg,https://www.disktrend.com/wp-content/uploads/2017/03/Berger-Picard-10.jpg
000031.jpg,https://nationalpurebreddogday.com/wp-content/comment-image/3624.jpg
000032.jpg,https://previews.agefotostock.com/previewimage/medibigoff/28d8043b92ba30f86ac200500f3658aa/mev-10984115.jpg
000033.jpg,http://www.dogspotters.com/dog-breed-photos/bergpica.jpg
000034.jpg,https://www.dogbreedinfo.com/images24/BergerDePicardPicardyShepherdJett4monthsPuppyPurebred.JPG
000035.jpg,https://3d4igz27oxtl2iwox73y9smh-wpengine.netdna-ssl.com/wp-content/uploads/2019/03/bergerfi.jpg
000036.jpg,http://picards.us/wp-content/uploads/2013/04/Juvenile-coat.jpg
000037.jpg,https://i.pinimg.com/originals/2b/ee/2c/2bee2c69d87f451998035434f741507e.jpg
000038.jpg,https://vetstreet-brightspot.s3.amazonaws.com/14/bd/89b5c09248d4b3da5db544219881/berger-picard-AP-1AU99V-645sm5814.jpg
000039.jpg,http://elelur.com/data_images/dog-breeds/berger-picard/berger-picard-05.jpg
000040.jpg,https://www.showsightmagazine.com/files/news/5cd596ce9c3c54.22619203.jpg
000041.jpg,http://www.idesofmarchpicards.com/uploads/1/3/2/4/13249572/5215532.jpg
000042.jpg,http://www.dogvog.com/wp-content/uploads/2018/08/Berger-Picard.jpg
000043.jpg,http://guildofshepherdsandcollies.com/wp-content/uploads/2015/09/Berger-Picard-Jackie-Brown-3.jpg
000044.jpg,https://ak1.ostkcdn.com/images/products/is/images/direct/0f8b4a5c867bdecb87e808f2614fd2abd83ffb76/Healthy-Breeds-Berger%C2%A0Picard-Chamomile-Dog-Shampoo.jpg
000045.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_herding_bergerpicard_181119.jpg
000046.jpg,https://www.k9rl.com/wp-content/uploads/2016/01/Berger-Picard-Picardly-Shepherd-Sheepdog.jpg
000047.jpg,https://animals.net/wp-content/uploads/2019/01/Berger-Picard-4-650x425.jpg
000048.jpg,http://www.idesofmarchpicards.com/uploads/1/3/2/4/13249572/published/mbx20862.jpg?1503774088
000049.jpg,https://i.ytimg.com/vi/k0Dzq2HNU5E/hqdefault.jpg
000050.jpg,http://deborahsilver.com/blog/wp-content/uploads/2016/04/DSC_4528.jpg
