image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/bichon-frise-dog-breed-pictures/1-sitting.jpg
000002.jpg,https://images-na.ssl-images-amazon.com/images/I/71fVFUzy9QL.jpg
000003.jpg,https://images-na.ssl-images-amazon.com/images/I/711FMrL%2BS9L.jpg
000004.jpg,https://images-na.ssl-images-amazon.com/images/I/81IQWprZlZL._SL1500_.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000402/Bichon-Frise-On-White-03.jpg
000006.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2019/04/bichon-frise-dog-breed.jpg
000007.jpg,https://cdn.europosters.eu/image/1300/calendar/bichon-frise-i50703.jpg
000008.jpg,https://previews.123rf.com/images/anskuw/anskuw1609/anskuw160900017/64720391-cute-small-bichon-frise-puppy-at-9-weeks-old-sitting-on-white-isolated-background.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Bichon_Fris%C3%A9_-_studdogbichon.jpg
000010.jpg,https://previews.123rf.com/images/anskuw/anskuw1609/anskuw160900030/64720411-cute-small-bichon-frise-puppy-at-9-weeks-old-sitting-on-black-background.jpg
000011.jpg,https://media.istockphoto.com/photos/bichon-frise-dog-sitting-against-white-background-picture-id962815844?k=6&m=962815844&s=170667a&w=0&h=QJ_McJsJJ7KEeJMKb8mpF2y9ChMpd-OA_ORj15MNLj4=
000012.jpg,https://www.calendars.com/img/p/orig/202000004236.jpg
000013.jpg,https://www.calendarclub.co.uk/-/media/productimages/24/08/240838_main.jpg
000014.jpg,https://www.pets4homes.co.uk/images/articles/2386/large/health-and-care-of-the-bichon-frise-dog-5af07f8a8476a.jpg
000015.jpg,https://s7d2.scene7.com/is/image/homedepotcanada/p_1001043297.jpg?$pipGallery$&hei=1000&wid=1000&fmt=jpg&fit=constrain
000016.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/27/66/79/89/700_FO27667989_1feec3f18e24606601c0f3f6bc2745c0.jpg,700,467,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,417,jpg)/wall-murals-bichon-frise-puppies.jpg.jpg
000017.jpg,https://www.woopets.fr/assets/races/000/059/mobile/bichon-a-poil-frise.jpg
000018.jpg,https://media.istockphoto.com/photos/bichon-frise-dog-picture-id497867844
000019.jpg,https://www.thecolouredhouse.nl/media/image/bb/fa/fb/The_Mountain_Tshirt_Bichon_Frise_Face_600x600.jpg
