image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/2017/11/black-mouth-cur-dog-breed-pictures-cover-460x260.jpg
000002.jpg,https://animalso.com/wp-content/uploads/2016/12/Black-mouth-cur-cover.jpg
000003.jpg,https://dogsnet.com/wp-content/uploads/2019/03/black-mouth-cur-puppy.jpg
000004.jpg,https://www.petguide.com/wp-content/uploads/2014/10/black-mouth-cur.jpg
000005.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Black-Mouth-cur-810x540.jpeg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Black_mouth_cur-10.jpg
000007.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/black-mouth-cur.jpg
000008.jpg,https://animalso.com/wp-content/uploads/2016/12/black-mouth-cur-puppies_1.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Black-Mouth-Cur-2.jpg
000010.jpg,https://i.pinimg.com/originals/ef/eb/42/efeb425124764fd7eab433fefb6115bf.jpg
000011.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/02/Black-Mouth-Cur-Mixes-long.jpg
000012.jpg,http://www.dogster.com/wp-content/uploads/2016/08/black-mouth-cur.jpg
000013.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41075283/1/?bust=1519919347&width=720
000014.jpg,https://www.dogbreedinfo.com/images27/BlackMouthCurPurebredDogTanBlackBicolorGus11MOnthsOld1.jpg
000015.jpg,https://i.pinimg.com/originals/6c/a6/30/6ca630545577914ec9394e8742b4539a.jpg
000016.jpg,https://www.petguide.com/wp-content/uploads/2014/10/black-mouth-cur-1-241x300.jpg
000017.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/42253998/1/?bust=1532223987&width=720
000018.jpg,https://www.dogbreedplus.com/dog_breeds/images/blackmouth-cur-red.jpg
000019.jpg,https://images-ra.adoptapet.com/seo/1/sc/804_sc.png
000020.jpg,https://img.dog-learn.com/dog-breeds/black-mouth-cur/black-mouth-cur-puppy-i1-sz14.jpg
000021.jpg,https://www.dogbreedinfo.com/images25/BlackMouthCurDogNani9MonthsOld1.jpg
000022.jpg,https://i.ytimg.com/vi/-f2uktssXH8/maxresdefault.jpg
000023.jpg,https://images07.foap.com/images/10ceaf86-c00c-4d41-887d-389df7ab1e04/black-mouth-cur-puppy-posing-by-harbor-beach-in-york-maine-one-ear-up-and-one-ear-down-always.jpg?filename=w1280&dw=960
000024.jpg,https://www.northerncaliforniablackmouthcurs.com/wp-content/uploads/2019/04/IMG_1526-1024x560.jpg
000025.jpg,https://www.rover.com/blog/wp-content/uploads/2018/06/blackmothcur-960x540.jpg
000026.jpg,https://ckcusa.com/media/147482/black-mouth-cur.jpg?preset=ckcBreedImage375
000027.jpg,https://www.northerncaliforniablackmouthcurs.com/wp-content/uploads/2019/03/IMG_1465-1024x793.jpg
000028.jpg,https://animalso.com/wp-content/uploads/2016/12/black-mouth-cur_5.jpg
000029.jpg,https://images.wagwalkingweb.com/media/breed/black-mouth-cur/hero/Black-Mouth-Cur.jpg
000030.jpg,https://www.northerncaliforniablackmouthcurs.com/wp-content/uploads/2019/04/IMG_1519.jpg
000031.jpg,https://i.ytimg.com/vi/ntuUGR8QqUE/maxresdefault.jpg
000032.jpg,https://i.pinimg.com/originals/c4/6c/df/c46cdf6bca8af6c593ec22dc9a61d730.jpg
000033.jpg,http://www.easypetmd.com/sites/default/files/Black%20Mouth%20Cur%20(2).JPG
000034.jpg,https://pet-uploads.adoptapet.com/2/2/2/189675729.jpg
000035.jpg,https://c8.alamy.com/comp/PRDPN3/black-mouth-cur-dog-lies-on-the-grass-of-the-countryside-puppy-in-sepia-style-PRDPN3.jpg
000036.jpg,https://www.k9ofmine.com/wp-content/uploads/2018/11/black-mouth-cur-puppy-1150x700.jpg
000037.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/02/black-mouth-cur-pitbull-mix-header.jpg
000038.jpg,https://animalso.com/wp-content/uploads/2016/12/black-mouth-cur_11.jpg
000039.jpg,https://img.dog-learn.com/dog-breeds/black-mouth-cur/black-mouth-cur-puppy-i1-sz5.jpg
000040.jpg,http://4bsblackmouthcurs.weebly.com/uploads/3/8/1/8/38183367/7047931.jpg?230
000041.jpg,https://petgearlab.com/wp-content/uploads/2018/01/black-mouth-cur-overview.jpg
000042.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41825483/3/?bust=1545148470
000043.jpg,https://animalso.com/wp-content/uploads/2016/12/black-mouth-cur_4.jpg
000044.jpg,https://s.yimg.com/aah/gundog/chris-s-dog-bandit-black-mouth-cur-boxer-mix-19.jpg
000045.jpg,http://www.easypetmd.com/sites/default/files/Black%20Mouth%20Cur%20(3).jpg
000046.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/%7Bslug%7D/hero/1542128035.34/black-mouth-cur-dog-names.jpg
000047.jpg,http://www.givensblackmouthcur.com/publishImages/index~~element11.jpg
000048.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/43742939/1/?bust=1547178141&width=720
000049.jpg,https://coronadotimes.com/wp-content/uploads/2018/04/Bethany_PAWS.jpg
000050.jpg,https://alfpetnetwork.com/wp-content/uploads/formidable/7/received_411727986290179.jpeg
