image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/BlackNorwegianElkhound.jpg
000002.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Black-Norwegian-Elkhound-1.jpg
000003.jpg,https://www.skk.se/globalassets/nku/filer/images/nordic-breeds/12-norsk-elghund-sort--19_vibeke-brath.jpg
000004.jpg,http://www.dogzone.com/images/breeds/black-norwegian-elkhound.jpg
000005.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Black-Norwegian-Elkhound-2.jpg
000006.jpg,http://primitivedogs.com/wp-content/uploads/2016/03/Black-Norwegian-Elkhound.jpg
000007.jpg,http://primitivedogs.com/wp-content/uploads/2016/03/Black-Elkhound.jpg
000008.jpg,https://animalsadda.com/wp-content/uploads/2015/11/Black-Norwegian-Elkhound-2.jpg
000009.jpg,https://i.pinimg.com/originals/d2/93/0e/d2930ec0e9b363c50d6eb9d2b86dd4d3.jpg
000010.jpg,https://dogbreedatlas.com/images/dog-breed-photos/black-norwegian-elkhound/001/black-norwegian-elkhound-1490441712-1.jpg
000011.jpg,https://i.pinimg.com/originals/e5/14/45/e51445ad626cf0f6bc918fea52074754.jpg
000012.jpg,https://dogwellnet.com/uploads/monthly_2017_08/598f4cd815e76_blachnorwegianelkhound.png.99f06a3ec5589da6a4781fcc19a99931.png
000013.jpg,https://thornews.files.wordpress.com/2012/01/norwegian-elkhound-black.jpg?w=421&h=393
000014.jpg,https://i.pinimg.com/originals/73/2c/eb/732cebeeaa6ce98302b5615b5f42f8a3.jpg
000015.jpg,http://www.mypetdesire.com/myadmin/assets/img/post/blog_308_BLACK_NORWEGIAN_ELKHOUND.jpg
000016.jpg,https://dogbreedatlas.com/images/dog-breed-photos/black-norwegian-elkhound/001/black-norwegian-elkhound-1490442983-2.jpg
000017.jpg,https://wds2018.com/wp-content/uploads/2017/05/NOZ-OU-0006.jpg
000018.jpg,http://1.bp.blogspot.com/_wxtdziSoI_M/S9bb1XPrOyI/AAAAAAAACJE/75VAZhN4VLg/s1600/Black+Norwegian+Elkhound+Puppies.jpg
000019.jpg,https://alldogsworld.com/wp-content/uploads/2014/08/black-norwegian-elkhound.jpg
000020.jpg,https://images.wagwalkingweb.com/media/breed/black-norwegian-elkhound/hero/Black-Norwegian-Elkhound.jpg
000021.jpg,https://i.pinimg.com/736x/43/5b/e5/435be56656a1b3347d2dca6f62b02297--norwegian-elkhound-dog-breeds.jpg
000022.jpg,http://primitivedogs.com/wp-content/uploads/2016/03/Norsk-Elghund-Sort.jpg
000023.jpg,https://img.dog-learn.com/dog-breeds/norwegian-elkhound/norwegian-elkhound-i2.jpg
000024.jpg,https://www.dogbreedinfo.com/images10/norwegian%20elkhoundbanditowalk%20age%208.jpg
000025.jpg,https://dogbreedatlas.com/images/dog-breed-photos/black-norwegian-elkhound/001/black-norwegian-elkhound-1490441708-2.jpg
000026.jpg,https://c8.alamy.com/comp/PFRM3B/black-norwegian-elkhound-norsk-elghund-sort-side-view-PFRM3B.jpg
000027.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230343/Norwegian-Elkhound-On-White-03.jpg
000028.jpg,https://img.dog-learn.com/dog-breeds/norwegian-elkhound/norwegian-elkhound-sz14.jpg
000029.jpg,https://www.dogbreedinfo.com/images10/norwegian%20elkhoundbandito-sunbathing%20age%205.jpg
000030.jpg,https://usercontent2.hubstatic.com/14217901_f520.jpg
000031.jpg,https://i.pinimg.com/originals/68/e6/c9/68e6c93abb192a874500c18b066476f9.jpg
000032.jpg,https://images.wagwalkingweb.com/media/breed/norwegian-elkhound/appearance/norwegian-elkhound.png
000033.jpg,https://www.dogbreedinfo.com/images10/norwegian%20elkhoundbanditoand-flashone%20of%20rare%20cat.jpg
000034.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/01/Norwegian-Elkhound-Photos.jpg
000035.jpg,http://4.bp.blogspot.com/_E3P-Z4qQHY0/TL5OC3WPrxI/AAAAAAAAAvY/7rHdMo_nGfo/s400/black+norwegian+elkhound+001.jpg
000036.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Norwegian-Elkhound-2.jpg
000037.jpg,https://indulgeyourpet.com/wp-content/uploads/Norwegian-Elkhound-Puppy.png
000038.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223641/Swedish-Lapphund-On-White-01-400x267.jpg
000039.jpg,https://petlandlewiscenter.com/wp-content/uploads/2017/06/903086_800.jpg
000040.jpg,https://animalsbreeds.com/wp-content/uploads/2014/07/Grey-Norwegian-Elkhound-5.jpg
000041.jpg,https://www.dogbreedinfo.com/images31/NorwegianElkhoundPuppyDogGunnar3MonthsOld1.jpg
000042.jpg,https://dogbreedatlas.com/images/dog-breed-photos/black-norwegian-elkhound/001/black-norwegian-elkhound-1490441713-1.jpg
000043.jpg,https://66.media.tumblr.com/eb6a411d1f2ffa8b6505339cd403b24c/tumblr_o2rgp1bQPp1tazs24o1_400.jpg
000044.jpg,https://i.pinimg.com/236x/2e/1e/52/2e1e526422a40c2609fa03ab6f66cb32--norwegian-elkhound-daughters.jpg
000045.jpg,https://c8.alamy.com/comp/GDFFMD/norwegian-elkhound-black-GDFFMD.jpg
000046.jpg,https://animalsbreeds.com/wp-content/uploads/2014/07/Black-Norwegian-Elkhound-5.jpg
000047.jpg,https://i.ytimg.com/vi/cZXiSNzim-s/maxresdefault.jpg
000048.jpg,https://c8.alamy.com/comp/GDFFME/norwegian-elkhound-black-GDFFME.jpg
000049.jpg,https://i.imgur.com/74yFxoI.jpg
000050.jpg,https://i.etsystatic.com/13754689/d/il/45b316/1774717902/il_340x270.1774717902_3l05.jpg?version=0
