image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/black-russian-terrier-detail.jpg?bust=1535565261&width=355
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Russianblack.jpg
000003.jpg,https://i.pinimg.com/originals/a6/39/7c/a6397c4e6817f0111ea0596800518c2b.jpg
000004.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/black-russian-terrier.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29203455/Black-Russian-Terrier-On-White-031.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000309/Black-Russian-Terrier-Care.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Black-Russian-Terrier-1.jpg
000008.jpg,https://static1.squarespace.com/static/5946694c9de4bb69d24ece6a/t/5951b2231e5b6cb1b7ec2249/1498526260966/Characteristics+Banner.png?format=1500w
000009.jpg,https://i.ytimg.com/vi/zc6redTnXd0/maxresdefault.jpg
000010.jpg,https://live.staticflickr.com/4098/4910285146_dac486c393_b.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000255/Black-Russian-Terrier-MP.jpg
000012.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22914_black-russian-terrier-460x290.jpg
000013.jpg,https://www.dogbreedinfo.com/images22/BlackRussianTerrierBojaiCrookBoris3.jpg
000014.jpg,https://doglime.com/wp-content/uploads/2019/06/Black-Russian-Terrier-History-and-Behavior.jpg
000015.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Black-Russian-Terrier-2.jpg
000016.jpg,https://stopmydogshedding.com/wp-content/uploads/2018/06/black-russian-terrier.jpeg
000017.jpg,https://vetstreet.brightspotcdn.com/dims4/default/5b33633/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F28%2F72%2F4c9e0687496c89e29b5a9a237482%2FBlack-Russian-Terrier-AP-4ZAZGD-645sm11514.jpg
000018.jpg,https://cdn.mysmelly.com/image:/sitefs/perm/pi/b/q/b/7/401.300.0_rc9b4xp37ct8.jpg
000019.jpg,http://www.thedogplace.org/images/breeds/BlackRussianTerrier/BRT-profile-m.powell-1702.jpg
000020.jpg,https://static1.squarespace.com/static/5946694c9de4bb69d24ece6a/t/5951b2ffb3db2b4326b4a602/1502064188499/
000021.jpg,http://static.pedigreedatabase.com/dogbreeds/black_russian_terrier.jpg
000022.jpg,http://7wallpapers.net/wp-content/uploads/4_Black-Russian-Terrier.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Black_Russian_Terrier_carting.jpg/220px-Black_Russian_Terrier_carting.jpg
000024.jpg,https://i2.wp.com/pinnacle-black-russian-terrier-breeder.com/images/arbatRitaKS_50p.jpg
000025.jpg,https://vetstreet-brightspot.s3.amazonaws.com/a4/865ab0a72211e0a0d50050568d634f/file/Black-Russian-Terrier-2-645mk062311.jpg
000026.jpg,https://sites.google.com/site/hyperuricosuriabrts/_/rsrc/1353740989497/config/Oiran%202012.jpg
000027.jpg,https://previews.123rf.com/images/dragonika/dragonika1711/dragonika171100012/90957461-black-russian-terrier-dog.jpg
000028.jpg,http://www.barentsnight.ca/news2017/mom.gif
000029.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/10/black-russian-terriers-3-min-min.jpg
000030.jpg,https://i1.wp.com/www.mascotarios.org/wp-content/gallery/black-russian-terrier/black-russian-terrier5.jpg
000031.jpg,https://dog-supplements.com/wp-content/uploads/2017/09/Black-Russian-Terriers.jpg
000032.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_working_blackrussianterrier_171120.jpg
000033.jpg,https://res.cloudinary.com/fwkc-production/image/upload/c_fit,dpr_3.0,f_auto,g_center,h_410,q_auto,w_730/v1/fwkc/import/852
000034.jpg,https://canadiandogs.com/wp-content/uploads/Iz-Teremka-Web.jpg
000035.jpg,https://indulgeyourpet.com/wp-content/uploads/Black-Russian-Terrier.png
000036.jpg,http://sentinelkennels.com/B-Litter/Maylish_37p.jpg
000037.jpg,https://www.feedfond.com/wp-content/uploads/2017/09/5-Facts-about-the-Black-Russian-Terrier-every-dog-lover-should-know-Featured-image-768x384.png
000038.jpg,http://cdn.akc.org/content/hero/black_russian_terrier_puppies_header.jpg
000039.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Black-Russian-Terrier-3.jpg
000040.jpg,https://www.petful.com/wp-content/uploads/2015/02/Black-Russian-Terrier-750x412.jpg
000041.jpg,http://www.astrafidelis.eu/images/Black%20Russian%20terrier%20puppies%20for%20sale.jpg
000042.jpg,https://www.pets4homes.co.uk/images/breeds/231/large/7d2eef62466b3d0c7b373010551c5b72.jpg
000043.jpg,https://animals.net/wp-content/uploads/2018/10/Black-Russian-Terrier-1-650x425.jpg
000044.jpg,https://www.dogbreedinfo.com/images22/BlackRussianTerrierBojaiCrookBoris2.jpg
000045.jpg,https://i.pinimg.com/originals/c6/7f/e6/c67fe6bcf055a949964f0cceb88142fa.jpg
000046.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_working_blackrussianterrier_181120.jpg
000047.jpg,https://live.staticflickr.com/4222/34506900713_4bce4f5343_b.jpg
000048.jpg,http://blackrussianterrierpuppies.net/wp-content/uploads/2016/12/Nicholas.png
000049.jpg,https://princeofprice.com/wp-content/uploads/2019/01/Black-Russian-Terrier.png
000050.jpg,https://i.ytimg.com/vi/5c5OmE0grLA/maxresdefault.jpg
