image,source
000001.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Black-and-Tan-Virginia-Foxhound-Photos.jpg
000002.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Black-and-Tan-Virginia-Foxhound-Dog.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Black-and-Tan-Virginia-Foxhound-Images.jpg
000004.jpg,https://images.wagwalkingweb.com/media/breed/black-and-tan-virginia-foxhound/hero/Black-and-Tan-Virginia-Foxhound.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Black-and-Tan-Virginia-Foxhound-Pictures.jpg
000006.jpg,http://www.easypetmd.com/sites/default/files/Black%20and%20Tan%20Virginia%20Foxhound(2).jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Black-and-Tan-Virginia-Foxhound.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Male-Black-and-Tan-Virginia-Foxhound.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Images-of-Black-and-Tan-Virginia-Foxhound.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Photos-of-Black-Tan-Virginia-Foxhound.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Pictures-of-Black-and-Tan-Virginia-Foxhound.jpg
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Black-and-Tan-Virginia-Foxhound-Puppies.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Black_and_Tan_Coonhound.jpg
000014.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Black-and-Tan-Virginia-Foxhound-dog.jpg
000015.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2018/11/Black-and-Tan-Coonhound-1.jpg?resize=749%2C512
000016.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Black-and-Tan-Virginia-Foxhound-dog-size.jpg
000017.jpg,https://www.europetnet.org/images/dogbreeds/blackandtancoonhound1.jpg
000018.jpg,https://statesymbolsusa.org/sites/statesymbolsusa.org/files/American-Foxhound.jpg
000019.jpg,https://dogbreedatlas.com/images/dog-breed-photos/black-and-tan-coonhound/001/black-and-tan-coonhound-1486878063-2.jpg
000020.jpg,https://images.ctfassets.net/w00x6p5qkejz/fgony6oxi0KiaSM4IM2oO/192c93b2e3131721f72dbb35bce2beca/Coonhound__Black_and_Tan_1.png
000021.jpg,https://www.europetnet.com/images/dogbreeds/blackandtanvirginiafoxhound.jpg
000022.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/black-and-tan-coonhound-detail.jpg?bust=1535565252&width=355
000023.jpg,https://www.pets4homes.co.uk/images/articles/2425/large/more-information-on-the-black-and-tan-coonhound-549ff59813c6e.jpg
000024.jpg,https://i.pinimg.com/originals/44/ae/fa/44aefac8a34586856e6f9c3425406dc6.jpg
000025.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23006_american-foxhound-460x290.jpg
000026.jpg,https://img.dog-learn.com/dog-breeds/foxhound/foxhound-sz6.jpg
000027.jpg,http://yashasjoshi.me/wp-content/uploads/2019/02/black-and-tan-virginia-foxhound-high-definition-wallpapers.jpg
000028.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-english-foxhound178090443.jpg?itok=svCcvGol
000029.jpg,https://www.wiki-pet.com/images/breeds/dog/breed-images/38/super-size/black-and-tan-coonhound-1.jpg
000030.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/BTCoonhnd.jpg/220px-BTCoonhnd.jpg
000031.jpg,http://www.dogwallpapers.net/wallpapers/funny-black-and-tan-virginia-foxhound-wallpaper.jpg
000032.jpg,https://www.petguide.com/wp-content/uploads/2013/02/bluetick-coonhound.jpg
000033.jpg,http://www.petpaw.com.au/wp-content/gallery/dog-breeds-71-80/black-and-tan-virginia-foxhound.jpg
000034.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/02/black-and-tan-dog-long.jpg
000035.jpg,https://statesymbolsusa.org/sites/statesymbolsusa.org/files/American-Foxhound-2.jpg
000036.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001630/American-Foxhound-On-White-03.jpg
000037.jpg,https://as1.ftcdn.net/jpg/02/02/97/36/500_F_202973685_VoediDtIQuHm4sFnCYuxEsH8hnBOyKuJ.jpg
000038.jpg,http://www.easypetmd.com/sites/default/files/Black%20and%20Tan%20Coonhound%20(2).jpg
000039.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/Black-Tan-Coonhound.jpg
000040.jpg,https://images.ctfassets.net/w00x6p5qkejz/24VDmUAccIaci4iWWGYyAC/3ae8aa61741b1bed86ddc928c047052a/Coonhound__Black_and_Tan_3.png
000041.jpg,https://4.bp.blogspot.com/-YS_Z_l8fYfs/WlYLe-ysK_I/AAAAAAAABiE/grG25RvgCwML9PuNQPt0vSmIFOzFgLCkQCLcBGAs/s1600/Black_%2526_Tan_Coonhound_2.JPG
000042.jpg,http://98.158.193.197/wp-content/uploads/2015/10/blackandtancoonhound_dunn.jpg
000043.jpg,https://ckcusa.com/media/147796/running-walker-foxhound.jpg?preset=ckcBreedImage375
000044.jpg,https://cdn11.bigcommerce.com/s-jbg7mp3qyd/images/stencil/800x800/products/14131/14420/Black_and_Tan_Virginia_Foxhound_Co__65414__84487.1474352444.png?c=2&imbypass=on
000045.jpg,https://www.dogalize.com/wp-content/uploads/2017/03/Black-and-Tan-Coonhound.jpg
