image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/27202753/Bohemian-Shepherd.1.jpg
000002.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bohemian-Shepherd-2.jpg
000003.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bohemian-Shepherd-3.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/OREADY_KROSANDRA_%2814%29.JPG
000005.jpg,https://images.wagwalkingweb.com/media/breed/bohemian-shepherd/hero/Bohemian-Shepherd_QOL7TIh.jpg
000006.jpg,https://i.pinimg.com/originals/b3/6c/c3/b36cc375315d46e278a796e115686b62.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bohemian-Shepherd-1.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Images-of-Bohemian-Shepherd.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/27203226/Bohemian-Shepherd-puppy.jpg
000010.jpg,https://www.dogzone.com/images/breeds/bohemian-shepherd-puppy.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bohemian-Shepherd-Pictures.jpg
000012.jpg,http://www.rocadog.com/uploads/5/4/8/7/54876749/caezare-chucky-od-mal-ho-kos-e-3_orig.jpg
000013.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2016/03/Chodske-psy-e1458149786493.jpg
000014.jpg,https://www.dogbreedplus.com/dog_breeds/images/bohemian_shepherd.jpg
000015.jpg,https://i.pinimg.com/236x/9f/cd/db/9fcddb319669cb2ff3b87f450fadecce--brown-colors-dog-types.jpg
000016.jpg,https://i.pinimg.com/originals/41/80/82/418082a4b672c96aad2890e36671bab4.jpg
000017.jpg,http://woofposts.com/wp-content/uploads/2017/09/Bohemian-Shepherd.jpg
000018.jpg,https://c8.alamy.com/comp/RTT0BA/typical-bohemian-shepherd-in-the-public-park-RTT0BA.jpg
000019.jpg,https://static2.bigstockphoto.com/4/2/1/large1500/124501511.jpg
000020.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/25125247/Bohemian-Shepherd-care.jpg
000021.jpg,https://c8.alamy.com/comp/FWGC9W/bohemian-shepherd-puppy-czech-national-breed-most-popular-breed-in-FWGC9W.jpg
000022.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bohemian-Shepherd-Photos.jpg
000023.jpg,https://alldogsworld.com/wp-content/uploads/2014/08/bohemian-shepherd.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bohemian-Shepherd-Images.jpg
000025.jpg,https://i.pinimg.com/originals/e2/9a/03/e29a03c75dd2184ec3bf3cd3065f908a.jpg
000026.jpg,https://c8.alamy.com/comp/XA4924/bohemian-shepherd-adult-sitting-germany-XA4924.jpg
000027.jpg,https://i.pinimg.com/originals/ef/38/bb/ef38bb1860fb012aa3d22be4b38c2d1a.jpg
000028.jpg,https://www.dogbreedinfo.com/images14/BohemianShepherdNicka20.JPG
000029.jpg,https://animalsadda.com/wp-content/uploads/2017/08/Bohemian-Shepherd-2.jpg
000030.jpg,https://st3.depositphotos.com/2221418/13092/i/1600/depositphotos_130926214-stock-photo-beautiful-bitch-of-bohemian-shepherd.jpg
000031.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bohemian-Shepherd-with-Puppies.jpg
000032.jpg,https://as2.ftcdn.net/jpg/02/51/19/37/500_F_251193796_HHZh3mRJb6yq0cIwCNW07MXP10kKHGAO.jpg
000033.jpg,https://static2.bigstockphoto.com/7/8/1/large1500/187938607.jpg
000034.jpg,https://previews.123rf.com/images/zuzule/zuzule1609/zuzule160900023/65109341-beautiful-puppy-of-bohemian-shepherd-sitting-in-the-grass.jpg
000035.jpg,https://i.ytimg.com/vi/EDo6a23gFt0/hqdefault.jpg
000036.jpg,https://animalsadda.com/wp-content/uploads/2017/08/Bohemian-Shepherd.jpg
000037.jpg,https://previews.123rf.com/images/zuzule/zuzule1611/zuzule161100030/66642448-beautiful-bitch-of-bohemian-shepherd-with-its-puppies-in-the-garden.jpg
000038.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Bohemian_Shepherd.jpg
000039.jpg,https://i.pinimg.com/originals/63/d8/9e/63d89e1c6e35c1f7c3e4fdf05936d6a1.jpg
000040.jpg,https://www.dogbreedinfo.com/images15/BohemianShepherdRegalNicka.JPG
000041.jpg,https://thumbs.dreamstime.com/z/two-dogs-posing-as-team-bohemian-shepherd-dog-heeler-puppy-cute-studio-127907927.jpg
000042.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bohemian-Shepherd-Puppy.jpg
000043.jpg,https://thumbs.dreamstime.com/z/bohemian-shepherd-resting-portrait-wonderful-female-land-75063825.jpg
000044.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/25125317/Bohemian-Shepherd-history.3.jpg
000045.jpg,https://www.doglib.com/wp-content/uploads/sites/2/bo/bohemian-czech-kingdom-breed.jpg
000046.jpg,https://www.sarauer.cz/articles/img/20171015_IMG_5417.jpg
000047.jpg,https://i.pinimg.com/236x/9b/d0/7e/9bd07ee3bfd4d0b1decf110bcdffe80a--bohemian-jax.jpg
000048.jpg,http://3.bp.blogspot.com/-bOytBnCghcA/TbVFOHwjmsI/AAAAAAAAAOw/XD2nqOvraaY/s1600/Bohemian%2BShepherd%2BDog%2BBreed%2BImages%2B03.jpg
000049.jpg,http://www.dogzone.com/images/breeds/bohemian-shepherd.jpg
000050.jpg,http://www.dogwallpapers.net/wallpapers/friendly-bohemian-shepherd-dog-wallpaper.jpg
