image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23240_bolognese-460x290.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/e5b26fb/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Ff9%2Fff%2F530ed02d43208afe6e88e3b8dd32%2Fbolognese-ap-107upi-645-x-380.jpg
000003.jpg,https://www.pets4homes.co.uk/images/breeds/200/large/198cc3ca23540a1cf26594b77875a8fe.jpg
000004.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/bolognese-dog-breed-pictures/face-5.jpg
000005.jpg,https://images.wagwalkingweb.com/media/breed/bolognese/appearance/bolognese.png
000006.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-AB/bolognese-gucci.jpg
000007.jpg,http://www.dogzone.com/images/breeds/bolognese.jpg
000008.jpg,https://www.pets4homes.co.uk/images/breeds/200/large/d18d63dc8beb7865a20dbeea7ca16356.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f2/11/74789c92419d98783d0086cfc905/bolognese-ap019-5500-6.jpg
000010.jpg,https://dogsaholic.com/wp-content/uploads/2015/08/Bichon-Bolognese-dog-810x446.jpg
000011.jpg,https://i.pinimg.com/originals/11/50/5d/11505d302675b9844de3cec1c743a996.jpg
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bolognese-Dog-Full-Grown.jpg
000013.jpg,https://www.dogbreedinfo.com/images14/BologneseLollyBellaLulu.JPG
000014.jpg,https://animalsadda.com/wp-content/uploads/2015/07/Bolognese-Dog.jpg
000015.jpg,http://www.beautifulbolognese.com/images/Bolognese%20Breed%20Puppy%20For%20Sale.jpg
000016.jpg,https://vetstreet-brightspot.s3.amazonaws.com/02/95/01ee9f13484a99b7e89f258a3b7b/bolognese-puppy-ap-1g7kav.jpg
000017.jpg,https://indulgeyourpet.com/wp-content/uploads/Bolognese-Puppy-1.png
000018.jpg,https://lasvegas-k9.com/content/images/thumbs/0006365_bolognese-dog_550.jpeg
000019.jpg,http://britishbologneseclub.co.uk/wp-content/uploads/2016/03/image-4.jpeg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bolo%C5%84czyk_5e3.jpg/220px-Bolo%C5%84czyk_5e3.jpg
000021.jpg,https://animalsadda.com/wp-content/uploads/2015/07/Bolognese-Dog-7.jpg
000022.jpg,https://canadiandogs.com/wp-content/uploads/Bolognese-1.jpg
000023.jpg,https://www.smalldogplace.com/images/bolognese-dog.jpg
000024.jpg,https://www.europuppy.com/wp-content/uploads/shutterstock_100759987.jpg
000025.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Bolognese-a_cheeky_bolognese_having_his_hair_clipped.jpg
000026.jpg,https://images-ra.adoptapet.com/seo/1/ff/1165_ff.jpg
000027.jpg,https://www.arba.org/Pages/Mccord2.jpg
000028.jpg,https://a-z-animals.com/media/animals/images/470x370/bolognese_dog.jpg
000029.jpg,https://i.pinimg.com/originals/58/7b/df/587bdf99281bc6e0625fab1d8670d2cc.jpg
000030.jpg,https://bolognesedogclubuk.co.uk/wp-content/uploads/2016/05/puppies-summer-2013-with-lily-nearly-7-weeks-e1473777462726.jpg
000031.jpg,http://britishbologneseclub.co.uk/wp-content/uploads/2016/03/Bolo8.jpg
000032.jpg,https://i.ytimg.com/vi/rRwpSuwpc_Y/hqdefault.jpg
000033.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/01/Bolognese-long.jpg
000034.jpg,https://www.petmd.com/sites/default/files/breedopedia/bolognese.jpg
000035.jpg,https://images.wagwalkingweb.com/media/breed/bolognese/hero/bolognese.jpg
000036.jpg,https://www.dogbreedplus.com/dog_breeds/images/bolognese-dog.jpg
000037.jpg,https://www.dogbreedinfo.com/images14/BologneseLOULOU4months.JPG
000038.jpg,https://www.perfectdogbreeds.com/wp-content/uploads/2018/12/Appearance-of-a-Bolognese-Dog-1.jpg
000039.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Bichon-Bolognese.jpg
000040.jpg,https://www.certapet.com/wp-content/uploads/2019/03/Dads-are-the-luckiest..jpg
000041.jpg,https://www.k9harness.com/content/images/thumbs/0003342_bolognese-dog_550.jpeg
000042.jpg,https://thumbs.dreamstime.com/z/bichon-bolognese-dog-poops-park-white-124241965.jpg
000043.jpg,http://www.beautifulbolognese.com/images/Bolognese%20puppy%20stops%20to%20smell%20the%20flowers.jpg
000044.jpg,http://www.arttrav.com/wp-content/uploads/2018/03/goya-detail-dog.jpg
000045.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/746.jpg
000046.jpg,https://vetstreet.brightspotcdn.com/dims4/default/14f45c1/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F26%2Fc2%2F17e1fbe841878ad5589c762bfaf3%2FBolognese-AP-ZHGUPE-645lc111313.jpg
000047.jpg,https://nebula.wsimg.com/8589e1d6790c7ccd232b0d25bb827fd4?AccessKeyId=96AB23CDAC081A3D884F&disposition=0&alloworigin=1
000048.jpg,https://www.dogideas.net/wp-content/uploads/bolognese-dog-for-sale.jpg
000049.jpg,https://nebula.wsimg.com/5e685ee7427a94fe1c2acb1fa075769a?AccessKeyId=A80C0AD163A53589D2A1&disposition=0&alloworigin=1
000050.jpg,https://img1.wsimg.com/isteam/ip/0123d0df-3806-4875-bcf9-4a30ed2aba97/ca2909e5-f4f1-44b9-90cb-b7d496a2cb94.jpg/:/rs=h:500,cg:true,m
