image,source
000001.jpg,https://i.pinimg.com/originals/79/ac/78/79ac7852a4857975b63751e23edbdd23.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192514/Russian-Tysvetnaya-Bolonka-on-White-02.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192504/Russian-Tysvetnaya-Bolonka-Care.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192502/Russian-Tysvetnaya-Bolonka-History-03.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Bolonkas.jpg
000006.jpg,https://previews.123rf.com/images/ulf/ulf1707/ulf170700008/82416885-bolonka-zwetna.jpg
000007.jpg,https://www.russiandog.net/wp-content/uploads/2018/02/Russian-Tsvetnaya-Bolonka.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Photos-of-Bolonka.jpg
000009.jpg,https://img.dog-learn.com/dog-breeds/bolonka-zwetna/bolonka-zwetna-i3-sz14.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/RUSSKAYA_TSVETNAYA_BOLONKA%2C_Rayskoe_Sotsvetie_Tsevtik_%2824264726856%29.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Bolonka-zwetna-rasse.jpg
000012.jpg,https://images.ctfassets.net/w00x6p5qkejz/2XVXiti87miIiI2uAWigKM/3bc35b17d0090cc75c34c01aae1f632e/Russian_Tsvetnaya_Bolonka2.png
000013.jpg,https://images-na.ssl-images-amazon.com/images/I/51yNe8Bj8DL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_PIAmznPrime%2CBottomLeft%2C0%2C-5_SCLZZZZZZZ_.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Russian-Tsvetnaya-Bolonka-2.jpg
000015.jpg,https://cdn.pixabay.com/photo/2018/08/25/11/02/bolonka-3629814_960_720.jpg
000016.jpg,https://blog.ferplast.com/wp-content/uploads/2018/04/cane-cucciolo-cuccioli-bolonka-900x675.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Bolonka-Puppies.jpg
000018.jpg,https://www.pets4homes.co.uk/images/classifieds/2018/01/02/1806485/large/russian-tsvetnaya-bolonka-puppies-5a820d077cef8.jpg
000019.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Images-of-Bolonka.jpg
000020.jpg,https://img.dog-learn.com/dog-breeds/bolonka-zwetna/bolonka-zwenta-i1.jpg
000021.jpg,https://previews.123rf.com/images/ulf/ulf1707/ulf170700001/82416483-bolonka-zwetna.jpg
000022.jpg,https://canadiandogs.com/wp-content/uploads/Russian-Tsvetnaya-Bolonka.jpg
000023.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03123004/Bolonka-puppy.jpg
000024.jpg,https://dogsbreedusa.online/wp-content/uploads/2018/04/Bolonka_1523694698.jpg
000025.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/72.1-1.jpg
000026.jpg,https://www.dogbreedinfo.com/images31/CotonBolonkaCotonDeTulearRussianBolonkaMixBreedDogToby5MonthsOld2.jpg
000027.jpg,https://thumbs.dreamstime.com/z/bolonka-zwetna-studio-25589566.jpg
000028.jpg,https://images1.americanlisted.com/nlarge/russian-tsvetnaya-bolonka-puppy-for-sale-adoption-rescue-americanlisted_109945095.jpg
000029.jpg,https://storage.needpix.com/rsynced_images/bolonka-zwetna-1288569_1280.jpg
000030.jpg,https://st3.depositphotos.com/4814793/18712/i/1600/depositphotos_187128402-stock-photo-dog-portrait-of-a-bolonka.jpg
000031.jpg,https://i.pinimg.com/236x/19/63/75/1963753aba145f0a47ff1bf886062f62--doggies-puppys.jpg
000032.jpg,https://thumbs.dreamstime.com/z/bolonka-zwetna-portrait-young-dog-sitting-sofa-61331524.jpg
000033.jpg,https://upload.wikimedia.org/wikipedia/commons/9/91/Luis-the-bolonka-zwetna.jpg
000034.jpg,http://www.bolonkapup4u.com/image/130381254.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Bolonka_Zwetna.jpg/200px-Bolonka_Zwetna.jpg
000036.jpg,https://light-in-time.com/wp-content/uploads/2018/02/Antonia-Katharina-Tessnow-Bolonka-Zwetna-Zucht-Z%C3%BCchter-Welpen-aus-dem-Alten-Jagdhaus-photography-fotografie-photos-fotos-pictures-bilder-Mecklenburg-vorpommern-dog-dogs-Germany-Deutschland-Puppies-6.jpg
000037.jpg,https://c8.alamy.com/comp/DH8BJH/bolonka-facing-standing-against-white-background-DH8BJH.jpg
000038.jpg,https://www.dogbreedinfo.com/images24/RussianTsvetnayaBolonkaPurebredDogChristian8MonthsOld.jpg
000039.jpg,https://www.dierenhofdebrabandere.be/fotos/rassen-groot/113/22cb000378deff9f417b7c6182f466fb.jpg
000040.jpg,https://www.ekkifant.de/wp-content/uploads/2018/01/bolonkazwetna-emil.1516293455.jpg
000041.jpg,https://www.tierischehelden.de/wp-content/uploads/2018/11/bolonka-zwetna-luis-e1554792356272.jpg
000042.jpg,https://cdn.pixabay.com/photo/2017/09/27/08/05/animal-2791248_960_720.jpg
000043.jpg,https://images.freeart.com/comp/art-print/fa8000513/bolonka-zwetna-in-studio-on-a-neutral-background.jpg
000044.jpg,https://thumbs.dreamstime.com/z/bolonka-zwetna-portrait-cute-young-dog-61340589.jpg
000045.jpg,https://futalis.de/media/kachelbilder/bolonka-zwetna-kachel-ernaehrung.jpg
000046.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192459/Russian-Tysvetnaya-Bolonka-History-02.jpg
000047.jpg,https://previews.123rf.com/images/kotkovahannah/kotkovahannah1806/kotkovahannah180600106/105571833-portrait-of-russian-tsvetnaya-bolonka-with-sticked-out-tongue.jpg
000048.jpg,https://c8.alamy.com/comp/PHAT30/bolonka-zwetna-mix-PHAT30.jpg
000049.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/02/076f2f1acb136e2fa78164983d884647.jpg
000050.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/_0T0WENtX6Va6miV8moarA/ls.jpg
