image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27112214/Border-Collie-care1.jpg
000003.jpg,https://vetstreet.brightspotcdn.com/dims4/default/ed9c960/2147483647/crop/695x409%2B0%2B17/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fee%2F52%2F574ac9cf4c16a6e1c3a8743e5f23%2Fborder-collie-ap-1bwcwp.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235957/Border-Collie-On-White-01.jpg
000005.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2017/11/Border-Collie-UK.jpg
000006.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Border-Collie-2.jpg
000007.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/02/Border-Collie-Temperament-long.jpg
000008.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/06/best-dog-food-for-border-collie-puppies-header.jpg
000009.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/border-collie-700x700-1.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Border_Collie_Blanca_y_Negra_Hembra_%28Belen%2C_Border_Collie_Los_Baganes%29.png/220px-Border_Collie_Blanca_y_Negra_Hembra_%28Belen%2C_Border_Collie_Los_Baganes%29.png
000011.jpg,https://geniusvets.s3.amazonaws.com/gv-dog-breeds/border-collie-1.jpg
000012.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/HERDING_Border-Collie.jpg?itok=1UN31jtA
000013.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Border-Collie_Mobile.jpg?h=300&la=en&w=375&hash=D78A15D513F449F85887EA82FDBD3C29
000014.jpg,https://images.wagwalkingweb.com/media/breed/border-collie/appearance/border-collie.png
000015.jpg,https://i.ytimg.com/vi/SHea-6QDnQc/hqdefault.jpg
000016.jpg,https://www.planethund.com/wp-content/uploads/2013/08/border-collie.jpg
000017.jpg,https://mk0cesarswaykigy4yk3.kinstacdn.com/wp-content/uploads/2017/08/Ten-things-you-didn%E2%80%99t-know-about-Border-collies-1-1.jpg
000018.jpg,https://caws.org/wordpress/wp-content/uploads/2017/12/image8.jpg
000019.jpg,https://www.rover.com/blog/wp-content/uploads/2018/03/border-collie-puppy-960x540.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Border_Collie_Macho_Rojo_Mirlo_%28Beckham%2C_los_Baganes_Border_Collie%29.jpg/220px-Border_Collie_Macho_Rojo_Mirlo_%28Beckham%2C_los_Baganes_Border_Collie%29.jpg
000021.jpg,https://www.carsonvet.com/sites/default/files/styles/large/adaptive-image/public/border-collie-dog-breed-info_0.jpg?itok=5jU5ZiVI
000022.jpg,https://www.aht.org.uk/wp-content/uploads/2019/02/Glaucoma-DNA-test-in-Border-Collies.jpg
000023.jpg,https://g77v3827gg2notadhhw9pew7-wpengine.netdna-ssl.com/wp-content/uploads/2018/02/dog-3104807-1024x660.jpg
000024.jpg,https://www.pets4homes.co.uk/images/breeds/1/large/ba41666800c9e6f77279592d4721e5bc.jpeg
000025.jpg,https://i.pinimg.com/originals/a6/a7/ba/a6a7baf2fa95c283d928f4f2d0457c21.jpg
000026.jpg,https://www.petbarn.com.au/petspot/app/uploads/2014/01/19.-Border-Collie.jpg
000027.jpg,https://www.caninejournal.com/wp-content/uploads/border-collie.jpg
000028.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcdn-image.travelandleisure.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2F1600x1000%2Fpublic%2F1506451124%2Fborder-collie-dogs-australia-COLLIERECORD0917.jpg%3Fitok%3Dkst2xlpt&w=400&c=sc&poi=face&q=85
000029.jpg,https://geniusvets.s3.amazonaws.com/gv-dog-breeds/border-collie-2.jpg
000030.jpg,https://www.ckvets.com/wp-content/uploads/2017/06/Tucker-Webpage.jpg
000031.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/border-collie-card-small.jpg?bust=1535569156
000032.jpg,https://media.graytvinc.com/images/810*540/adorable-animal-border-collie-1124002.jpg
000033.jpg,https://www.pets4homes.co.uk/images/breeds/1/large/2b865a9918b79ba80db6ec7de96fd9d1.jpg
000034.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/border-collie458913775.png
000035.jpg,https://img-aws.ehowcdn.com/600x600p/photos.demandstudios.com/getty/article/178/219/87561279.jpg
000036.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_25a5e3fe-9242-438b-a73a-8bad3ee5ea8a.jpg
000037.jpg,https://petsymptoms.com/wp-content/uploads/2017/08/attentive-border-collie-dog-lying-down-Border-Collie-FEATURE-ss.jpg
000038.jpg,https://vetstreet-brightspot.s3.amazonaws.com/fa/1cf9c0c75711e0a5640050568d6ceb/file/Border-Collie-5-645mk062411.jpg
000039.jpg,https://cdn.omlet.co.uk/images/cache/880/768/Dog-Border_Collie-A_close_up_of_a_Border_Collie's_characteristic_sharp_ears.jpg
000040.jpg,http://www.rspcasa.org.au/wp-content/uploads/2018/10/HANK-final.jpg
000041.jpg,https://www.petplan.co.uk/images/breed-info/border-collie/Border-Collie_common-health-issues_Petplan.jpg
000042.jpg,https://1.bp.blogspot.com/-W7d8eBB7lEI/V4WU--NElTI/AAAAAAAAGls/W51AGygO_tgcQTtBuCAAGaHkXxNflV7LQCLcB/s1600/Border_Collie_Lying_Down_On_Grass.jpg
000043.jpg,https://www.schleich-s.com/media/catalog/product/cache/17/small_image/600x/41ff4e9c985d00a9b9c6d7454ded3dd0/1/6/16840_main_v16_tp.jpg
000044.jpg,https://cdn.britannica.com/s:300x300/54/8154-004-8A02F84E.jpg
000045.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2017/12/Blue-Merle-Border-Collie.jpg?resize=750%2C533
000046.jpg,https://images.wagwalkingweb.com/media/training_guides/come-when-called-1/hero/How-to-Train-Your-Border-Collie-Dog-to-Come-When-Called.jpg
000047.jpg,https://www.petsworld.in/blog/wp-content/uploads/2015/11/Border-Collie-1-e1447832318254.jpg
000048.jpg,http://www.ahtdnatesting.co.uk/wp-content/uploads/2017/04/IMG_3630.jpg
000049.jpg,https://myanimals.com/wp-content/uploads/2018/05/border-collie-4.jpg
000050.jpg,http://pets4life.com.au/wp-content/uploads/2017/08/shutterstock_376523338.jpg
