image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2fe0b47/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fde%2F16%2F818df20c43c296e44caee530c8f4%2Fbouvier-des-flandres-ap-ip0pih-645-x-380.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/bouvier-des-flandres-detail.jpg?bust=1535565331&width=355
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Bouvier.JPG
000004.jpg,https://i.pinimg.com/736x/32/a3/b0/32a3b06132bb4c8bfd8bce8fa36da8a6.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f3/2a5af0a72611e0a0d50050568d634f/file/Bouvier-des-Flandres-3-645mk062311.jpg
000006.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-AB/bouvierdesflandresf5.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bouvier_des_Flandres.jpg/250px-Bouvier_des_Flandres.jpg
000008.jpg,https://dog-supplements.com/wp-content/uploads/2017/09/Bouvier-des-Flandres-F.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bouvier-des-Flandres-2.jpg
000010.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/bouvier-des-floundres/2-size.jpg
000011.jpg,https://canadiandogs.com/wp-content/uploads/Bouvier-des-Flandres.jpg
000012.jpg,https://c8.alamy.com/comp/X9CNMH/bouvier-des-flandres-dog-standing-outside-in-park-uk-X9CNMH.jpg
000013.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44046446/1/?bust=1550533620
000014.jpg,https://i2.wp.com/www.simplypets.com/wp-content/uploads/2017/07/Bouvier-des-Flandres-featured.jpg?fit=920%2C640&ssl=1
000015.jpg,https://www.pets4homes.co.uk/images/breeds/121/large/d00105b3d637db2a8da66a500dceba70.jpg
000016.jpg,https://cf-s3.petcoach.co/uploads/breed/76/1528996436-bouvier2-jpg
000017.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213138/Bouvier-des-Flandres-On-White-01-2-400x267.jpg
000018.jpg,http://www.spockthedog.com/wp-content/uploads/2015/03/Bouvier-des-Flandres.jpg
000019.jpg,https://homesteadontherangecom.files.wordpress.com/2017/05/bouvierf.gif?w=266&h=300
000020.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2018/12/Bouvier-des-Flandres-600x600.jpg
000021.jpg,https://i.pinimg.com/originals/ab/2a/9c/ab2a9cd7432edc7e554290576d5a8d59.jpg
000022.jpg,https://www.thesprucepets.com/thmb/1sZluPACEXZxqeWtpe4C_MFPDsg=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/bouvier-des-flandres-568703357-59b5ca2d054ad9001184aab7.jpg
000023.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/d/df/Bouvier-des-Flandres-800x510.jpg/revision/latest?cb=20170917103320
000024.jpg,https://upload.wikimedia.org/wikipedia/en/c/c7/Bouvier2.JPG
000025.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235721/Bouvier-des-Flandres-On-White-02.jpg
000026.jpg,https://previews.123rf.com/images/ingramsingles/ingramsingles1803/ingramsingles180310869/98202655-bouvier-des-flandres-puppy-portrait.jpg
000027.jpg,https://dogbreedatlas.com/images/dog-breed-photos/bouvier-des-flandres/001/bouvier-des-flandres-1488047048-2.jpg
000028.jpg,https://www.europetnet.com/images/dogbreeds/bouvierdesflanders.jpg
000029.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-bouvier-des-flandres174438159.jpg?itok=cnwGKJw-
000030.jpg,https://www.selectadogbreed.com/media/1541/bouvierdesflandres_puppy.jpg
000031.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_her_bouvierdesflandres_171120.jpg
000032.jpg,https://www.selectadogbreed.com/media/1543/bouvierdesflandres_adult.jpg
000033.jpg,http://doglover.in/wp-content/uploads/2018/06/bouvier-des-flandres-wesen.jpg
000034.jpg,https://dogbreedatlas.com/images/dog-breed-photos/bouvier-des-flandres/001/bouvier-des-flandres-1488047096-1.jpg
000035.jpg,https://images.ctfassets.net/w00x6p5qkejz/1I1keXoKck6ugwumS64c4e/856f4abc04e5c066c337fa3efc0723ac/Bouvier_Des_Flanders3.png
000036.jpg,https://i.pinimg.com/originals/8b/dd/d8/8bddd8f4d05f10b11d6c425fddf26e91.jpg
000037.jpg,https://static3.bigstockphoto.com/4/5/2/large1500/254379508.jpg
000038.jpg,http://caninechronicle.com/wp-content/uploads/2013/07/Bouvier1-300x224.jpg
000039.jpg,https://i1.wp.com/puppytoob.com/wp-content/uploads/2018/10/Bouvier-Des-Flandres-1.jpg?resize=752%2C443
000040.jpg,https://cdn2.bigcommerce.com/server4600/luvhm83/products/79/images/265/Bouvier_des_Flandres_60044__45603.1375392039.1280.1280.jpg?c=2
000041.jpg,http://www.dogspotters.com/dog-breed-photos/boudesfl.jpg
000042.jpg,http://www.chantalsbouviers.com/images/09.16.2014-1.jpg
000043.jpg,https://image.freepik.com/free-photo/bouvier-des-flandres-puppy-portrait_19485-26368.jpg
000044.jpg,https://indulgeyourpet.com/wp-content/uploads/Bouvier-des-Flandres-Puppy.png
000045.jpg,http://breedfinder.ikc.ie/Content/images/breeds/117_bouvier_des_flandres.jpg
000046.jpg,https://www.petguide.com/wp-content/uploads/2013/04/bouviers-des-flandres.jpg
000047.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bouvier-des-Flandres-3.jpg
000048.jpg,http://4.bp.blogspot.com/_mfR4ZOrIiUY/TUUy0WyKJ2I/AAAAAAAAAJE/k4pywxPpJT8/w1200-h630-p-k-no-nu/Bouvier+Des+Flandres+1.jpg
000049.jpg,https://www.freedoglistings.com/pics/puppies-breeders-rescue/N7C4E5WTUDQ2PTI6R5E5.jpg
000050.jpg,https://www.petplanet.co.uk/petplanet/images/breeds/bouvier.jpg
