image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/boxer-dogs-and-puppies/boxer-dogs-puppies-1.jpg
000002.jpg,https://www.rover.com/blog/wp-content/uploads/2018/04/boxer-bog-984304_1920-960x540.jpg
000003.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22916_boxer-460x290.jpg
000004.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2bc14bc/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F5f%2Ffbf8309e9111e0a2380050568d634f%2Ffile%2FBoxer-4-645mk062111.jpg
000005.jpg,https://www.pets4homes.co.uk/images/breeds/3/large/4196d42023cf03fb2c8032abcae00f25.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Male_fawn_Boxer_undocked.jpg
000007.jpg,https://i0.wp.com/metro.co.uk/wp-content/uploads/2017/07/prc_46613223.jpg?quality=90&strip=all&zoom=1&resize=644%2C338&ssl=1
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/bd76e63/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F20%2Fcf06c09e9111e0a2380050568d634f%2Ffile%2Fboxer-5-645mk062411.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17154200/Boxer.1.jpg
000010.jpg,https://www.dogster.com/wp-content/uploads/2019/03/Close-up-of-a-Boxer-with-tongue-out-happy.jpg
000011.jpg,https://img-aws.ehowcdn.com/600x600p/photos.demandstudios.com/136/143/fotolia_6536056_XS.jpg
000012.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-AB/boxersf4.jpg
000013.jpg,https://cdn.pixabay.com/photo/2018/05/14/11/37/boxer-3399598__340.jpg
000014.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235644/Boxer-MP.jpg
000015.jpg,https://thehappypuppysite.com/wp-content/uploads/2017/11/2.jpg
000016.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Boxer-Dog_Mobile.jpg?h=300&la=en&w=375&hash=EEC318BF099E93F6F3A22A3AD2D5D366
000017.jpg,https://www.prestigeanimalhospital.com/sites/default/files/styles/large/adaptive-image/public/boxer-dog-breed-info.jpg?itok=MyiJQLjT
000018.jpg,https://cf-s3.petcoach.co/uploads/breed/77/1485179194-boxer-dog-portrait.jpg
000019.jpg,https://www.dogspot.in/new/breed_engine/images/dog_images/boxer.jpg
000020.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f6/9983d09e9011e0a2380050568d634f/file/boxer-2-645mk062411.jpg
000021.jpg,https://www.askideas.com/media/15/Boxer-Dog-Wallpaper.jpg
000022.jpg,https://media.gettyimages.com/photos/boxer-pup-picture-id138330379
000023.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/boxer-700x700.jpg
000024.jpg,https://phz8.petinsurance.com/-/media/all-phz-images/2016-images-breeds-850/boxer_dog850.jpg
000025.jpg,https://i.pinimg.com/originals/62/fe/b2/62feb2f2fea9a55a37f093f7fbd19446.jpg
000026.jpg,https://g77v3827gg2notadhhw9pew7-wpengine.netdna-ssl.com/wp-content/uploads/2017/12/boxer-dogs-1321216_1280-1024x824.jpg
000027.jpg,https://www.pets4homes.co.uk/images/breeds/3/large/2ac007420d2e0d58c69b34263102d62c.jpg
000028.jpg,https://g77v3827gg2notadhhw9pew7-wpengine.netdna-ssl.com/wp-content/uploads/2017/12/dog-1143528_1920-1024x788.jpg
000029.jpg,https://img.dog-learn.com/dog-breeds/boxer/brindle-boxer-dog-i20-sz14.jpg
000030.jpg,https://previews.123rf.com/images/ncuisinier/ncuisinier1602/ncuisinier160200006/52750376-boxer-dog-silhouette.jpg
000031.jpg,https://www.k9harness.com/content/images/thumbs/0003397_boxer_550.jpeg
000032.jpg,http://cdn.akc.org/content/article-body-image/boxer_headshot.jpg
000033.jpg,https://www.dogslife.com.au/wp-content/uploads/2008/05/boxer.jpg
000034.jpg,https://www.purinaproclub.com/sites/g/files/auxxlc346/files/styles/facebook_share/public/Resources_Dog%20Articles_Health_Line%2057_Thumb_0.jpg?itok=nSTKToWZ
000035.jpg,https://www.dogideas.net/wp-content/uploads/Boxer-Dog-Large-Muscular-Iconic-Watchdog.jpg
000036.jpg,https://www.dogspot.in/event_images/722x485-gurgaon-dog-show-2013_185.jpg
000037.jpg,https://cdn.pixabay.com/photo/2018/04/27/16/49/dog-3355192__340.jpg
000038.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F37%2F2017%2F05%2F15215833%2F102997424.jpg&w=400&c=sc&poi=face&q=85
000039.jpg,https://www.pets4homes.co.uk/images/articles/4939/large/what-are-the-downsides-of-owning-a-boxer-dog-5b80b6c7a928a.jpg
000040.jpg,https://www.fancypuppystore.com/wp-content/uploads/elementor/thumbs/boxer-dogs-o26ryn1ngsbna9iz1fpvv2e26qu2k67sxv3sgroe4o.jpg
000041.jpg,https://images.unsplash.com/photo-1523318500297-5de0dbf1dbd9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&w=1000&q=80
000042.jpg,https://i.ytimg.com/vi/Whl3c7S0jTU/hqdefault.jpg
000043.jpg,http://www.dogster.com/wp-content/uploads/2019/03/Boxer-full-length-body.jpg
000044.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/07/boxer-names-SC-long.jpg
000045.jpg,https://vethelpdirect.com/wordpress/wp-content/uploads/2016/11/c216boxers-tyson-1024x994.jpg
000046.jpg,https://dogsloveusmore.com/wp-content/uploads/2018/05/boxer-dog.jpg
000047.jpg,https://www.rover.com/blog/wp-content/uploads/2017/03/cute-boxer-960x540.jpg
000048.jpg,http://coolsandfools.com/wp-content/uploads/2014/10/71.jpg
000049.jpg,https://www.pets4homes.co.uk/images/breeds/3/large/2c2e5bf31ad613af4446b1b2ee3d7793.jpg
000050.jpg,http://geniusvets.s3.amazonaws.com/gv-dog-breeds/boxer-1.jpg
