image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/boykin-spaniel-detail.jpg?bust=1535565348&width=355
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221633/Boykin-Spaniel-Illo-2-500x500.jpg
000003.jpg,https://vetstreet-brightspot.s3.amazonaws.com/d4/43e0f0a35911e087a80050568d634f/file/Boykin-Spaniel-1-645mk062411.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30223645/Boykin_Spaniel_Alert.jpg
000005.jpg,http://www.locallifesc.com/wp-content/uploads/2018/10/FI-BOYKIN2-1060x523.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Boykin_spaniel.jpg
000007.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/boykin-spaniel-card-small.jpg?bust=1535569141
000008.jpg,https://boykinspaniel.org/gallery_image/ever.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30224151/Boykin_Spaniel_Run.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233354/Field-Spaniel-On-White-01-400x267.jpg
000011.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/12/boykin-spaniel-long-1-1024x555.jpg
000012.jpg,https://boykinspaniel.org/gallery_image/upland%20seminar%2029%2016.jpg
000013.jpg,https://boykinspaniel.org/gallery_image/lucy2.jpg
000014.jpg,https://www.dogbreedinfo.com/images23/BoykinSpanielsJacksonPawlysIslandBoykins.JPG
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Boykin_Spaniel.jpg/220px-Boykin_Spaniel.jpg
000016.jpg,https://www.petguide.com/wp-content/uploads/2013/02/boykin-spaniel-1.jpg
000017.jpg,http://boykinspaniel.org/page_image/header16.png
000018.jpg,https://static1.squarespace.com/static/59eba7b280bd5e3328526b04/t/5b7c82c71ae6cfdb5eeb302f/1534886628193/IMG_2698.JPG?format=500w
000019.jpg,https://static1.squarespace.com/static/59eba7b280bd5e3328526b04/t/5bd0c6a524a69482aaa2e218/1540409065122/Female+Boykin+Spaniel?format=500w
000020.jpg,https://i.pinimg.com/236x/8f/8e/1e/8f8e1e9e040b3bd2ccca228708161ed5--emotional-resilience-junk-drawer.jpg
000021.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Boykin-Spaniel-3.jpg
000022.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2019/01/Boykin-Spaniel-e1546897888534-600x600.jpeg
000023.jpg,https://www.vetarena.org/gallery/image-781.l.jpg
000024.jpg,https://boykinspaniel.org/page_image/newheader27.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Bogie_Female_Boykin.jpg/220px-Bogie_Female_Boykin.jpg
000026.jpg,https://www.southcoasttoday.com/storyimage/NB/20100221/LIFE/2210305/AR/0/AR-2210305.jpg
000027.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/46.1.jpg
000028.jpg,https://i.ytimg.com/vi/m4WlgyFx7Dg/hqdefault.jpg
000029.jpg,https://boykinspaniel.org/gallery_image/ada1.jpg
000030.jpg,https://images.wagwalkingweb.com/media/breed/boykin-spaniel/appearance/boykin-spaniel.png
000031.jpg,https://i.ytimg.com/vi/BR6vzf6U-f8/maxresdefault.jpg
000032.jpg,http://www.cityofcamden.org/sites/default/files/images/Visit/web_puppy_leash2.png
000033.jpg,http://www.texasbrowndog.com/uploads/2/5/4/0/25402578/7841894_orig.jpg
000034.jpg,https://ckcusa.com/media/147501/boykin-spaniel.jpg?preset=ckcBreedImage375
000035.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/BoykinSpaniel.jpg
000036.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Boykin-Spaniel-2.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Gizbones.JPG/220px-Gizbones.JPG
000038.jpg,http://www.dogzone.com/images/breeds/boykin-spaniel.jpg
000039.jpg,https://www.boykinspanielrescue.org/uploads/8/0/0/9/80095336/published/bo-1177.jpeg?1560805413
000040.jpg,https://19mvmv3yn2qc2bdb912o1t2n-wpengine.netdna-ssl.com/science/files/2019/01/IMG_4196-post-1200x708.jpg
000041.jpg,http://www.locallifesc.com/wp-content/uploads/2018/10/Gidget_018_040818_X_HR-1024x683.jpg
000042.jpg,https://boykinspaniel.org/gallery_image/sadie%20in%20alaska.jpg
