image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Braque_du_Bourbonnais.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210122/Bracco-Italiano-History-04-1-e1515511747978.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01230324/Bourbonnais.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Braque-du-Bourbonnais-2.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05185455/Braque-du-Bourbonnais.jpg
000006.jpg,http://2.bp.blogspot.com/-R3vJm8It0PA/TwWfc1Q3EhI/AAAAAAAABwQ/c5MWy9rejXQ/s1600/Braque-du-Bourbonnais-Final-1.jpg
000007.jpg,https://www.petguide.com/wp-content/uploads/2015/07/braque-du-bourbonnais.jpg
000008.jpg,http://www.easypetmd.com/sites/default/files/Braque%20du%20Bourbonnais.jpg
000009.jpg,https://i.pinimg.com/originals/95/7d/57/957d57dbce3adeeba7c051c1b2c94c55.jpg
000010.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/f/fc/Sky_2.jpg/revision/latest?cb=20180111221156
000011.jpg,https://doglime.com/wp-content/uploads/2019/02/Braque-Du-Bourbonnais.jpg
000012.jpg,https://images.ctfassets.net/w00x6p5qkejz/3UEQ81WLkI0GkK0ImEAaOW/6e99f20ea1ca76a125b2a65ae111feb6/Braque_du_Bourbonnais_3.jpg
000013.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/braque_du_bourbonnais/braque_du_bourbonnais_1.jpg
000014.jpg,http://www.braquedubourbonnais.info/Images/Bourbonnais.jpg
000015.jpg,https://i.ytimg.com/vi/wLBl611FH5Y/hqdefault.jpg
000016.jpg,https://nimages.champdogs.net/breeds/braque-du-bourbonnais.jpg
000017.jpg,https://i.pinimg.com/236x/4b/f3/75/4bf375982945a8fcc0635c4a1ea6b2c7--braque-du-bourbonnais-creature-comforts.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/MichelComteEtVrac.jpg/220px-MichelComteEtVrac.jpg
000019.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b3/Braque_du_bourbonnais_113.jpg
000020.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Braque-du-Bourbonnais-1.jpg
000021.jpg,https://i.pinimg.com/736x/8b/a7/8d/8ba78d252f28b0c6d870814f71d4684b.jpg
000022.jpg,https://www.dogbreedinfo.com/images10/BraqueduBourbonnaisEcho%20on%20point.jpg
000023.jpg,https://images.ctfassets.net/w00x6p5qkejz/1iHkDDQXeessOa8IsCGEME/9c543a95275d7830c5b9a39567f872aa/Braque_du_Bourbonnais_2.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Pictures-of-Braque-du-Bourbonnais.jpg
000025.jpg,http://www.rufnitkennels.com/298537490.jpg
000026.jpg,https://www.petful.com/wp-content/uploads/2015/04/braque-du-bourbonnais1.jpg
000027.jpg,https://c8.alamy.com/comp/D1KE61/dog-braque-du-bourbonnais-bourbonnais-pointing-dog-adult-standard-D1KE61.jpg
000028.jpg,https://animalsadda.com/wp-content/uploads/2017/09/Braque-du-Bourbonnais-2.jpg
000029.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210116/Braque-du-Boubonnais-MP.jpg
000030.jpg,https://images.ctfassets.net/w00x6p5qkejz/4FUKo0PkDYaUAmyI0CW4MC/64466e250b8f93f4b060835d82b28f96/Braque_du_Bourbonnais_B_W_Small_File.png
000031.jpg,https://c8.alamy.com/comp/D1KDKF/dog-braque-du-bourbonnais-bourbonnais-pointing-dog-adult-at-the-foot-D1KDKF.jpg
000032.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Braque-du-Bourbonnais-Puppy.jpg
000033.jpg,https://www.pets4homes.co.uk/images/classifieds/2019/02/14/2211157/large/braque-du-bourbonnais-puppies-5c65d646a0744.jpg
000034.jpg,http://www.easypetmd.com/sites/default/files/Braque%20du%20Bourbonnais%20(2).jpg
000035.jpg,https://live.staticflickr.com/4078/4745169013_64cc549cf5_b.jpg
000036.jpg,https://i.pinimg.com/originals/b2/1a/ca/b21aca419843ac60e41aaec7952092b2.jpg
000037.jpg,https://cdn.shopify.com/s/files/1/2548/4866/files/basics-of-dog-breed-braque-du-bourbonnais_large.jpg?v=1538205811
000038.jpg,http://www.kidfreeliving.com/wp-content/uploads/2010/03/DSC02208-234x300.jpg
000039.jpg,http://www.easypetmd.com/sites/default/files/Braque%20du%20Bourbonnais%20(4).jpg
000040.jpg,https://www.pets4homes.co.uk/images/classifieds/2019/02/14/2211163/large/braque-du-bourbonnais-puppies-5c69c31c364ff.jpg
000041.jpg,http://www.elkrunkennels.com/images/gus%2029.jpg?crc=214806094
000042.jpg,https://previews.123rf.com/images/kaman123/kaman1231611/kaman123161100304/69344193-ma-an-that-the-dog-or-dogs-such-as-braque-du-bourbonnais-puppies-may-be-born-with-a-short-tail-or-no.jpg
000043.jpg,https://c8.alamy.com/comp/D1KE90/dog-braque-du-bourbonnais-bourbonnais-pointing-dog-adult-portrait-D1KE90.jpg
000044.jpg,http://www.easypetmd.com/sites/default/files/Braque%20du%20Bourbonnais%20(1).JPG
000045.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Braque_du_Bourbonnais_in_Riga.JPG
000046.jpg,https://c8.alamy.com/comp/D1KE6R/dog-braque-du-bourbonnais-bourbonnais-pointing-dog-adult-D1KE6R.jpg
000047.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/07/Images-of-Braque-du-Bourbonnais.jpg
000048.jpg,https://www.petguide.com/wp-content/uploads/2015/07/braque-du-bourbonnais-2.jpg
000049.jpg,https://previews.123rf.com/images/kaman123/kaman1231611/kaman123161100136/69344290-ma-an-that-the-dog-or-dogs-such-as-braque-du-bourbonnais-puppies-may-be-born-with-a-short-tail-or-no.jpg
000050.jpg,http://www.elkrunkennels.com/images/week%20six%20--%20female%20b.jpg?crc=4157908547
