image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Braque_Dupuy.png
000002.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Braque-du-Puy-Dog-300x300.jpg
000003.jpg,https://images.wagwalkingweb.com/media/breed/braque-du-puy/hero/Braque-du-Puy.jpg
000004.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/6/6b/Braque-du-puy-2.jpg/revision/latest?cb=20170909135244
000005.jpg,https://i.pinimg.com/originals/e6/2e/bd/e62ebdff5cbceabe2e22460f713be384.jpg
000006.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Braque-du-Puy.jpg
000007.jpg,http://www.dogwallpapers.net/wallpapers/fuuny-braque-du-puy-dog-photo.jpg
000008.jpg,http://www.dogwallpapers.net/wallpapers/autumn-braque-du-puy-dog-picture.jpg
000009.jpg,https://images-na.ssl-images-amazon.com/images/I/51Q1A5XRqcL._SX425_.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/0805_braque_francais_text.jpg
000011.jpg,https://pheasantsforever.org/getattachment/7fa7c28b-793c-4aad-97ba-d6d81ba6ff7b/Braques-Rock!.aspx?maxsidesize=660&width=440&height=500
000012.jpg,http://www.dogwallpapers.net/wallpapers/cute-braque-du-puy-puppy-wallpaper.jpg
000013.jpg,https://www.doglib.com/wp-content/uploads/sites/2/br/braque-canadian-pointer-dog-breed.jpg
000014.jpg,https://www.picclickimg.com/d/l400/pict/173836508712_/Dog-Pointer-Braque-Du-Puy-NAMED-Breeder-Extinct.jpg
000015.jpg,https://www.chiens-de-france.com/photo/eleveurs/185/36880/actualites/8f7ed609-614a-df04-e1bb-46ad41a39e97.jpg
000016.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Braque-du-Puy-dog2-300x225.jpg
000017.jpg,http://www.elevagebraquedauvergne.fr/design/background_ete.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Braque_d_Auvergne.jpg
000019.jpg,http://www.dogwallpapers.net/wallpapers/old-braque-du-puy-dog-photo.jpg
000020.jpg,http://ba.tangor.net/genealogie/photo.php?s=an&id=431466
000021.jpg,https://images-na.ssl-images-amazon.com/images/I/51wKUtFZLvL._SX342_.jpg
000022.jpg,https://images.prod.meredith.com/product/f9d8007638483a0efcaabb141fa244f4/1501661577744/l/braque-du-puy-dog-themed-etched-all-purpose-16oz-libbey-can-glass
000023.jpg,https://i.ebayimg.com/images/g/TRQAAOSwoIlaq4KL/s-l300.jpg
000024.jpg,http://www.dogsindepth.com/terrier_dog_breeds/images/brazilian_terrier_h03.jpg
000025.jpg,https://www.animalssale.com/uploads/breed/breeds-2/braquedupuy.jpg
000026.jpg,https://www.lamontagne.fr/photoSRC/Gw--/phochoco_4211051.jpeg
000027.jpg,https://images.our-assets.com/fullcover/2000x/9786133991972.jpg
000028.jpg,https://nationalpurebreddogday.com/wp-content/comment-image/64336.jpg
000029.jpg,http://www.milobredebouisse.fr/wp-content/uploads/2015/08/1POLITEGEISHA-115.jpg
000030.jpg,https://www.chiens-de-france.com/photo/chiens/2016_11/chiens-Braque-allemand-a-poil-court-008b2e20-2cfb-2764-f5be-648b859ba616.jpg
000031.jpg,http://www.dogzone.com/images/breeds/braque-francais.jpg
000032.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Braque-du-Puy-dog-size.jpg
000033.jpg,https://media.istockphoto.com/illustrations/antique-illustration-of-dog-illustration-id537621470
000034.jpg,https://blogfiles.pstatic.net/MjAxODEyMTlfMjM3/MDAxNTQ1MjE3NDk4Mjg3.BR37bsqGJAzE3MK_i-1QjY-8ZZTrQA4u-Eqifc2zQM4g.fbXab9oxfJCeiobYDnP4Tofc3yv33HIqFncB0iHI0EQg.JPEG.hwyoon1001/Braque-du-Puy-Dog-Standing.jpg?type=w3
000035.jpg,https://images-na.ssl-images-amazon.com/images/I/41-G9Qdd2bL._SX342_.jpg
000036.jpg,https://www.lookandlearn.com/history-images/preview/M/M277/M277306_Hunting-dogs.jpg
000037.jpg,https://www.elevagedeletangduvert.com/images/chiots/_SLHDT9701T.jpg
