image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Doguebrasileiro.jpg
000002.jpg,https://johndviney.files.wordpress.com/2015/11/brazilian-dogo-2.jpg?w=616
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Brazilian-Dogge.jpg
000004.jpg,https://i.pinimg.com/originals/c8/df/f9/c8dff9b9bef355ac657a16a87b27976f.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Brazilian-Dogo.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/0Dogo-argentino-22122251920.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Dogue-Brasileiro.jpg
000008.jpg,https://i.ytimg.com/vi/2xSp8XytVEY/hqdefault.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Siriuskcbestinshowmarch2011.jpg/220px-Siriuskcbestinshowmarch2011.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Brazilian-Dogo-Images.jpg
000011.jpg,https://i.ytimg.com/vi/3irU3o5a4Fo/maxresdefault.jpg
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Brazilian-Dogo-Pictures.jpg
000013.jpg,https://www.doglib.com/wp-content/uploads/sites/2/br/brazilian-dogo-argentino-breed.jpg
000014.jpg,https://g.rrrather.com/img/q/163678a.jpg
000015.jpg,https://i.pinimg.com/originals/a1/a1/df/a1a1df85a701e2d9873f941b910c0591.jpg
000016.jpg,https://www.doglib.com/wp-content/uploads/sites/2/br/brazilian-archive-breed.jpg
000017.jpg,https://johndviney.files.wordpress.com/2015/11/brazilian-dogo-3.jpg?resize=307%2C358
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/01/1c4520a36111e087a80050568d634f/file/dogo-argentino-2-645mk062411.jpg
000019.jpg,https://vetstreet-brightspot.s3.amazonaws.com/12/f0a1b0a36111e087a80050568d634f/file/dogo-argentino-3-645mk062411.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Vinnymarch2012c.jpg/220px-Vinnymarch2012c.jpg
000021.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Brazilian-Dogo-images.jpg
000022.jpg,https://i.ytimg.com/vi/wATUh-s3FMY/maxresdefault.jpg
000023.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1804/dneprstock180400030/99793150-brazilian-dogo-dog-breed-isolated-on-white-digital-art-illustration-brazilian-dogge-molosser-type-wo.jpg
000024.jpg,https://www.animalssale.com/uploads/breed/breeds-2/braziliandogo.jpg
000025.jpg,http://www.dogoargentino.com/images/album2/argentine_dogo_13.jpg
000026.jpg,https://johndviney.files.wordpress.com/2015/11/10334327_672978936143309_6003420185266015538_n.jpg?resize=495%2C492
000027.jpg,https://merchdope-zpq4xnxcq9v.netdna-ssl.com/wp-content/uploads/2019/03/Argentinian-Mastiff.jpg
000028.jpg,https://t2.ea.ltmcdn.com/en/images/2/9/5/brazilian_mastiff_the_first_of_the_brazilian_dog_breeds_2592_0_600.jpg
000029.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-CD/dogoargentinof6.jpg
000030.jpg,https://t1.ea.ltmcdn.com/en/images/2/9/5/brazilian_tracker_2592_3_600.jpg
000031.jpg,https://images.says.com/uploads/story_source/source_image/473498/1650.png
000032.jpg,https://i1.wp.com/myvirtualcontent.me/wp-content/uploads/2015/11/mvc_Dog-BreedsBrazilian-Dogo.jpg?fit=748%2C472&ssl=1
000033.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11141800/Dogo-puppy.jpg
000034.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Dogo-Argentino-temperament.jpg
000035.jpg,http://dogbreedstandards.com/wp-content/uploads/2012/01/Dogo-Canario.jpg
000036.jpg,https://cdn.tzy.li/tzy/previews/images/001/684/441/623/original/0-brazilian-dogo-mom.jpg?1556004577
000037.jpg,https://i.ytimg.com/vi/Sc3WrsDFRbk/maxresdefault.jpg
000038.jpg,https://www.pets4homes.co.uk/images/articles/1356/thumbs/5c487d5e591d8.jpeg
000039.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/58/43/ae/5843aeb8ec006a1f65530a7bdf6c0ae7.jpg
000040.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100017.jpg
000041.jpg,https://i.ytimg.com/vi/TpSr5fv_J8w/maxresdefault.jpg
000042.jpg,https://t1.ea.ltmcdn.com/en/images/2/9/5/mountain_bulldog_2592_4_600.jpg
000043.jpg,https://cdn11.bigcommerce.com/s-yfpwl9z/images/stencil/1280x1280/products/2872/11612/0453__22451.1535972562.jpg?c=2&imbypass=on
000044.jpg,https://images-na.ssl-images-amazon.com/images/I/41Vu0ZFIMWL._SX331_BO1,204,203,200_.jpg
000045.jpg,https://www.europuppy.com/wp-content/uploads/419-1024x640.jpg
000046.jpg,https://animalsadda.com/wp-content/uploads/2018/04/Brazilian-Dogo.jpg
000047.jpg,https://m.media-amazon.com/images/I/A1nYNISnPeL._CLa%7C2140,2000%7C71++8Vc0YgL.png%7C0,0,2140,2000+645.0,529.0,809.0,971.0._UX342_.png
000048.jpg,https://www.europetnet.org/images/dummy-dog.jpg
000049.jpg,https://johndviney.files.wordpress.com/2015/11/10675705_672979429476593_719133892520786277_n.jpg?resize=494%2C296
000050.jpg,https://cdn.tzy.li/tzy/previews/images/001/684/442/198/original/0-brazilian-dogo-mom.jpg?1556004591
