image,source
000001.jpg,http://www.dogzone.com/images/breeds/brazilian-terrier.jpg
000002.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Brazilian-Terrier-2.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Brazilian-Terrier.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/TerrierBrasileiroDaPedraFilosofal4colors.jpg
000005.jpg,https://www.dogbreedplus.com/dog_breeds/images/brazilian_terrier.jpg
000006.jpg,https://i.pinimg.com/originals/31/85/e9/3185e9ca1ead54ec750a50effd0408ab.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Brazilian-Terrier-Mix.jpg
000008.jpg,https://plexidors.com/wp-content/uploads/cachorros-pequeno-porte-fox-paulistinha1.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Brazilian-Terrier-3.jpg
000010.jpg,http://www.spockthedog.com/wp-content/uploads/2016/03/Brazilian-Terrier1.jpg
000011.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/four-brazilian-terrier-puppies-sitting-on-grass.jpg
000012.jpg,https://www.petguide.com/wp-content/uploads/2016/02/brazilian-terrier.jpg
000013.jpg,https://www.smalldogplace.com/images/brazilian-terrier-cc_clipped_rev_1.png
000014.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/brazilian-terrier.jpg
000015.jpg,https://brit-petfood.com/file/nodes/product/brazilsky%20terier.JPG
000016.jpg,https://animalsadda.com/wp-content/uploads/2015/11/Brazilian-Terrier-4.jpg
000017.jpg,https://images.ctfassets.net/w00x6p5qkejz/1Ite87kyeUCaeOASwoUcY2/2b65d9d2f89c6e391b2c2daff35df943/Brazilian_Terrier_2.jpg
000018.jpg,https://a-z-animals.com/media/animals/images/470x370/brazilian_terrier.jpg
000019.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Brazilian-Terrier-Brown.jpg
000020.jpg,https://www.dogbreedinfo.com/images27/BrazilianTerrierPurebredDog%20Izy8MonthsOld2.jpg
000021.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/09/bra.jpg
000022.jpg,https://i.pinimg.com/originals/df/37/59/df37591b76e4b7b9de907c1778e472e7.jpg
000023.jpg,https://images.ctfassets.net/w00x6p5qkejz/3NcygPSi7uMWKgY0gIMq4K/bd713c8caaf2262f2397f3c46f6d3282/Brazilian_Terrier_B_W_Small_File.png
000024.jpg,http://www.brazilianterriers.com/uploads/3/4/7/2/34721073/2338650_orig.jpg
000025.jpg,https://www.dogbreedinfo.com/images14/BrazilianTerrierIMG_2122.JPG
000026.jpg,http://dogsbreedusa.online/wp-content/uploads/2017/12/Brazilian-Terrier-Puppies.jpg
000027.jpg,https://2.bp.blogspot.com/-BDGl10Yn9C0/WobkZanwXVI/AAAAAAAABww/MauYoB-j6VYs1LLc0Ip4Q8xFWiPDDbv6gCLcBGAs/s1600/Brazilian_terrier_Koira_2013.JPG
000028.jpg,https://www.metro7app.com/css/images/terrier.jpg
000029.jpg,http://www.fci.be/Nomenclature/Illustrations/341g03.jpg
000030.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Brazilian-Terrier.jpg
000031.jpg,http://www.smalldogbreeds.info/wp-content/uploads/2015/03/Brazilian-Terrier-300.gif
000032.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/two-brazilian-terrier-puppies-sitting-together-680x510.jpg
000033.jpg,http://3.bp.blogspot.com/_LYxGQn08RU4/SZyWKqLyC3I/AAAAAAAAEFA/VR_pnqoy--o/s400/Terrier+Brasileiro+BRAZILIAN+TERRIER7.jpg
000034.jpg,https://media.istockphoto.com/photos/brazilian-terrier-picture-id938031638
000035.jpg,https://previews.agefotostock.com/previewimage/medibigoff/d4c3d1d563853ecbc0058f4253ec4191/mev-11050359.jpg
000036.jpg,https://i.pinimg.com/originals/53/db/08/53db085439a03c2432184e3da44c1d2e.jpg
000037.jpg,https://get.pxhere.com/photo/puppy-dog-mammal-vertebrate-dog-breed-terrier-parson-russell-terrier-jack-russell-terrier-dog-like-mammal-carnivoran-russell-terrier-danish-swedish-farmdog-toy-fox-terrier-brazilian-terrier-miniature-fox-terrier-1188027.jpg
000038.jpg,https://1.bp.blogspot.com/-Bl3Go-1Kf9A/XB65Kz5gO4I/AAAAAAAAA_8/K82uqjK21jAMSHm1ZgLw3j7G2abiX8vpgCLcBGAs/s1600/Brazilian%2BTerrier%2B-dogs%2Bbreeds.png
000039.jpg,https://banner2.kisspng.com/20180525/sxq/kisspng-jack-russell-terrier-parson-russell-terrier-miniat-jack-russel-5b088ebf8958e2.1627634815272874875626.jpg
000040.jpg,https://www.gopetplan.ca/uploads/media/31/9599.jpg
000041.jpg,http://www.dogwallpapers.net/wallpapers/walking-brazilian-terrier-on-grass-wallpaper.jpg
000042.jpg,https://c8.alamy.com/comp/R2KX15/brazilian-terrier-R2KX15.jpg
000043.jpg,https://66.media.tumblr.com/b3c2939e1e9ab1bbef7e6a89e42e0169/tumblr_nxcq2e7OXh1qjcdw9o1_400.jpg
000044.jpg,http://www.gopetsamerica.com/terriers/brazilian-terrier.jpg
000045.jpg,https://www.smalldogplace.com/images/Brazilian_Terrier_blue_tricolor-wiki.jpg
000046.jpg,https://www.dogbreedinfo.com/images/BrazilianTerierkali-divano99.jpg
000047.jpg,https://t3.ftcdn.net/jpg/01/96/07/22/500_F_196072285_C3e7coNtWJpVAA8UEuwM2gOMImMKT3RV.jpg
000048.jpg,https://germanhuntingterrier.com/images/dog/Brazilian-Terrier.jpg
000049.jpg,https://images-na.ssl-images-amazon.com/images/I/615cQ1zKm5L._SX425_.jpg
000050.jpg,http://pets-place.net/Breeds/B/BrazilianTerrierImage1.jpg
