image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/briard-dog-breed-pictures/sittingautum-3.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Briard_fauve.JPG
000003.jpg,http://cdn.akc.org/content/hero/briard_bod_hero.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/briard-detail.jpg?bust=1535565357&width=355
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235526/Briard-On-White-01.jpg
000006.jpg,https://1.bp.blogspot.com/-ovzn7nG171I/WhheAyE0-tI/AAAAAAAAGy4/LwKqvH-4VHEtWj8nP0BKW5j-ZqPPmiaNwCLcBGAs/s1600/briard.jpg
000007.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-AB/briardsf3.jpg
000008.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_f5d5ea44-5c4a-45aa-ab83-b9691daaddaf.jpg
000009.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Briard_Mobile.jpg?h=300&la=en&w=375&hash=9F87E9761FD617A9E75A3B04FE6AF418
000010.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Briard-An_adult_Briard_with_a_lovely_straight_coat_lying_down.jpg
000011.jpg,https://www.k9web.com/wp-content/uploads/2019/01/briard-dog.jpg
000012.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17175617/IMG_6661.jpg
000013.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Briard-2.jpg
000014.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23182_briard-460x290.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Rassehund_Briard.jpg/220px-Rassehund_Briard.jpg
000016.jpg,http://www.dogzone.com/images/breeds/briard.jpg
000017.jpg,https://cdn.shopify.com/s/files/1/0994/0236/files/briard-dog-crate-size_large.jpg?v=1539659621
000018.jpg,https://vetstreet.brightspotcdn.com/dims4/default/3297335/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F04%2Fb34b60a35d11e087a80050568d634f%2Ffile%2Fbriard-2-645mk062411.jpg
000019.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Briard-A_Briard's_wonderful_long_straight_coat.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Owczarek_francuski_briard_szczeniak_pl.jpg/640px-Owczarek_francuski_briard_szczeniak_pl.jpg
000021.jpg,https://vetstreet-brightspot.s3.amazonaws.com/2c/1f4e10a35d11e087a80050568d634f/file/briard-3-645mk062411.jpg
000022.jpg,http://www.thebritishbriardclub.org.uk/uploads/1/0/1/8/10184683/7822535_orig.jpg
000023.jpg,https://dogsaholic.com/wp-content/uploads/2016/07/Briard-dog-breed-810x535.jpg
000024.jpg,https://www.petmd.com/sites/default/files/breedopedia/briard.jpg
000025.jpg,https://images-ra.adoptapet.com/seo/1/ff/26_ff.jpg
