image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235344/Bull-Terrier-On-White-03.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235410/Bull-Terrier-Care.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230801/Miniature-Bull-Terrier-On-White-01.jpg
000004.jpg,https://vetstreet-brightspot.s3.amazonaws.com/20/c8/f15b9da54a70b1b731914381521e/Bull-Terrier-AP-9QDKHP-645sm101513.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Bull_terrier_2.jpg
000006.jpg,https://spectator.imgix.net/content/uploads/2014/10/BullTerrier.jpg?auto=compress,enhance,format&crop=faces,entropy,edges&fit=crop&w=620&h=413
000007.jpg,https://www.insidedogsworld.com/wp-content/uploads/2018/12/Bull_Terrier_Breed_Information.jpg
000008.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Bull-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=8DBE7CA7572082C22DBC775EA88DD9F1
000009.jpg,https://www.pets4homes.co.uk/images/breeds/4/large/aa9b912771c4477d373b95d60259ba3d.jpg
000010.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23060_bull-terrier-460x290.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235406/Bull-Terrier-History-01.jpg
000012.jpg,https://usercontent2.hubstatic.com/14095713_f520.jpg
000013.jpg,https://vetstreet-brightspot.s3.amazonaws.com/3c/15bc30a72911e0a0d50050568d634f/file/Bull-Terrier-5-645mk062311.jpg
000014.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/bull-terrier-card-small.jpg?bust=1535568999
000015.jpg,https://www.nylabone.com/-/media/Images/Nylabone-NA/US/Dog101/Breeds-A-Z/Bull-Terrier-jpg.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Bull_terier_i_bull_terier_miniatura_d46.jpg
000017.jpg,https://res.cloudinary.com/petrescue/image/upload/a_0/c_pad,w_638,h_638/c_crop,w_456,h_456,x_91,y_91/c_pad,w_638/v1552102250/vcelumb8uvsvz97hsxs0.jpg
000018.jpg,https://www.petguide.com/wp-content/uploads/2013/02/bull-terrier.jpg
000019.jpg,https://i.pinimg.com/originals/00/cd/db/00cddb56fee1b2a639f7987592231dd1.jpg
000020.jpg,https://animals.net/wp-content/uploads/2018/07/Bull-Terrier-7.jpg
000021.jpg,https://www.pets4homes.co.uk/images/articles/2508/large/bull-terrier-hereditary-health-and-conformation-54b7f4228db65.jpg
000022.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/bull-terier-dog-breed-pictures/6-siderun.jpg
000023.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/bull-terrier-detail.jpg?bust=1535565390&width=355
000024.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/Miniature-bull-terrier-standing-on-grass-810x506.jpg
000025.jpg,https://www.petmd.com/sites/default/files/breedopedia/bull_terrier.jpg
000026.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/01/fotolia_134435477.jpg
000027.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235353/Bull-Terrier-MP.jpg
000028.jpg,https://3.bp.blogspot.com/-vq7tv5pG_H4/WgQ4-hM0yzI/AAAAAAAAGoI/--ny8dwPgoUAklqTZu_nfYGJ4FcfgiZbgCLcBGAs/s1600/bullterrier4.png
000029.jpg,https://media.spokesman.com/photos/2018/03/27/Bull_terrier_-_Patton.jpg
000030.jpg,https://media.gettyimages.com/photos/white-bull-terrier-picture-id478625251?s=612x612
000031.jpg,https://previews.123rf.com/images/ysbrandcosijn/ysbrandcosijn1308/ysbrandcosijn130800526/21625522-bull-terrier-dog-isolated-against-grey-background-studio-portrait-.jpg
000032.jpg,https://www.omlet.co.uk/images/originals/bull-terrier-chiens-white-english-bull-terrier-1a6a4512_5fe47a33.jpg
000033.jpg,https://cdn.britannica.com/s:300x300/06/30106-004-14CA0E02.jpg
000034.jpg,https://i.pinimg.com/originals/5f/a8/c8/5fa8c8ca925ca4f47cafb717184e2d64.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Bull_Terrier_R_01.jpg
000036.jpg,https://www.purina.co.nz/wp-content/uploads/2013/10/BullTerrier_body.jpeg
000037.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/01/brindle-bull-terrier-tall.jpg
000038.jpg,https://cf.ltkcdn.net/dogs/images/std/207315-675x450-Bull-terrier.jpg
000039.jpg,https://photos.donedeal.ie/ddimg/NDM4MzM4MWM5M2E5YWQyN2E2OWY1YzRlZmIxODRkZDjxUnfHJAUra14IZu57296BaHR0cDovL3MzLWV1LXdlc3QtMS5hbWF6b25hd3MuY29tL2RvbmVkZWFsLmllLXBob3Rvcy9waG90b18xMjcwNjA1NzB8fHx8fHw2MDB4NDUwfHx8fHw=.jpeg
000040.jpg,https://www.puppies.co.uk/wp-content/uploads/2019/02/English-Bull-Terrier-1.jpg
000041.jpg,https://www.ufaw.org.uk/images/animal-welfare/bull-terrier-main-photo.jpg
000042.jpg,https://cdn.omlet.co.uk/images/cache/520/768/Dog-Bull_Terrier-A_white_Bull_Terrier_puppy_with_a_black_ear.jpg
000043.jpg,https://ichef.bbci.co.uk/news/660/cpsprodpb/11303/production/_105730407_bull.jpg
000044.jpg,https://vignette.wikia.nocookie.net/nintendogs/images/0/00/BullT2.png/revision/latest?cb=20190404235431
000045.jpg,https://media.mercola.com/ImageServer/Public/2018/May/FB/how-lethal-acrodermatitis-1-fb.jpg
000046.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235346/Bull-Terrier-On-White-02-400x267.jpg
000047.jpg,https://img.ohmymag.co.uk/article/480/animal/bull-terriers-are-stubborn_844e1439032d511f58ad244c5362c2b3c9a5a795.jpg
000048.jpg,https://www.petmd.com/sites/default/files/breedopedia/BulletSmilingsmall.jpg
000049.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555389320/shape/mentalfloss/istock_000054179236_small.jpg
000050.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_American-Staffordshire-Bull-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=E649E83CBB1CCC67A5D6815E61A6B050
