image,source
000001.jpg,http://www.easypetmd.com/sites/default/files/Bull%20and%20Terrier%20(3)_0.jpg
000002.jpg,http://www.easypetmd.com/sites/default/files/Bull%20and%20Terrier%20(6)_0.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235344/Bull-Terrier-On-White-03.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235406/Bull-Terrier-History-01.jpg
000005.jpg,https://vetstreet.brightspotcdn.com/dims4/default/d43f6f3/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F0b%2F8247a0a72911e0a0d50050568d634f%2Ffile%2FBull-Terrier-2-645mk062311.jpg
000006.jpg,http://canineheritage.weebly.com/uploads/5/7/0/1/57017963/hinks-old-dutch-1866-old-victor-x-countess.jpg?364
000007.jpg,https://usercontent2.hubstatic.com/13824267_f520.jpg
000008.jpg,http://www.easypetmd.com/sites/default/files/Bull%20and%20Terrier%20(5)_0.jpg
000009.jpg,http://www.dogwallpapers.net/wallpapers/bull-and-terrier-dog-in-rack.jpg
000010.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23060_bull-terrier-460x290.jpg
000011.jpg,https://cdn.britannica.com/s:300x300/06/30106-004-14CA0E02.jpg
000012.jpg,http://idata.over-blog.com/2/74/94/89/Old-pics--Staffies-and-bullodgs-3/c79.jpg
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230801/Miniature-Bull-Terrier-On-White-01.jpg
000014.jpg,https://bullterrierhq.com/wp-content/uploads/2018/12/bull-terrier-history.jpg
000015.jpg,http://www.davidhancockondogs.com/archives/archive_494_585/images/560/560C%20Old%20Fashioned%20Bull%20Terrier.jpg
000016.jpg,https://www.insidedogsworld.com/wp-content/uploads/2017/07/miniature-bull-terrier8.jpg
000017.jpg,http://hounddogsdrule.com/wp-content/uploads/2011/09/Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg
000018.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/staffordshire-bull-terrier-detail.jpg?bust=1535566651&width=355
000019.jpg,https://i0.wp.com/grapevine.is/wp-content/uploads/Bullterier_089_LM.jpg?fit=516%2C460&quality=99&ssl=1
000020.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555389320/shape/mentalfloss/istock_000054179236_small.jpg
000021.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/02/bull-terrier-mixes-long.jpg
000022.jpg,http://clearlakeallbreedrescue.org/images/VintageBullTerrier.jpg
000023.jpg,https://www.nylabone.com/-/media/Images/Nylabone-NA/US/Dog101/Breeds-A-Z/Bull-Terrier-jpg.jpg
000024.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235403/Bull-Terrier-History-02.jpg
000025.jpg,https://myanimals.com/wp-content/uploads/2018/05/Bull-Terrier.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Fighting_dogs_catching_their_breath_-_painting.jpg
000027.jpg,http://www.goodpitbulls.com/wp-content/uploads/2016/11/pitbull-english-bull-terrier-mix-640x450.jpg
