image,source
000001.jpg,http://www.easypetmd.com/sites/default/files/imagecache/Portrait/Bullenbeisser%20%283%29.JPG
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Bullenbeiser.jpg
000003.jpg,https://i.pinimg.com/originals/80/61/1d/80611d693f636cea202cad327c8ba8b4.jpg
000004.jpg,http://www.easypetmd.com/sites/default/files/Bullenbeisser%20(1).JPG
000005.jpg,https://www.dogingtonpost.com/wp-content/uploads/2016/01/Bullenbeisser.jpg
000006.jpg,https://i.pinimg.com/originals/9e/35/c3/9e35c33e172ff463b93bb1df80096a1e.jpg
000007.jpg,http://www.easypetmd.com/sites/default/files/Bullenbeisser.jpg
000008.jpg,http://www.pedigreedatabase.com/pictures/1895455-500494.jpg
000009.jpg,https://www.mascotarios.org/wp-content/uploads/2011/08/Bullenbeisser.jpg
000010.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/937463_orig.png
000011.jpg,https://pbs.twimg.com/media/Bdu_vQPCYAAokyu.jpg
000012.jpg,http://www.easypetmd.com/sites/default/files/Bullenbeisser%20(4).gif
000013.jpg,https://imageresizer.static9.net.au/qP0-lqgK6m8WrfJ7uW2dUQomBm0=/400x0/http%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2FNetwork%2FImages%2Fbullen.jpg
000014.jpg,https://i.pinimg.com/originals/37/93/ae/3793aee09451ded8ce1993eda51c5d90.jpg
000015.jpg,https://i.ytimg.com/vi/kWTYpbi_FXE/maxresdefault.jpg
000016.jpg,https://scontent-yyz1-1.cdninstagram.com/vp/fa4b40ee9891d9509b4656bb73da64a2/5DB07669/t51.2885-15/sh0.08/e35/s750x750/60249905_181634599520414_2118308719880881059_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&ig_cache_key=MjA1MzE2Mzg1NDc1Nzk0MzY3Mg%3D%3D.2
000017.jpg,https://c8.alamy.com/comp/BN3BXH/a-boxer-dog-lies-on-the-ground-with-its-tongue-hanging-out-after-a-BN3BXH.jpg
000018.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Bullenbeisser-dog-images.jpg
000019.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/12/738px-Kleiner_Baehrenbeisser.png
000020.jpg,https://www.dogbreedinfo.com/images31/BullenbeisserExtinctDogBreed1.jpg
000021.jpg,https://c8.alamy.com/comp/PWGX30/bullenbeisser-2-PWGX30.jpg
000022.jpg,https://scontent-lga3-1.cdninstagram.com/vp/0264953cca386307426f4c2d3de75316/5DC4987B/t51.2885-15/e35/65914808_178605326484790_3654091412848885697_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com
000023.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/03/Bullenbeisser-.jpg
000024.jpg,https://banner2.kisspng.com/20181117/kcb/kisspng-boxer-bullenbeisser-st-bernard-great-pyrenees-ani-the-norwegian-kennel-club-breeding-rules-and-strat-5befa8fce57798.7511576115424330209399.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Deutscher_Bullenbeisser_1889_Friedrich.png/250px-Deutscher_Bullenbeisser_1889_Friedrich.png
000026.jpg,https://www.americanboxerclub.org/images/blanka.jpg
000027.jpg,https://i.ytimg.com/vi/X3KZkjwr9VM/hqdefault.jpg
000028.jpg,http://www.molosserdogs.com/albums/album09/bullenbarenbeisser300.jpg
000029.jpg,https://retrieverman.files.wordpress.com/2013/04/bullenbeissers-on-the-hunt.jpg
000030.jpg,https://img.wethrift.com/bullenbeisser-dog-FKUJH4KUW.jpg
000031.jpg,https://www.animalssale.com/uploads/breed/breeds-2/bullenbeisser.jpg
000032.jpg,https://banner2.kisspng.com/20180621/vzi/kisspng-boxer-dog-breed-bullenbeisser-labrador-retriever-s-5b2c0af3951ab8.2741645315296130436107.jpg
000033.jpg,https://www.picclickimg.com/d/l400/pict/173833047841_/Dog-Boxer-Foundation-Breed-Extinct-Bullenbeisser-1870s-Antique.jpg
000034.jpg,https://media.istockphoto.com/illustrations/antique-illustration-of-bullenbeisser-illustration-id513295067
000035.jpg,http://www.oldbulldogs.com/wp-content/uploads/2014/12/images-2.jpg
000036.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Bullenbeisser-dog-size3.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Dogge_Danziger_Brabanter_Bullenbei%C3%9Fer_Fleming.jpeg/220px-Dogge_Danziger_Brabanter_Bullenbei%C3%9Fer_Fleming.jpeg
000038.jpg,https://cdn.imgbin.com/0/21/7/imgbin-valley-bulldog-boxer-bullmastiff-bullenbeisser-formosan-mountain-dog-tongue-yellow-dog-7RKcw4vVpVSaPS8drdHfZ8pWD.jpg
000039.jpg,https://i.pinimg.com/originals/8d/d4/c7/8dd4c740653063c7285d066ab5d5e1d3.jpg
000040.jpg,http://www.dogwallpapers.net/wallpapers/bullenbeisser-and-cat-photo.jpg
000041.jpg,https://thumbs.dreamstime.com/z/french-bulldog-small-breed-domestic-dog-frenchies-were-result-s-cross-ancestors-83769717.jpg
000042.jpg,https://www.ukpets.com/blog/wp-content/uploads/2018/10/Bullenbeisser.jpg
000043.jpg,https://i.ytimg.com/vi/-70J6ocJG_o/maxresdefault.jpg
000044.jpg,https://demascotas.info/wp-content/uploads/2018/03/Beytrag_zur_Naturgeschichte_der_vierf%C3%BC%C3%9Figen_Thiere_2_Tafel_13-1024x726.jpg
000045.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/ae/aa/1d/aeaa1d235ea6484d80e81734956d642c.jpg
000046.jpg,http://www.dogwallpapers.net/wallpapers/bullenbeisser-dog-face-wallpaper.jpg
000047.jpg,https://cdn.fotofits.com/responsive/1200x1200/petzlover/gallery/img/l/bullenbeisser-259251.jpg
000048.jpg,https://scontent.cdninstagram.com/vp/0640876db0157f9772975ebda53c2159/5DB9436A/t51.2885-15/e35/s480x480/64674162_645464962595931_3794954996316321413_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com
000049.jpg,https://66.media.tumblr.com/c7887ce2916589331ffbed9cf4f75539/tumblr_mwacx98UeG1qd3x24o1_640.jpg
000050.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/c24b5a59-f948-4ff3-a5d9-50e1cdf18dce/d171t0v-34e1e35b-f994-4eac-915d-518aeb14870f.jpg/v1/fill/w_373,h_250,q_70,strp/bullenbeisser_by_coolayo_d171t0v-250t.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NTM2IiwicGF0aCI6IlwvZlwvYzI0YjVhNTktZjk0OC00ZmYzLWE1ZDktNTBlMWNkZjE4ZGNlXC9kMTcxdDB2LTM0ZTFlMzViLWY5OTQtNGVhYy05MTVkLTUxOGFlYjE0ODcwZi5qcGciLCJ3aWR0aCI6Ijw9ODAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.prlRNdHI8xaQdiYWbh9nV1QQYnnvBCs76xguIwx1hY4
