image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Burgos_Pointer_or_Perdiguero_de_Burgos.JPG
000002.jpg,http://4.bp.blogspot.com/-YBTggTu6KS0/TdFbFk6op1I/AAAAAAAAAX0/BJpHvEkFstM/s1600/Burgos-080329-102.jpg
000003.jpg,https://www.dogbreedplus.com/dog_breeds/images/Spanish_Pointer_001.jpg
000004.jpg,http://4.bp.blogspot.com/-iNxJUn9Gz1w/TdFbGotc_II/AAAAAAAAAX4/NNVPvhZWCP0/s1600/Burgos-050702-29.jpg
000005.jpg,https://i.pinimg.com/originals/4f/0a/79/4f0a7924fea2b846eb8dc8bf5152c6b9.jpg
000006.jpg,https://www.dogbreedinfo.com/images26/PerdiguerodeBurgosChicoPurebredDog4YearsOld.jpg
000007.jpg,https://i.pinimg.com/originals/78/8c/98/788c98497ecf4e4c64eb328be6eaac24.jpg
000008.jpg,http://3.bp.blogspot.com/-l2bTzpHheIk/TdFbEW_-0zI/AAAAAAAAAXw/g_6RYMD0-dQ/s1600/Burgos-080329-154.jpg
000009.jpg,http://www.gopetsamerica.com/dog_breeds/pics/burgos_pointer.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Burgos_Pointer.jpg
000011.jpg,https://www.doglib.com/wp-content/uploads/sites/2/bu/burgos-spanish-pointer-breed.jpg
000012.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/4928900_orig.png
000013.jpg,https://images-na.ssl-images-amazon.com/images/I/51mtyyttxfL._SX450_.jpg
000014.jpg,https://i.pinimg.com/originals/dc/47/1e/dc471eb57579e594a11d5fe294e14301.jpg
000015.jpg,https://previews.agefotostock.com/previewimage/medibigoff/8517b227d3ffd3820c526005bf553e7f/mev-10776102.jpg
000016.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1804/dneprstock180400042/99778602-burgos-pointer-dog-breed-isolated-on-white-background-digital-art-illustration-burgalese-pointer-bre.jpg
000017.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Burgos-Pointer.jpg
000018.jpg,http://3.bp.blogspot.com/-uxmqKK7swK8/TdFcJmKaliI/AAAAAAAAAcY/0ESNPKDkAos/s1600/Burgos-080329-354.jpg
000019.jpg,http://www.minhafofinha.com/photos/news/2016-moscow/main-peso.jpg
