image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/canaan-dog-detail.jpg?bust=1535565435&width=355
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c039e53/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa1%2Fbc%2F139f8e854e388cc1026619151700%2Fcanaan-dog-ap-1k01uu-645-x-380.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/CanaanDogChakede.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/canaan-dog-card-small.jpg?bust=1535568898
000005.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2e6d912/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F20%2Fffa890a7e511e0a0d50050568d634f%2Ffile%2Fcanaan-dog-5-645mk07-111.jpg
000006.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-canaan-dog.jpg?itok=6UmFncme
000007.jpg,http://cdn.akc.org/Canaan_Dog_Magnum_Miguel_HERO.jpg?cachebuster:56
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235112/Canaan-Dog-On-White-01.jpg
000009.jpg,https://vetstreet.brightspotcdn.com/dims4/default/952206d/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F03%2Fb1fae0a7e511e0a0d50050568d634f%2Ffile%2Fcanaan-dog-3-645mk07-111.jpg
000010.jpg,https://www.jta.org/wp-content/uploads/2016/12/canaan-dog-959x600.jpg
000011.jpg,https://animalsbreeds.com/wp-content/uploads/2015/12/Canaan-Dog-7.jpg
000012.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-CD/canaandogsf1.jpg
000013.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Canaan-Dog-2.jpg
000014.jpg,https://mk0breakingisralps2c.kinstacdn.com/wp-content/uploads/2017/11/canaan.jpg
000015.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/canaan-dog-dog-breed-pictures/blackface-3.jpg
000016.jpg,https://www.petful.com/wp-content/uploads/2015/12/canaan-dog-breed-profile-2-750x485.jpg
000017.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23184_canaan-dog-460x290.jpg
000018.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Canaan-Dog.jpg
000019.jpg,http://www.easypetmd.com/sites/default/files/Canaan_dog.(1)jpg.jpg
000020.jpg,https://dogbreedatlas.com/images/dog-breed-photos/canaan-dog/001/canaan-dog-1488371148-1.jpg
000021.jpg,https://www.thesprucepets.com/thmb/m3787dxzUjePo5mHZnzUTFYBHqU=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/canaan-dog--lying-down-110056364-5c44fecac9e77c0001a2bf1c.jpg
000022.jpg,https://i.ytimg.com/vi/q6TOc4rDdFc/maxresdefault.jpg
000023.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/canaan-dog_01_lg.jpg
000024.jpg,https://www.pets4homes.co.uk/images/articles/3347/large/what-is-a-canaan-dog-565451fd844b0.jpg
000025.jpg,https://i.pinimg.com/originals/97/da/e2/97dae2de858d805217bdb5cf875d47d8.jpg
