image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Spoonsced.jpg
000002.jpg,https://www.ckc.ca/getattachment/e949834f-5070-4cd2-878c-4593c9921e68/BevTaylor2015BB3-1.jpg.aspx?width=350&height=362
000003.jpg,https://www.ckc.ca/getattachment/19404f9c-c0aa-4989-a516-69eff3090338/BevTaylor2015a2.jpg.aspx?width=350&height=351
000004.jpg,https://www.petguide.com/wp-content/uploads/2014/11/canadian-eskimo-dog.jpg
000005.jpg,https://www.pets4homes.co.uk/images/breeds/224/large/48f22865565920073c6d1e7496812b30.jpg
000006.jpg,https://www.breedia.com/uploads/dogs/canadian-eskimo-dog/photos/canadian-eskimo-dog-a7478830-d84e-4fd1-9953-62aadda8238e.jpg
000007.jpg,https://www.mypetzilla.co.uk/files/1814/7888/3799/Canadian-Eskimo-Dog.jpg
000008.jpg,https://www.petguide.com/wp-content/uploads/2014/11/canadian-eskimo-dog-21.jpg
000009.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/6/69/Canadian_Eskimo_Dog.jpg/revision/latest?cb=20171230160532
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Canadian-Eskimo-Dog.jpg
000011.jpg,https://primitivedogs.com/wp-content/uploads/2016/12/Canadian-Eskimo-Dog-featured.jpg
000012.jpg,https://images.ctfassets.net/w00x6p5qkejz/6afgykLrKEWsYI6IqqKk2e/3a48e1f30292186463b28d400ee0d359/Canadian_Eskimo_Dog2.png
000013.jpg,https://www.ckc.ca/getattachment/4ba2d8c9-d7cf-435e-b9f4-e6faeb68f800/BevMay3-2015Jacko-1.jpg.aspx?width=350&height=481
000014.jpg,https://www.pets4homes.co.uk/images/articles/2490/large/learning-more-about-the-inuit-dog-breeds-54b2f36f23fbb.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Black-Canadian-Eskimo-Dog.jpg
000016.jpg,https://canadiandogs.com/wp-content/uploads/Canadian-Eskimo-Dog.jpg
000017.jpg,http://www.canadianeskimodogclub.com/userimages/rook%20wales.jpg
000018.jpg,http://www.easypetmd.com/sites/default/files/Canadian%20Eskimo%20Dog%20(4)_0.jpg
000019.jpg,http://arcticicekennels.tripod.com/June2014Bunni.jpg
000020.jpg,https://www.mascotarios.org/wp-content/uploads/2011/04/esquimalcanadiense.jpg
000021.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Canadian-Eskimo-Dog-3.jpg
000022.jpg,https://i.pinimg.com/originals/cc/68/74/cc6874dabbb9976d7d84e37b20129228.jpg
000023.jpg,http://dogbreeds.bulldoginformation.com/canadian-eskimo-dog-b.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Canadian-Eskimo-Dog-Images.jpg
000025.jpg,https://animalsadda.com/wp-content/uploads/2017/10/Canadian-Eskimo-Dog-2.jpg
000026.jpg,http://104.236.16.159/wp-content/uploads/2009/12/156.jpg
000027.jpg,http://www.aknak9.com/USERIMAGES/Maple%20March%202014.JPG
000028.jpg,https://images.ctfassets.net/w00x6p5qkejz/3le0vWdez6wsU00ueMUkAS/64e11c165ae1d8bfe2258d8ad99a240e/Canadian_Eskimo_Dog_B_W_Small_File.png
000029.jpg,https://i.pinimg.com/236x/5c/df/73/5cdf7341c7b918f151f371fca56dfef6--mackenzie-river-scary-pictures.jpg
000030.jpg,https://animalso.com/wp-content/uploads/2019/02/Canadian-Eskimo-Dog-809x766.jpg
000031.jpg,http://www.aknak9.com/userimages/matty%20dogs%203.jpg
000032.jpg,http://www.canadasguidetodogs.com/customergraphics/cdneskimodog.jpg
000033.jpg,https://i.ytimg.com/vi/pEatjtsy1e4/maxresdefault.jpg
000034.jpg,https://canadianinuitdogs.com/wp-content/uploads/2014/11/CEDbabyRedHarness.jpg
000035.jpg,https://nimages.champdogs.net/breeds/canadian-eskimo-dog.jpg
000036.jpg,https://www.petguide.com/wp-content/uploads/2014/11/canadian-eskimo-dog-1.jpg
000037.jpg,http://elelur.com/data_images/dog-breeds/canadian-eskimo-dog/canadian-eskimo-dog-08.jpg
000038.jpg,http://primitivedogs.com/wp-content/uploads/2016/12/CED-against-polar-bear.jpg
000039.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/8c173c53-e986-4881-8a62-73b59b88dd37/d5npubd-9943c630-37d4-43ce-aeab-2e0d1e8ef89c.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzhjMTczYzUzLWU5ODYtNDg4MS04YTYyLTczYjU5Yjg4ZGQzN1wvZDVucHViZC05OTQzYzYzMC0zN2Q0LTQzY2UtYWVhYi0yZTBkMWU4ZWY4OWMuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.p31Z62jpZKrWoANZdBCBznqR9r8av545FpS2gEdgZYQ
000040.jpg,http://www.easypetmd.com/sites/default/files/Canadian%20Eskimo%20Dog%20(5)_0.jpg
000041.jpg,https://canadianinuitdogs.com/wp-content/uploads/2014/11/6.jpg
000042.jpg,https://www.dogzone.com/images/breeds/canadian-eskimo-dog-800.jpg
000043.jpg,https://www.k9rl.com/wp-content/uploads/2016/02/Canadian-Eskimo-Dogs-image.jpg
000044.jpg,http://www.thebreedclubconnection.com/wp-content/uploads/2016/06/Shepherdsway-Eskimo-Angel-At-Akna.jpg
000045.jpg,http://www.purebreddog.ca/wp-content/uploads/2018/04/ced-profile.jpg
000046.jpg,https://2.bp.blogspot.com/-kJZJy6c2qDs/WzTOweXu0UI/AAAAAAAAH84/At9KHZi4_TcM4kXQfYJ8vlfIr5qVY9wKQCLcBGAs/s1600/Canadian%2BEskimo%2BDogs.jpg
000047.jpg,https://static.fundrazr.com/media/e8a08608eb4748238cea678700933227_large.jpg
000048.jpg,https://www.sleddogcentral.com/images/can_eskimo_female.jpg
000049.jpg,https://previews.123rf.com/images/critterbiz/critterbiz1612/critterbiz161200007/68126251-canadian-eskimo-dog-retaliates-as-polar-bear-plays-too-rough-mile-5-churchill-manitoba-canada-neithe.jpg
000050.jpg,https://www.theglobeandmail.com/resizer/gMJ04TDZvkb3IYBfWtQpmcBTvKs=/1000x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/OXJJPPHD4NET5HL77F4SSYRE4U
