image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Perro_agua.jpg/220px-Perro_agua.jpg
000002.jpg,https://i.pinimg.com/736x/9d/e5/73/9de573ba238af81da56e6bb82cdd5928--ministry-spain.jpg
000003.jpg,http://www.dogzone.com/images/breeds/spanish-water-dog.jpg
000004.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ca/cantabrian-spanish-water-dog-breed.jpg
000005.jpg,https://www.dogzone.com/images/breeds/cantabrian-water-dog.jpg
000006.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Spanish-Water-Dog-standing-in-the-field-810x518.jpg
000007.jpg,https://www.dogzone.com/images/breeds/spanish-water-dog-800.jpg
000008.jpg,https://i.pinimg.com/originals/c3/5d/3b/c35d3b9cf6610edc6b5253b2a3a6bf83.jpg
000009.jpg,https://i.pinimg.com/originals/b2/89/3d/b2893deb0c1c210be9a7bdb6e0e63ec1.jpg
000010.jpg,https://www.dogzone.com/images/breeds/spanish-water-dog-puppy.jpg
000011.jpg,https://www.ukpets.com/blog/wp-content/uploads/2018/11/cantabrian-water-dog.jpg
000012.jpg,https://c8.alamy.com/comp/RH3BYN/spanish-water-dog-cantabrian-barbet-breed-foreground-light-hair-long-and-with-dreadlocks-RH3BYN.jpg
000013.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ca/cantabrian-lagotto-romagnolo-breed.jpg
000014.jpg,https://www.ukpets.com/blog/wp-content/uploads/2018/11/portuguese-water-dog.jpg
000015.jpg,http://yachtaparusmystoboj.space/wp-content/uploads/2015/04/spanish-water-dog.jpg
000016.jpg,https://www.pets4homes.co.uk/images/articles/3936/large/five-facts-you-probably-didnt-know-about-the-spanish-water-dog-breed-58a20c1c423bd.jpg
000017.jpg,https://www.pets4homes.co.uk/images/breeds/242/large/db7f7128cc9e257d17d9214e9e9ce6d6.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Spanish-Water-Dog-Brown.jpg
000019.jpg,https://www.pets4homes.co.uk/images/classifieds/2014/06/07/656878/large/spanish-water-dog-puppies-for-sale-kent-5392ea32ef094.jpeg
000020.jpg,https://www.europetnet.com/images/dogbreeds/spanishwaterdog.jpg
000021.jpg,http://breedinfo.ru/uploads/posts/2015-12/4_cantabrian_water_dog.jpg
000022.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/White-Spanish-Water-Dog.jpg
000023.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Cantabrian-Water-Dog-temperament.jpg
000024.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Kantauriar_ur-txakurra1.jpg/520px-Kantauriar_ur-txakurra1.jpg
000025.jpg,https://www.ukpets.com/blog/wp-content/uploads/2018/11/spanish-water-dog.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Lana_as_puppy.jpg/220px-Lana_as_puppy.jpg
000027.jpg,https://c8.alamy.com/comp/JTPCDJ/playing-dog-in-the-water-castro-urdiales-cantabria-spain-JTPCDJ.jpg
000028.jpg,https://c8.alamy.com/comp/JTPC1X/playing-dog-in-the-water-castro-urdiales-cantabria-spain-JTPC1X.jpg
000029.jpg,https://www.pets4homes.co.uk/images/breeds/242/large/91e751cdde43fd6b39f2c6c2953cb8f4.jpg
000030.jpg,https://c8.alamy.com/comp/EBK51Y/water-dog-walking-in-santillana-del-mar-cantabria-spain-europe-EBK51Y.jpg
000031.jpg,https://i.pinimg.com/236x/71/55/4b/71554b7823de694ef2da21bbdc680ff3--spanish-water-dog-purebred-dogs.jpg
000032.jpg,https://ak3.picdn.net/shutterstock/videos/11770793/thumb/1.jpg?ip=x480
000033.jpg,https://images-na.ssl-images-amazon.com/images/I/71WPidltjIL._SY355_.jpg
000034.jpg,https://www.ukpets.com/blog/wp-content/uploads/2018/11/english-water-spaniel.jpg
000035.jpg,https://i.ytimg.com/vi/DcWS2Sl1MpI/maxresdefault.jpg
