image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/11/file_23294_cardigan-welsh-corgi-460x290.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/a5d2248/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F64%2Fa6%2Fc7c25eff487aa2e3f9fb5df002e9%2FCorgi-Cardigan-AP-1QQR6A-645sm12714.jpg
000003.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-CD/cardiganwelshcorgisf3.jpg
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/04/Cardigan-Welsh-Corgi-Vs-Pembroke-long.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04202304/Cardigan-Welsh-Corgi-on-White-111.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/04/fc49b0a72b11e0a0d50050568d634f/file/Cardigan-Welsh-Corgi-2-645mk062311.jpg
000007.jpg,https://www.pets4homes.co.uk/images/breeds/387/large/3cf76eb0fb9972ddb0e5ff3ec777f3a1.jpg
000008.jpg,https://cdn.drmartypets.com/wp-content/uploads/2018/10/AdobeStock_178852279.jpeg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/03/22124638/Untitled-design-5-800x600.png
000010.jpg,https://www.petguide.com/wp-content/uploads/2013/02/cardigan-welsh-corgi1-668x445.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Cardigan-Welsh-Corgi.jpg
000012.jpg,https://www.showsightmagazine.com/files/news_gallery/5b757e83bf011.jpg
000013.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/cardigan-welsh-corgi/puppy-1_680-453.jpg
000014.jpg,http://geniusvets.s3.amazonaws.com/gv-dog-breeds/cardigan-welsh-corgi-4.jpg
000015.jpg,https://vetstreet.brightspotcdn.com/dims4/default/871ac3e/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F1b%2F2a1550a72b11e0a0d50050568d634f%2Ffile%2FCardigan-Welsh-Corgi-3-645mk062311.jpg
000016.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/09/cardigan-welsh-corgi-2-min.jpg
000017.jpg,https://www.showsightmagazine.com/files/news_gallery/5b757e83d91cb.jpg
000018.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Welsh-Corgi-Cardigan_Mobile.jpg?h=300&la=en&w=375&hash=E77AC5F5137BF8C9014A2EBBAF423C1C
000019.jpg,https://dogsaholic.com/wp-content/uploads/2016/09/Cardigan-Welsh-Corgi-dog-breed-810x488.jpg
000020.jpg,https://i.pinimg.com/originals/be/24/4b/be244bc63e372f30398447e2913913f1.jpg
000021.jpg,https://www.pets4homes.co.uk/images/breeds/387/large/5202bbcbd945ee855cdfca021f4b7bb2.jpg
000022.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/cardigan-welsh-corgi_01_lg.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Cardigan_Welsh_Corgi%2C_Profile.png
000024.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/03/22125608/corgi-comp.jpg
000025.jpg,https://www.dog-breeds-expert.com/images/cardigan-welsh-corgi-grass.jpg
000026.jpg,https://cdn.omlet.co.uk/images/cache/1024/756/Dog-Cardigan_Welsh_Corgi-A_healthy_adult_Cardigan_Welsh_Corgi,_showing_off_it's_beautiful,_long_body.jpg
000027.jpg,https://indulgeyourpet.com/wp-content/uploads/Cardigan-Welsh-Corgi-puppy.png
000028.jpg,http://dogoftheday.com/archive/2017/January/25.jpg
000029.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Cardigan-Welsh-Corgi-Dog.jpg
000030.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Cardigan-Welsh-Corgi-1.jpg
000031.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_her_cardiganwelshcorgi_171120.jpg
000032.jpg,https://espree-53db.kxcdn.com/collateral/C906354B-5C7F-484D-BCBC-1FC6A112E491.jpg
000033.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/cardigan-welsh-corgi100642967.png
000034.jpg,https://pbs.twimg.com/profile_images/972378364215484416/iO1kJgdQ.jpg
000035.jpg,https://images.wagwalkingweb.com/media/breed/cardigan-welsh-corgi/appearance/cardigan-welsh-corgi.png
000036.jpg,https://www.freeportvet.com/sites/default/files/styles/large/adaptive-image/public/cardigan-welsh-corgi-dog-breed-info_0.jpg?itok=j7TK-qah
000037.jpg,https://usercontent.gooddog.com/dog-park-labs-user-content-production/Zz65P6RhmeTbhVz3uUsZAomi.jpg?resize=1000x1000
000038.jpg,https://img.dog-learn.com/dog-breeds/cardigan-welsh-corgi/cardigan-welsh-corgi-playing-i18-sz14.jpg
000039.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/cardigan_welsh_corgi/cardigan_welsh_corgi_1.jpg
000040.jpg,https://vetstreet-brightspot.s3.amazonaws.com/39/d0c350a72b11e0a0d50050568d634f/file/Cardigan-Welsh-Corgi-5-645mk062311.jpg
000041.jpg,https://i.pinimg.com/originals/f1/b6/21/f1b621e336152ca4794df085cc20139f.jpg
000042.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Cardigan-Welsh-Corgi-3.jpg
000043.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/NordJW-06_Mudpaws_Duke_Silver.jpg
000044.jpg,http://www.arbennigcardigans.com/uploads/1/2/5/9/12591566/_3014100.jpg
000045.jpg,https://www.petlandindependence.com/wp-content/uploads/2019/04/1362217_800.jpg
000046.jpg,https://images.ctfassets.net/w00x6p5qkejz/6kSewWwxUI6gemy6cIKOAC/c74a31b838ad91b2c96cbd5d04ab7ab4/Cardigan_Welsh_Corgi5.png
000047.jpg,http://www.coedwig.com/images/Maya-Front-2008-3.jpg
000048.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/154.-Welsh-Corgi-Cardigan.jpg
000049.jpg,https://i.ytimg.com/vi/S-cB63mLeac/hqdefault.jpg
000050.jpg,https://dogbreedatlas.com/images/dog-breed-photos/cardigan-welsh-corgi/001/cardigan-welsh-corgi-1488378311-2.jpg
