image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Carpatin.jpg
000002.jpg,https://i.ytimg.com/vi/RXZuxKtd-4M/maxresdefault.jpg
000003.jpg,http://media.infodogs.co.uk/photos/dogs/carpathian-shepherd-dog_214.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Carpathian-Sheepdog-2.jpg
000005.jpg,http://www.carpathiandog.info/images/portfolio_big3.jpg
000006.jpg,https://images.wagwalkingweb.com/media/breed/carpathian-shepherd/hero/Carpathian-Shepherd.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/04/Romanian-Carpathian-Shepherd-Dog-Pictures.jpg
000008.jpg,https://i.ytimg.com/vi/Y1E8bf095BI/maxresdefault.jpg
000009.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/Carpathian-Shepherd-dog-india.jpg
000010.jpg,https://img.dog-learn.com/dog-breeds/carpathian-shepherd-dog/carpathian-shepherd-dog-i2-sz6.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/04/Romanian-Carpathian-Shepherd-Dog.jpg
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/04/Carpathian-Sheepdog.jpg
000013.jpg,https://i.pinimg.com/236x/f9/1a/2d/f91a2df6a86b9876be85d6095ed2f8a4--large-dog-breeds-large-dogs.jpg
000014.jpg,http://www.carpathiandog.info/images/gallery_pic1.jpg
000015.jpg,https://wds2018.com/wp-content/uploads/2017/05/Carpatin2.jpg
000016.jpg,https://www.pets4homes.co.uk/images/articles/3414/large/more-about-the-charming-and-loyal-carpathian-sheepdog-568a944917f1e.jpg
000017.jpg,https://dogsbreedusa.online/wp-content/uploads/2018/10/Romanian-Shepherd-Dog.jpg
000018.jpg,https://animalsadda.com/wp-content/uploads/2017/12/Carpathian-Shepherd-Dog.jpg
000019.jpg,http://1.bp.blogspot.com/_e-e5V512VaE/SlgVl9AjDwI/AAAAAAAABfc/GfMfDqevvNE/s320/ciob_carp2.jpg
000020.jpg,https://i.pinimg.com/originals/45/a3/5b/45a35be52936eab9a70f88fe615a2d19.jpg
000021.jpg,https://www.pets4homes.co.uk/images/articles/3414/large/more-about-the-charming-and-loyal-carpathian-sheepdog-594d1c90418dc.jpg
000022.jpg,http://www.zooclub.biz/img/katalog/17/77/443_28.jpg
000023.jpg,https://www.petguide.com/wp-content/uploads/2019/02/carpathian-shepherd-dog-668x446.jpg
000024.jpg,https://www.europetnet.com/images/dogbreeds/carpathianshepherddog.jpg
000025.jpg,http://www.carpathiandog.info/images/portfolio_big2.jpg
000026.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/04/Carpathian-Shepherd-Dog.jpg
000027.jpg,https://i.ebayimg.com/00/s/NjEyWDEwMjQ=/z/FAUAAOSw0rNbOQAC/$_86.JPG
000028.jpg,https://thumbs.dreamstime.com/z/romanian-carpathian-shepherd-dog-breed-large-sheep-dogs-originated-mountains-romania-very-84003009.jpg
000029.jpg,https://animalsadda.com/wp-content/uploads/2017/12/Carpathian-Shepherd-Dog-2.jpg
000030.jpg,https://i.pinimg.com/originals/b2/8f/e6/b28fe62c61535e37d0516afffe46ba4d.jpg
000031.jpg,https://www.ukcdogs.com/images/breeds/ciobanesc-romanesc-carpitan.jpg
000032.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ca/carpathian-productinfo-breed.jpg
000033.jpg,https://animalsfocus.com/wp-content/uploads/2018/10/Ciobanesc-carpatin2.jpg
000034.jpg,https://previews.123rf.com/images/dneprstock/dneprstock1804/dneprstock180400031/99826133-carpathian-shepherd-puppy-dog-breed-isolated-on-white-digital-art-breed-of-large-sheep-dog-originate.jpg
000035.jpg,https://banner2.kisspng.com/20181120/acg/kisspng-estrela-mountain-dog-caucasian-shepherd-dog-sarpla-eurasian-mountain-dog-www-imgarcade-com-online-i-5bf4be712455d9.9849953915427661931488.jpg
000036.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/04/Carpathian-Sheepdog-Pictures.jpg
000037.jpg,https://live.staticflickr.com/3107/3990081743_9d5790e0ca_b.jpg
000038.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Carpathian-Shepherd-dog.jpg
000039.jpg,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2017/workingwithw.jpg
000040.jpg,https://www.dogzone.com/images/breeds/carpathian-shepherd-dog-puppy.jpg
000041.jpg,https://t4.ftcdn.net/jpg/02/41/05/25/500_F_241052590_fvydiJfkcRQML1TcfP88G3sL20bOWVM2.jpg
000042.jpg,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/JEgAAOSw02Fcan5a/$_86.JPG
000043.jpg,https://i.ytimg.com/vi/kPKHShTRE9E/maxresdefault.jpg
000044.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Carpathian-Sheepdog-3.jpg
000045.jpg,https://img.dog-learn.com/dog-breeds/carpathian-shepherd-dog/carpathian-shepherd-dog-puppy-i3-sz3.jpg
000046.jpg,https://animalsadda.com/wp-content/uploads/2017/12/Carpathian-Shepherd-Dog-4.jpg
000047.jpg,https://www.pets4homes.co.uk/images/classifieds/2016/04/19/1253861/large/carpathian-sheepdog-5715f134093e2.jpg
000048.jpg,https://t4.ftcdn.net/jpg/02/41/05/25/500_F_241052581_CD2lBGKiDF3Drx2fciempWbshhXY0Lr2.jpg
000049.jpg,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/800/2017/1-workingwithw.jpg
000050.jpg,https://2.bp.blogspot.com/_LYxGQn08RU4/SG1a2hMIEdI/AAAAAAAAA7A/Ns_6Fj3_Tgg/s320/Kavkazska%C3%AFa%2BOvtcharka%2BCAUCASIAN%2BSHEPHERD%2BDOG3.bmp
