image,source
000001.jpg,https://i.ytimg.com/vi/XCfnR6QKozE/hqdefault.jpg
000002.jpg,https://www.europetnet.com/images/dogbreeds/ceskyfousek.jpg
000003.jpg,https://previews.123rf.com/images/fotofront69/fotofront691003/fotofront69100300016/6612716-cesky-fousek.jpg
000004.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/cesky_fousek/cesky_fousek_1.jpg
000005.jpg,https://justusdogs.com.au/wp-content/uploads/2019/05/Cesky-Fousek-2.jpg
000006.jpg,https://images.wagwalkingweb.com/media/breed/cesky-fousek/hero/Cesky-Fousek.jpg
000007.jpg,http://www.vyberpsa.cz/fotky/velke/ceskyfousek.png
000008.jpg,http://ceskyfousek.co.nz/wp-content/uploads/2016/08/aston-9874.jpg
000009.jpg,https://img.cncenter.cz/img/18/new_article/3009983-img-cesky-fousek-v5.jpg?v=5
000010.jpg,http://www.cesky-fousek.net/obr/hegi_zpodhoranku1.jpg
000011.jpg,https://previews.123rf.com/images/fotofront69/fotofront691003/fotofront69100300015/6612623-cesky-fousek.jpg
000012.jpg,https://media.novinky.cz/575/745750-gallery1-j90fg.jpg
000013.jpg,http://www.cmku.cz/data/plemena/297.jpg
000014.jpg,https://a-z-animals.com/media/animals/images/470x370/cesky_fousek.jpg
000015.jpg,https://c8.alamy.com/comp/BJE102/cesky-fousek-dog-portrait-BJE102.jpg
000016.jpg,http://dogsmagazin.cz/wp-content/uploads/2015/11/52_cesky-fousek.jpg
000017.jpg,http://www.cesky-fousek.net/obr/hegi_zpodhoranku3.jpg
000018.jpg,https://cdn.labet.cz/data/user-content/obrazky_atlas_psu/Cesky_fousek/Ceskyfousek5.jpg
000019.jpg,https://media.hellosandy.net/taxonomy/puvodni_foto/cesky_fousek_1.igallery.image0000003.jpg
000020.jpg,https://www.spokojenypes.cz/ImgP.ashx?co=/ImgGalery/Img1/Atlas/170308112554-cesky-fousek3-jpg.jpg&fd=a2&pa=1
000021.jpg,http://www.dogzone.com/images/breeds/cesky-fousek.jpg
000022.jpg,http://www.spockthedog.com/wp-content/uploads/2016/03/Cesky-Fousek2.jpg
000023.jpg,https://i.pinimg.com/originals/75/a0/12/75a0127397dee3dc32f4938181629285.jpg
000024.jpg,http://e-obzor.cz/wp-content/uploads/2015/03/cesky-fousek-%C5%A1t%C4%9Bn%C4%9B1.jpg
000025.jpg,http://e-obzor.cz/wp-content/uploads/2015/03/Na-pr%C5%AFzkumu.jpg
000026.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Cesky-Fousek-Dog1-300x300.jpg
000027.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Cesky-Fousek-2.jpg
000028.jpg,https://rukminim1.flixcart.com/image/832/832/jj4ln680-1/book/3/1/7/cesky-fousek-tricks-training-cesky-fousek-tricks-games-training-original-imaf6rjkj23xgpgc.jpeg?q=70
000029.jpg,https://images-na.ssl-images-amazon.com/images/I/41rWHM8v-fL._SX331_BO1,204,203,200_.jpg
000030.jpg,https://ct24.ceskatelevize.cz/sites/default/files/styles/node-article_horizontal/public/images/1050177-573260.jpg?itok=aXn29hBH
000031.jpg,https://www.holidogtimes.com/wp-content/uploads/2018/06/Cane-da-ferma-boemo-FI-1-EN810x326-810x326.jpg
000032.jpg,http://www.spockthedog.com/wp-content/uploads/2016/03/Cesky-Fousek1.jpg
000033.jpg,http://www.dogwallpapers.net/wallpapers/cesky-fousek-dog-against-wheat-wallaper.jpg
000034.jpg,https://alldogsworld.com/wp-content/uploads/2014/08/Cesky-Fousek.jpg
000035.jpg,https://www.paper-dog.cz/data/clanek/cesky-fousek-01.jpg
000036.jpg,https://1gr.cz/fotky/idnes/12/111/cl5/MCE46ebde_8064740.jpg.JPG
000037.jpg,https://animalsbreeds.com/wp-content/uploads/2015/01/Cesky-Fousek-2.jpg
000038.jpg,http://vax.wbs.cz/vax_z_tesinovskych_buku.jpg
000039.jpg,https://media.novinky.cz/575/745758-original1-0qg64.jpg
000040.jpg,https://cdn.working-dog.net/static/images/race/232.jpg?v=5
000041.jpg,https://images-na.ssl-images-amazon.com/images/I/41uJoFzFLcL._SX331_BO1,204,203,200_.jpg
000042.jpg,https://patricedodd.files.wordpress.com/2018/03/ax_z_cesky_jahodnice.jpg
000043.jpg,https://live.staticflickr.com/5021/5550714642_b944674dc8_b.jpg
000044.jpg,https://www.mascotarios.org/wp-content/uploads/2011/09/ceskyFousek.jpg
000045.jpg,http://ceskyfousek.co.nz/wp-content/uploads/2017/09/twaewae-1-of-1-2.jpg
000046.jpg,https://www.spokojenypes.cz/ImgP.ashx?co=/ImgGalery/Img1/Atlas/170308112559-cesky-fousek-jpg.jpg&fd=a2&pa=1
000047.jpg,http://www.psiusmev.cz/content/uploads/images/October2015/http-nd01-jxs-cz-122-583-dbe889afc8-44360070-o2-jpg.jpg
000048.jpg,https://thumbs.dreamstime.com/z/cesky-fousek-dog-13419270.jpg
000049.jpg,https://st4.depositphotos.com/11516992/23885/i/1600/depositphotos_238858512-stock-photo-portrait-of-female-cesky-fousek.jpg
000050.jpg,http://www.cesky-fousek.net/obr/odetta_bzh4.jpg
