image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/3e810eb/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F96%2F97e4009e9411e0a2380050568d634f%2Ffile%2FChesapeake-Bay-Retriever-4-645mk062111.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/chesapeake-bay-retriever-card-small.jpg?bust=1535568995
000003.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/SPORTING_Chesapeake-Bay-Retrievers.jpg?itok=9odDg4CI
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29231024/Chesapeake-Bay-Retriever-hunting.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/89/b629409e9411e0a2380050568d634f/file/Chesapeake-Bay-Retriever-3-645mk062111.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31153346/Chesapeake-Bay-Retriever-head-protrait.jpg
000007.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/chesapeake-dogs-and-puppies/chesapeake-bay-retriever-dogs-puppies-7.jpg
000008.jpg,https://vetstreet-brightspot.s3.amazonaws.com/a6/8e31c09e9411e0a2380050568d634f/file/Chesapeake-Bay-Retriever-5-645mk062111.jpg
000009.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22958_chesapeake-bay-retriever-460x290.jpg
000010.jpg,https://img.dog-learn.com/dog-breeds/chesapeake-bay-retriever/chesapeake-bay-retriever-i1-sz14.jpg
000011.jpg,https://vetstreet.brightspotcdn.com/dims4/default/b1a1235/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F58%2F1897b09e9411e0a2380050568d634f%2Ffile%2Fchesapeake-bay-retriever-1-645mk062411.jpg
000012.jpg,https://www.pets4homes.co.uk/images/breeds/203/large/af1cadd4925c02985766ecf1552e3da7.jpg
000013.jpg,http://4.bp.blogspot.com/-UR8qJ7Un2S0/ULsMEYt_TOI/AAAAAAAAASg/C6mrEB8O3NQ/s1600/Chesapeake-Bay-Retriever-2-645mk062111.jpg
000014.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Chesapeake-Bay-Retriever_Mobile.jpg?h=300&la=en&w=375&hash=89CDB7B2E36BCD45334386A9E6D9A1B8
000015.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Chesapeake-Bay-Retriever-1600x700.jpg
000016.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/09/chesapeake-bay-retriever-2-min.jpg
000017.jpg,https://cdn.akc.org/Marketplace/Breeds/Chesapeake_Bay_Retriever_SERP.jpg
000018.jpg,https://dog-supplements.com/wp-content/uploads/2017/09/Chesapeake-Bay-Retriever-F.jpg
000019.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/CH_Chesapeake.jpg
000020.jpg,https://www.petful.com/wp-content/uploads/2016/04/chesapeake-bay-retriever-puppy-cute-750x410.jpg
000021.jpg,https://res.cloudinary.com/fwkc-production/image/upload/c_fit,dpr_3.0,f_auto,g_center,h_430,q_auto,w_768/v1/fwkc/import/727
000022.jpg,https://moderndogmagazine.com/sites/default/files/images/uploads/ChesapeakeBayRetriever-04.jpg
000023.jpg,https://images-na.ssl-images-amazon.com/images/I/71npe%2BWYSPL._SL1000_.jpg
000024.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Chesapeake-Bay-Retriever-Puppies-for-Sale.jpg
000025.jpg,http://www.chesapeakebayretrieverclub.co.uk/larch.jpg
000026.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Chesapeake-Bay-Retriever.jpg
000027.jpg,http://www.dogshub.in/wp-content/uploads/2018/07/Chesapeake-Bay-Retriever-dog-india.jpg
000028.jpg,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/chesapeake-bay-retriever-head-shot-miguel-betancourt.jpg
000029.jpg,https://i.pinimg.com/originals/68/0d/24/680d249a733949174944a83ef3226a21.jpg
000030.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/chesapeake-bay-retriever187453287.png
000031.jpg,https://moderndogmagazine.com/sites/default/files/images/uploads/ChesapeakeBayRetriever-05.jpg
000032.jpg,https://www.petmd.com/sites/default/files/breedopedia/unnamed.jpg
000033.jpg,https://3.bp.blogspot.com/-PBgvsHY49Dk/WVKCduaQTQI/AAAAAAAAGCo/LYFbjcFBazUMAo17G-ZxeglTF0ECYxDXwCLcBGAs/s1600/Chesapeake%2BBay%2BRetriever.jpg
000034.jpg,https://i.pinimg.com/originals/16/2f/f9/162ff9eaff731fc640cb6065f337b7e1.jpg
000035.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/chesapeake-bay-retriever_01_lg.jpg
