image,source
000001.jpg,https://i.pinimg.com/originals/22/08/21/220821fa9afa197b06def4ac6f4716d2.jpg
000002.jpg,https://media.ooreka.fr/public/image/3-307695-3991-main-13118275.jpg
000003.jpg,https://media.ooreka.fr/public/image/3-307701-4035-main-14352641.jpg
000004.jpg,https://media.ooreka.fr/public/image/3-307701-4033-main-14352643.jpg
000005.jpg,https://cdn.webshopapp.com/shops/11940/files/4583559/dogs-companion-lit-pour-chien-gris-souris-corduroy.jpg
000006.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/3/39/3_chien-gris.jpg/revision/latest?cb=20180318180704
000007.jpg,https://media.ooreka.fr/public/image/3-307711-2777-main-13061993.jpg
000008.jpg,https://images-na.ssl-images-amazon.com/images/I/51I1gPY9-mL._SX425_.jpg
000009.jpg,https://static.wamiz.fr/images/news/medium/braque-de-weimar-carre.jpg
000010.jpg,https://fotomelia.com/wp-content/uploads/edd/2015/03/chien-gris-1560x1033.jpg
000011.jpg,http://www.petpaw.com.au/wp-content/uploads/2014/10/Chien-gris-Dog-Looking-for-Something.jpg
000012.jpg,https://www.ursusbooks.com/pictures/medium/151577.jpg
000013.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-gris-dog-photos-660x450.jpg
000014.jpg,https://alchetron.com/cdn/chien-gris-53c6edc6-7fd2-49dc-b268-4070bd92319-resize-750.jpeg
000015.jpg,http://www.easypetmd.com/sites/default/files/Chien%20Gris.JPG
000016.jpg,https://www.sccpre.cat/mypng/detail/51-513060_chien-gris-dog.png
000017.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-gris-dog-breed.jpg
000018.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-gris-chien-gris-breed.jpg
000019.jpg,http://www.dogwallpapers.net/wallpapers/chien-gris-dog-wallpaper.jpg
000020.jpg,https://www.chiens-de-france.com/photo/chiens/2012_07/chiens-Braque-de-Weimar-13d205a5-6bbd-c5c4-49dc-cc8a68041d60.jpg
000021.jpg,https://www.dogbreedinfo.com/images31/ChiengrisExtinctDogBreedInfoDrawing1.jpg
000022.jpg,https://cdn.webshopapp.com/shops/11940/files/191130401/dogs-companion-lit-pour-chien-gris-granit-coton.jpg
000023.jpg,https://media.ooreka.fr/public/image/3-307701-4037-full-14352555.jpg
000024.jpg,https://previews.123rf.com/images/sgcallaway1994/sgcallaway19941201/sgcallaway1994120100001/12113157-petit-chien-gris-dans-l-%C3%A9tablissement-l-automne.jpg
000025.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-gris-dog-food-750x450.jpg
000026.jpg,https://previews.123rf.com/images/goldfinch4ever/goldfinch4ever1707/goldfinch4ever170700060/83228926-chien-gris-en-fait-d%C3%A9sactiv%C3%A9-trois-jambes-mais-vous-ne-pouvez-pas-vraiment-le-voir-ici-.jpg
000027.jpg,http://www.alerte-animaux-perdus.fr/fonctions/timthumb/timthumb.php?src=_upload_photos/2017/08/A-5991c5a36fdfc.png&h=255&w=255
000028.jpg,https://i2.cdscdn.com/pdt2/2/8/3/1/700x700/kar4016598600283/rw/escalier-pour-chien-gris-43.jpg
000029.jpg,https://media.ooreka.fr/public/image/3-305967-2415-full-13050159.jpg
000030.jpg,https://i2.cdscdn.com/pdt2/9/5/8/1/1200x1200/tem8478626230958/rw/tempsa-manteau-mignon-pour-chien-gris-s.jpg
000031.jpg,https://images-na.ssl-images-amazon.com/images/I/81TRHi2cmyL._SL1500_.jpg
000032.jpg,https://images-na.ssl-images-amazon.com/images/I/61tS4p9D-dL._SY355_.jpg
000033.jpg,https://cdn.imgbin.com/10/5/1/imgbin-chihuahua-chien-gris-puppy-dog-breed-toy-dog-grey-puppy-W79UGU5JmUMW9wfvxRH4xcb2n.jpg
000034.jpg,https://www.media-rdc.com/medias/0aa4cbb9e89c338791df3bab91d46934/p_580x580/muselieres-chien-gris-pour-animal-de-compagnie-mouth-cover-moustiques.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Bloodhound_red_black_pigmented.jpg/320px-Bloodhound_red_black_pigmented.jpg
000036.jpg,http://www.aubry-gaspard.com/client/gfx/photos/produit/zoom/DAN2821C_153832.jpg
000037.jpg,https://comps.canstockphoto.fr/d%C3%A9braill%C3%A9-hybride-chien-gris-banque-de-photographie_csp30479502.jpg
000038.jpg,https://www.chiens-de-france.com/photo/chiens/2011_12/chiens-Braque-de-Weimar-c478f258-2b70-52e4-31ee-01e3e2b80054.jpg
000039.jpg,http://www.dogwallpapers.net/wallpapers/chien-gris-photo.jpg
000040.jpg,https://www.gifi.fr/media/catalog/product/cache/1/image/1000x/9df78eab33525d08d6e5fb8d27136e95/8/1/814524.jpg
000041.jpg,https://www.thesource.ca/medias/8038195-A-mediaConversion-original-1-mediaConversion-640-x-480-0?context=bWFzdGVyfGltYWdlc3wyOTM3OXxpbWFnZS9qcGVnfGltYWdlcy9oMzYvaDNkLzg4MjU5MTU1NzIyNTQuanBnfDk2MjVjMTFjZWQzMzVlNjc1YzgzYjliMjQ2ZjQyZDUzYTY2MTA0ZTdlZmI3ZWRmNGMwYTZjNzNjMDM5MTlhYjI
000042.jpg,https://www.bigbao.fr/5356-big_default/grand-coussin-chien-gris.jpg
000043.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-gris-dog-temperament2-300x200.jpg
000044.jpg,https://www.animauxsante.com/wp-content/uploads/2017/client/gfx/utilisateur/Image/Braque%20de%20Weimar.jpg
000045.jpg,https://previews.123rf.com/images/ashva/ashva1709/ashva170900016/86301830-gros-chien-gris-court-en-avant-%C3%A0-travers-l-herbe-grise-irish-wolfhound.jpg
000046.jpg,https://images-na.ssl-images-amazon.com/images/I/61jkQvIFjJL._SX466_.jpg
000047.jpg,https://cdn.shopify.com/s/files/1/0962/3476/products/IMG_3503_575x.jpg?v=1560444218
000048.jpg,https://cdn.webshopapp.com/shops/11940/files/147886601/dogs-companion-lit-pour-chien-gris-clair-superlarg.jpg
000049.jpg,https://wamiz.com/uploads/images/chiot%20braque%20de%20weimar.jpg
000050.jpg,https://previews.123rf.com/images/wildstrawberry/wildstrawberry1706/wildstrawberry170600015/80467369-fille-habille-un-foulard-bleu-sur-un-chien-chien-gris-afghan-dans-une-%C3%A9charpe-le-concept-de-femmes-de-.jpg
