image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Fran%C3%A7ais_noir_et_blanc.JPG
000002.jpg,https://www.dogbreedplus.com/dog_breeds/images/chien-francais-blanc-et-noir.jpg.jpg
000003.jpg,http://www.dogwallpapers.net/wallpapers/chien-fran%D1%81ais-blanc-et-noir-dog-wallpaper.jpg
000004.jpg,http://www.easypetmd.com/sites/default/files/Chien%20Francais%20Blanc%20et%20Noir_0.jpg
000005.jpg,http://www.dogwallpapers.net/wallpapers/cute-grand-anglo-fran%C3%A7ais-blanc-et-noir-dog-photo.jpg
000006.jpg,http://www.easypetmd.com/sites/default/files/Chien%20Francais%20Blanc%20et%20Noir%20(1)_0.jpg
000007.jpg,https://i.ytimg.com/vi/mqsUm4NtQGA/hqdefault.jpg
000008.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Noir-dog.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Francais-Blanc-et-Noir-2.jpg
000010.jpg,https://i.pinimg.com/originals/f9/c5/ed/f9c5ed0e5d5c1488f527f9b746e46ca0.jpg
000011.jpg,https://images.wagwalkingweb.com/media/breed/chien-francais-blanc-et-noir/hero/Chien-Francais-Blanc-et-Noir.jpg
000012.jpg,https://i.pinimg.com/236x/2a/8a/17/2a8a17dea9394273a779b239f84a57c0--vii-hound-dog.jpg
000013.jpg,http://www.dogwallpapers.net/wallpapers/cute-chien-fran%D1%81ais-blanc-et-noir-photo.jpg
000014.jpg,https://www.mutuelleanimaux.fr/sites/default/files/styles/panoramique_programmes/public/animaux/francais-blanc-noir-chien-francais-blanc-noir.jpeg?itok=TXUXVCld
000015.jpg,http://www.dutch-stafford.com/Site_C/Chien%20Francais%20Blanc%20et%20Noir/francais_blanc_noir.jpg
000016.jpg,https://c8.alamy.com/comp/PFPF1P/profile-headshot-of-a-chien-francais-blanc-et-noir-dog-PFPF1P.jpg
000017.jpg,https://www.ukcdogs.com/images/breeds/chein-francais-blanc-et-noir.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Grand_anglo_francais_noir.jpg
000019.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Bluetick-Coonhound-1.jpg
000020.jpg,https://images-na.ssl-images-amazon.com/images/I/41AfsxbxFqL._SX331_BO1,204,203,200_.jpg
000021.jpg,https://i.pinimg.com/originals/d0/23/59/d02359480990585e6911a17a5436cbeb.jpg
000022.jpg,https://i.ytimg.com/vi/5_wsmX0OFss/hqdefault.jpg
000023.jpg,http://breedinfo.ru/uploads/posts/2015-12/1_chien_francais_blanc_et_noir.jpg
000024.jpg,https://www.europetnet.com/images/dummy-dog.jpg
000025.jpg,http://www.fci.be/Nomenclature/Illustrations/220g06.jpg
000026.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Noir-dog-temperament.jpg
000027.jpg,https://www.siteduchien.com/images/races_de_chien/F/francais_blanc_noir.jpg
000028.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/great_anglo_francais_white_and_black_hound/great_anglo_francais_white_and_black_hound_1.jpg
000029.jpg,https://afaccc03.pagesperso-orange.fr/images/chien%20courant%20france/francais%20(1).jpg
000030.jpg,https://eleveur.achetermonchien.com/sites/default/files/styles/breed_image_list_large_watermark/public/races/photos/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Noir-8828.jpg?itok=VQM8WPqD
000031.jpg,https://i.pinimg.com/originals/db/c0/76/dbc076e7cdaf57fa26f086805fdb44e7.jpg
000032.jpg,https://c8.alamy.com/comp/JAJJK5/of-big-anglo-french-white-black-scent-houndadult-animalspack-JAJJK5.jpg
000033.jpg,https://www.jekca.fr/image/cache/catalog/New%20Product%20Photos/Sculptor/19animals/dogs/23frenchbull01/sculptor/frenchbull01sm4_d1-207x207.jpg
000034.jpg,https://media.ooreka.fr/public/image/3-309191-6183-full-14479029.jpg
000035.jpg,https://as1.ftcdn.net/jpg/00/37/54/22/500_F_37542264_VIfMIU1cQD7hCMrwPEZ6vzSIAOWhyXMK.jpg
000036.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/chien_francais_tricolore/chien_francais_tricolore_1.jpg
000037.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-chien-anglofranaise-breed.jpg
000038.jpg,https://images-na.ssl-images-amazon.com/images/I/71V5%2BWJuW-L._SX425_.jpg
000039.jpg,https://www.chassons.com/wp-content/uploads/2015/06/3Francais-BN_Cecile-Goutorb.jpg
000040.jpg,http://www.apagi.fr/media/filer_public/c2/71/c2712cd7-59dc-4fd7-a30d-9c2f384db819/pongo-chien-x-anglo-francais-noir-mouchetee-blanc-4848-1.jpeg
000041.jpg,https://www.centrale-canine.fr/sites/default/files/styles/race_top_image_1346x540/public/2018-02/Francais%20blanc%20et%20noir.jpg?itok=3DDfW3EJ
000042.jpg,http://www.apagi.fr/media/filer_public/db/e4/dbe4daae-5397-4a85-97b5-8078f8222b36/gouache-chien-x-braque-francais-blanc-mouchet-eacute-et-noir-4906-1.jpeg
000043.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/chien-francais-blanc-et-noir200_1_orig.png
000044.jpg,https://chiens.photos/wp-content/uploads/2017/08/bouledogue-francais-blanc-et-noir.jpe
000045.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Noir-dog-breed.jpg
000046.jpg,https://eleveur.achetermonchien.com/sites/default/files/styles/breed_image_list_large_watermark/public/races/photos/Grand-Anglo-Fran%C3%A7ais-Blanc-et-Noir-8829.jpg?itok=CUg7OWSN
000047.jpg,https://c8.alamy.com/compfr/pfrwgn/anglo-francais-grand-chien-blanc-et-noir-side-view-pfrwgn.jpg
000048.jpg,https://www.centrale-canine.fr/sites/default/files/styles/race_characteristic_562x562/public/2018-06/GRAND%20ANGLO%20FRANCAIS%20BLANC%20ET%20NOIR%20CATACTERIQTIQUES.png?itok=3CKnH8tg
000049.jpg,https://i.pinimg.com/originals/1d/12/30/1d12302d4becb8848eacc310b9d977ed.jpg
000050.jpg,https://images.ctfassets.net/w00x6p5qkejz/2Pgz09LVCogcosksCqkago/950661e72361bde701ccdfb7e0eedc14/Bavarian_Mountain_Hound_B_W_Small_File.png
