image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/51i8P4vIFlL._SX355_.jpg
000002.jpg,http://www.dogzone.com/images/breeds/chien-francais-blanc-et-orange.jpg
000003.jpg,http://www.dogwallpapers.net/wallpapers/chien-francais-blanc-et-orange-dog-wallpaper.jpg
000004.jpg,http://www.easypetmd.com/sites/default/files/Chien%20Francais%20Blanc%20et%20Orange_0.jpg
000005.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/A-Group-of-Chien-Fran%C3%A7ais-Blanc-et-Orange-Dogs.jpg
000006.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Orange-dog-breed.jpg
000007.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Orange-dog-food1-300x214.jpg
000008.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-picture-of-funny-scottish-deerhound-dog-and-beautiful-funny-breed.jpg
000009.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Chien-Fran%C3%A7ais-Blanc-et-Orange-Close-Up-Pic.jpg
000010.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-chien-francais-tricolore-breed.jpg
000011.jpg,https://images.wagwalkingweb.com/media/breed/chien-francais-blanc-et-orange/hero/Chien-Francais-Blanc-et-Orange.jpg
000012.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Orange-dog-food2-300x200.jpg
000013.jpg,https://img.chien.com/img/races-de-chiens/447_big-grand-anglo-francais-blanc-et-orange.jpg
000014.jpg,https://alchetron.com/cdn/grand-anglo-franais-blanc-et-orange-38f6e76d-0232-4fd4-ad47-a0f45871d6e-resize-750.jpeg
000015.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Orange-dog.jpg
000016.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/francais-blanc-et-orange-3.jpg
000017.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-dic-breed.jpg
000018.jpg,https://images-na.ssl-images-amazon.com/images/I/413mOkNEtvL._SX331_BO1,204,203,200_.jpg
000019.jpg,http://www.dogwallpapers.net/wallpapers/chien-francais-blanc-et-orange-photo.jpg
000020.jpg,https://images-na.ssl-images-amazon.com/images/I/51SgK%2BnyjsL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_.jpg
000021.jpg,https://i.pinimg.com/originals/da/ff/89/daff8982d7f90687e2adb3cb47d864d0.jpg
000022.jpg,https://www.europetnet.com/images/dummy-dog.jpg
000023.jpg,https://www.wikichien.fr/wp-content/uploads/sites/4/2015/09/breed_picture-100157.png
000024.jpg,https://c8.alamy.com/comp/J9P1AJ/dogsgrand-anglo-francais-tricoloregrand-anglo-francais-blanc-et-orangefight-J9P1AJ.jpg
000025.jpg,https://www.centrale-canine.fr/sites/default/files/styles/race_top_image_1346x540/public/2018-06/GRAND%20ANGLO%20FRANCAIS%20BLANC%20ET%20ORANGE%20HEADER.jpg?itok=OI2U_1NP
000026.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-chien-frandais-blanc-et-noir-dog-breed.jpg
000027.jpg,http://www.dutch-stafford.com/Site_C/Chien%20Francais%20Blanc%20et%20%20Orange/Orange.jpg
000028.jpg,https://soschihuahua.com/wp-content/uploads/2019/07/francais-blanc-et-orange-400x400.jpg
000029.jpg,https://images.our-assets.com/fullcover/2000x/9786133992375.jpg
000030.jpg,https://chiens.photos/wp-content/uploads/2017/07/photo-grand-anglo-francais-blanc-et-orange-4-8.jpg
000031.jpg,https://upload.chien.com/img_global/4-328-francais-blanc-et-orange/_light-365088--.jpg
000032.jpg,https://images-na.ssl-images-amazon.com/images/I/51AACrSAkkL._UX679_.jpg
000033.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Blanc-et-Orange-dog3-300x220.jpg
000034.jpg,https://afaccc03.pagesperso-orange.fr/images/chien%20courant%20france/francais%20(1).jpg
000035.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Chien-Francais-Tricolore.jpg
000036.jpg,https://c8.alamy.com/compfr/x42nwe/grand-anglo-francais-blanc-et-orange-grand-anglo-francais-ou-chien-blanc-et-orange-homme-standing-in-field-x42nwe.jpg
000037.jpg,https://c8.alamy.com/compfr/x224ph/les-chiensgrand-anglo-francais-tricoloregrand-anglo-francais-blanc-et-orange-lutte-x224ph.jpg
000038.jpg,https://www.chiens-de-france.com/photo/chiens/2009_03/chiens-Francais-blanc-et-orange-27c6ef7f-8be9-d9e4-65d9-148fedf6bd7e.jpg
000039.jpg,https://i3.cpcache.com/merchandise/190_300x300_Front_Color-Black.jpg?Size=Small&AttributeValue=NA&region={%22name%22:%22FrontCenter%22,%22width%22:10,%22height%22:10,%22alignment%22:%22TopCenter%22,%22orientation%22:0,%22dpi%22:100,%22crop_x%22:0,%22crop_y%22:0,%22crop_h%22:1000,%22crop_w%22:1000,%22scale%22:0,%22template%22:{%22id%22:60586205,%22params%22:{}}}&Filters=[{%22name%22:%22background%22,%22value%22:%22ddddde%22,%22sequence%22:2}]
000040.jpg,http://hounddogsdrule.com/wp-content/Gallery/Chien-Francais-Blanc-et-Orange/Chien-Francais-Blanc-et-Orange-posing.jpg
000041.jpg,https://www.faccc.fr/im/actu/chien-courant-de-la-vallee-de-la-save.jpg
000042.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-rare-dog-breeds-print.jpg
000043.jpg,https://rlv.zcache.co.uk/chien_francais_blanc_et_orange_dog_love_bumper_sticker-r5d463c2fed4b4f47b43dfc9cb6f5e11c_v9wht_8byvr_307.jpg
000044.jpg,https://i.pinimg.com/236x/03/74/e4/0374e4bd9f41404efbbc385febb41ffa--an-elephant-scotch.jpg
000045.jpg,https://www.mutuelleanimaux.fr/sites/default/files/styles/panoramique_programmes/public/animaux/anglo-francais-tricolore-chien-francais-tricolore.jpg?itok=VqXXXnqZ
000046.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/B6boTFizjOJciyzftC2qQw/ls.jpg
000047.jpg,http://www.pro-chenil.com/img/adopter-un-chien-de-la-race-francais-blanc-et-orange.jpg
000048.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Chien-Fran%C3%A7ais-Blanc-et-Orange.jpg
000049.jpg,https://c8.alamy.com/compfr/gda1fd/grand-anglo-francais-blanc-et-orange-grand-anglo-francais-ou-chien-blanc-et-orange-homme-standing-in-field-gda1fd.jpg
000050.jpg,https://chiens.photos/wp-content/uploads/2017/04/photo-grand-anglo-francais-blanc-et-orange-chiot-3-8.jpg
