image,source
000001.jpg,https://static.wamiz.fr/images/animaux/chiens/large/francais-tricolore.jpg
000002.jpg,https://www.wikichien.fr/wp-content/uploads/sites/4/2015/09/breed_picture-100192.png
000003.jpg,https://static.wamiz.fr/images/animaux/chiens/large/grand-anglo-francais-tricolore.jpg
000004.jpg,https://images.wagwalkingweb.com/media/breed/chien-francais-tricolore/hero/Chien-Francais-Tricolore.jpg
000005.jpg,https://media.ooreka.fr/public/image/3-309189-6159-full-13578371.jpg
000006.jpg,http://img.xooimage.com/files74/6/e/f/chien_francais_tr...ore_0019-2d62fa3.jpg
000007.jpg,http://www.dogzone.com/images/breeds/chien-francais-tricolore.jpg
000008.jpg,http://www.easypetmd.com/sites/default/files/Chien%20Francais%20Tricolore_0.jpg
000009.jpg,https://media.ooreka.fr/public/image/3-309189-6161-full-13578377.jpg
000010.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Chien-Fran%C3%A7ais-Tricolore-in-the-Forest.jpg
000011.jpg,https://i.pinimg.com/originals/e8/dd/da/e8ddda671c124e354dc06e011d0f1120.jpg
000012.jpg,https://media.ooreka.fr/public/image/3-308529-6185-full-13576095.jpg
000013.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/a/a2/8_chien_francais_tricolore.jpg/revision/latest?cb=20171226171540
000014.jpg,https://images-na.ssl-images-amazon.com/images/I/51YuN3uA0WL.jpg
000015.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chien-le-beagle-breed.jpg
000016.jpg,https://img.chien.com/img/races-de-chiens/329_big-francais-tricolore.jpg
000017.jpg,http://www.dogwallpapers.net/wallpapers/chien-francais-tricolore-dog-wallpaper.jpg
000018.jpg,https://static.wamiz.fr/images/animaux/chiens/large/anglo-francais-de-petite-venerie.jpg
000019.jpg,https://images-na.ssl-images-amazon.com/images/I/51LRCQ2dP1L._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4a/MeuteBourbansais.jpg
000021.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Chien-Fran%C3%A7ais-Tricolore-dog-images.jpg
000022.jpg,https://www.royalcanin.fr/wp-content/uploads/breed_picture-100190.png
000023.jpg,https://c8.alamy.com/comp/PFRPK6/tan-and-white-chien-francais-tricolore-french-tricolour-hound-with-black-spots-on-chest-PFRPK6.jpg
000024.jpg,https://www.fond-ecran-image.com/galerie-membre/chien-francais-tricolore/chasse-a-cour-bourbansais.jpg
000025.jpg,https://c8.alamy.com/compfr/j9p1aj/les-chiensgrand-anglo-francais-tricoloregrand-anglo-francais-blanc-et-orange-lutte-j9p1aj.jpg
000026.jpg,https://fscomps.fotosearch.com/compc/AGE/AGE063/grand-anglo-francais-tricolore-banque-de-photographies__ys1-1796866.jpg
000027.jpg,https://www.dogzone.com/images/breeds/chien-francais-blanc-et-noir.jpg
000028.jpg,https://alchetron.com/cdn/chien-franais-tricolore-ea43b7f5-196d-4a61-ac67-89fb66ce256-resize-750.jpeg
000029.jpg,https://boutique-muselieres-pour-chiens.fr/images/stories/breeds/museliere-pour-francais-tricolore.jpg
