image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Fox_terrier_chileno.JPG
000002.jpg,http://www.easypetmd.com/sites/default/files/Chilean%20Fox%20Terrier.JPG
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Chilean-Fox-Terrier.jpg
000004.jpg,https://www.dogzone.com/images/breeds/chilean-terrier-800.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Chilean-Fox-Terrier-Puppy.jpg
000006.jpg,https://dogsbreedusa.online/chilean-fox-terrier/ratonero/
000007.jpg,http://www.petpaw.com.au/wp-content/uploads/2014/10/Alert-Chilean-Fox-Terrier-Slider.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Chilean-Fox-Terrier-Images.jpg
000009.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/09/Chilean-Fox-Terrier-Pictures.jpg
000010.jpg,https://www.thisischile.cl/wp-content/uploads/2017/11/terriernota.png
000011.jpg,http://www.petpaw.com.au/wp-content/gallery/chilean-fox-terrier/chilean-fox-terrier-7.jpg
000012.jpg,https://i.pinimg.com/474x/4a/6c/9a/4a6c9a7206b2e3e9f97da4e2594cef1b--smooth-fox-terriers-toy-fox-terriers.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Chilean-Fox-Terrier-Dog.jpg
000014.jpg,https://images.wagwalkingweb.com/media/breed/chilean-fox-terrier/hero/Chilean-Fox-Terrier.jpg
000015.jpg,https://www.iams.com/breedselector/images/4843d9c54a2b839ed33fefd99e286139.jpg
000016.jpg,https://images-na.ssl-images-amazon.com/images/I/51MPN95nBdL.jpg
000017.jpg,https://www.trzcacak.rs/myfile/detail/60-605115_photo-of-fanta-chilean-fox-terrier.png
000018.jpg,https://banner2.kisspng.com/20180420/rle/kisspng-jack-russell-terrier-smooth-fox-terrier-miniature-5ad9fea81813c8.5561613615242359440986.jpg
000019.jpg,https://cdn.fotofits.com/petzlover/gallery/img/l/chilean-fox-terrier-514798.jpg
000020.jpg,https://www.thisischile.cl/wp-content/uploads/2017/11/notaperritos.png
000021.jpg,https://images-na.ssl-images-amazon.com/images/I/41aDIPgEOoL._SX466_.jpg
000022.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Bodeguero_young.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Two_Fox_Terriers.jpg/440px-Two_Fox_Terriers.jpg
000024.jpg,https://image.shutterstock.com/image-illustration/chilean-fox-terrier-dog-breed-600w-1074088706.jpg
000025.jpg,https://lh3.googleusercontent.com/proxy/oH7eVoVbqaf15GpyHumrsMJKLv9HJFDxns4AFmjwhuklw_6aUiBGzWO3bePwq2RdOChiwCwl7SzBZLJrxirWChIPZyrUaAzqgurtTmhkN-vQqqkQ6M48ymaGLOBUa3Ln1sF6yUJMkxoPK9Scsnc=p
