image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Chinese_Chongqing_Dog_H%C3%BCndin.jpg
000002.jpg,http://www.dogzone.com/images/breeds/chinese-chongqing-dog.jpg
000003.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2018/10/Chinese-Chongqing-Dog-1.jpg?resize=750%2C490
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Chongqing-Dog.jpg
000005.jpg,https://www.dogbreedinfo.com/images31/ChineseChongqingDogKarma14MonthsOld3.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Chinese-Chongqing-Dog-Pictures.jpg
000007.jpg,https://i.ytimg.com/vi/M1-iEwam9bA/hqdefault.jpg
000008.jpg,https://i.pinimg.com/originals/81/01/f1/8101f1288623c78b4cb00d2e605f406d.jpg
000009.jpg,https://vignette.wikia.nocookie.net/dogs-cats/images/9/9b/Chinese_Chongqing_Dog_%281%29.jpg/revision/latest?cb=20150218000105
000010.jpg,https://i.pinimg.com/236x/28/e0/88/28e088ac81ab3ebb15929b0508bffc78.jpg
000011.jpg,https://www.dogzone.com/images/breeds/chinese-chongqing-800.jpg
000012.jpg,https://www.dogzone.com/images/breeds/chinese-chongqing-puppy.jpg
000013.jpg,https://i.ytimg.com/vi/WyJC8KAVWv0/maxresdefault.jpg
000014.jpg,https://www.dogbreedinfo.com/images20/ChineseChongqingDogBreedingCenter7.JPG
000015.jpg,http://www.cqdogs.com/images/Chongqing%20Dog%20tied%20to%20tree.jpg
000016.jpg,https://dogsbreedusa.online/chinese-chongqing-dog/sierra-exif-jpeg-2/
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Chinese_Chongqing_Dog_R%C3%BCde.jpg
000018.jpg,http://www.chongqingdog.com/images/ChongqingDog_Info4.jpg
000019.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100371.jpg
000020.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Chinese-Chongqing-Dog-Photos.jpg
000021.jpg,https://mk0cesarswaykigy4yk3.kinstacdn.com/wp-content/uploads/2019/03/Chinese-Breed.jpg
000022.jpg,https://upload-7aa8803d6279fdfe59eb2723b1668e74.commondatastorage.googleapis.com/iblock/2c0/2c0c04c74cb4adc52b7372425d84bc91/chongqing_dog.jpg
000023.jpg,https://previews.123rf.com/images/niknikpo/niknikpo1805/niknikpo180500006/101884489-chinese-chongqing-dog-rare-breed-portrait-close-up.jpg
000024.jpg,http://www.dogwallpapers.net/wallpapers/chinese-chongqing-dog-wallpaper.jpg
000025.jpg,https://i.pinimg.com/originals/5b/e0/ce/5be0ced4d89846a239e93c312cb13542.jpg
000026.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/edited/chinese-chongqing-dog300.png?1499107561
000027.jpg,http://1.bp.blogspot.com/-82DR9CscLBw/Uy3RMwD33NI/AAAAAAAABcE/Ex7YiSB0I_I/s1600/ooci4.jpg
000028.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ch/chinese-open-breed.jpg
000029.jpg,https://pbs.twimg.com/profile_images/817513181883015170/hXycGKUu_400x400.jpg
000030.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Chinese-Chongqing-Dog-on-th-Picnic-300x300.jpg
000031.jpg,http://www.cqdogs.com/images/CQD%20play.jpg
000032.jpg,https://modernmolosser.com/wp-content/uploads/2015/12/CQ-Puppies.jpg
000033.jpg,https://vippuppies.com/wp-content/uploads/2016/11/Chinese-Chongqing-Dog.jpg
000034.jpg,https://i.pinimg.com/originals/7b/5c/e2/7b5ce20fdfadeab9f0eb4e3e67112088.jpg
000035.jpg,https://www.dogbreedinfo.com/images31/ChineseChongqingDogKeyser1YearOld1.jpg
000036.jpg,http://www.cqdogs.com/images/Chongqing%20Dog%20Side%20Pose.jpg
000037.jpg,https://alchetron.com/cdn/chinese-chongqing-dog-5e91c931-d206-433d-9170-b7db10673fb-resize-750.jpg
000038.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/2b/a5/2ba5e0abb961def0b0e12cab494de893.jpg
000039.jpg,https://i.ytimg.com/vi/SQf7uHfqdfY/hqdefault.jpg
000040.jpg,https://66.media.tumblr.com/c39716616f4f142d686f1f99d541939f/tumblr_osmbrtwD5H1voe2ymo1_400.jpg
000041.jpg,https://thumbs.dreamstime.com/z/chongqing-chinese-dog-isolated-black-background-studio-chongqing-dog-isolated-black-background-studio-125653093.jpg
000042.jpg,http://3.bp.blogspot.com/_Pw6OL7nh4yE/TO-b83qEdzI/AAAAAAAAAg8/hr6g5zysCUA/s1600/111-1159_IMG.jpg
000043.jpg,https://www.livelife.guide/wp-content/uploads/2018/08/3639775635_f5e692caec_z.jpg
000044.jpg,https://lh3.googleusercontent.com/D6-wtGxX8Y-OShufCyFUpTFRJK1Ldki4_GwFJ2CoEzLc_av9kJpOGJWOU6eppiJ9yMvAtHzR2g=w1080-h608-p-no-v0
