image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Chinese_Imperial_Dog.jpg
000002.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Dog.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Dogs.jpg
000004.jpg,https://images.wagwalkingweb.com/media/breed/chinese-imperial-dog/hero/Chinese-Imperial-Dog.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Dog-Pictures.jpg
000006.jpg,https://www.puppyfind.com/breed/chinese_imperial/m_b0z87s00nu.jpg
000007.jpg,https://www.dogbreedinfo.com/images29/ChineseImperialShihTzuTinyToyTeaCupBlackDogApple2YearsOld3.JPG
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Dog-Images.jpg
000009.jpg,https://dogsbreedusa.online/wp-content/uploads/2018/08/Teacup-Shih-Tzu.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/1AKC_Pekingese_Dog_Show_2011.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Imperial-Shih-Tzu.jpg
000012.jpg,https://puppytoob.com/wp-content/uploads/2018/02/Shih-Tzu-750x500.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Dog-Puppies.jpg
000014.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Chinese-Imperial-Dog1-300x300.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Dog-Full-Grown.jpg
000016.jpg,https://www.dogbreedinfo.com/images28/ChineseImperialDogPurebredDogIzzyBitsyRoberts9MonthsOld4Pounds1.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Chinese-Imperial-Chin-Dog.jpg
000018.jpg,https://www.dogbreedinfo.com/images29/ChineseImperialShihTzuTinyToyTeaCupBlackDogApple2YearsOld4.JPG
000019.jpg,https://www.smalldogplace.com/images/hanna-littlegirl4.jpg
000020.jpg,https://www.smalldogplace.com/images/Hanna-Hazel5.jpg
000021.jpg,https://i.pinimg.com/originals/1f/d4/ae/1fd4ae086444192e38f7d2c3b6b99923.jpg
000022.jpg,http://www.dogwallpapers.net/wallpapers/lovely-chinese-imperial-dog-photo.jpg
000023.jpg,https://www.straitstimes.com/sites/default/files/styles/article_pictrure_780x520_/public/articles/2018/02/19/hz-pekingese-180219.jpg?itok=-yrGIZmr&timestamp=1519031497
000024.jpg,https://banner2.kisspng.com/20180616/bow/kisspng-shih-tzu-chinese-imperial-dog-little-lion-dog-hava-chien-5b251648a10169.3122303115291571926595.jpg
000025.jpg,https://www.rompinlilshihtzu.com/pictures/bitsy-mainpage.jpg
000026.jpg,https://get.pxhere.com/photo/white-puppy-dog-cute-portrait-mammal-grey-vertebrate-dog-breed-lhasa-apso-doggy-shih-tzu-long-haired-havanese-dog-like-mammal-carnivoran-schnoodle-cavachon-chinese-imperial-dog-lowchen-1050774.jpg
000027.jpg,https://www.dogbreedinfo.com/images27/ChineseImperialDogPurebrDIzzyBitsyRobertsPuppy5Months2.jpg
000028.jpg,https://live.staticflickr.com/8306/7985881616_345de8e9b9_b.jpg
000029.jpg,https://www.rompinlilshihtzu.com/pictures/Camie_Kitty-07.jpg
000030.jpg,https://get.pxhere.com/photo/dog-mammal-vertebrate-dog-breed-lhasa-apso-shih-tzu-dog-like-mammal-carnivoran-dog-breed-group-chinese-imperial-dog-57552.jpg
000031.jpg,http://www.goldendoodlepuppieshq.com/wp-content/uploads/2014/05/Chinese-Imperial2.jpg
000032.jpg,https://i.ytimg.com/vi/WssRPxCliyM/hqdefault.jpg
000033.jpg,https://cdn.imgbin.com/23/8/23/imgbin-dog-breed-japanese-chin-chinese-imperial-dog-tibetan-spaniel-puppy-puppy-05AAnNRGUTtcKr5Ke6HwxD9x0.jpg
000034.jpg,https://banner2.kisspng.com/20180719/sow/kisspng-chihuahua-puppy-chinese-imperial-dog-dog-breed-jac-hunde-5b50e3510a56c6.2059303615320277290424.jpg
000035.jpg,https://get.pxhere.com/photo/puppy-dog-mammal-vertebrate-dog-breed-lhasa-apso-shih-tzu-pekingese-havanese-dog-like-mammal-carnivoran-dog-breed-group-schnoodle-dog-crossbreeds-tibetan-spaniel-chinese-imperial-dog-179484.jpg
000036.jpg,https://cdn.imgbin.com/13/21/8/imgbin-affenpinscher-chinese-imperial-dog-shih-tzu-griffon-bruxellois-dog-breed-tzu-q9C94EEY6vcAwhabaw5sJtMwi.jpg
000037.jpg,https://www.dogbreedinfo.com/images29/ChineseImperialShihTzuTinyToyTeaCupBlackDogApple2YearsOld9.JPG
000038.jpg,http://r.ddmcdn.com/s_f/o_1/APL/uploads/2014/10/5-shih-tzu-personality-traits0.jpg
