image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/chinook-dog-breed-pictures/seniorsitting-9.jpg
000002.jpg,http://cdn.akc.org/content/article-body-image/chinook_body.jpg
000003.jpg,https://images.wagwalkingweb.com/media/breed/chinook/appearance/chinook.png
000004.jpg,http://cdn.akc.org/content/hero/chinook_hero.jpg
000005.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23232_chinook-460x290.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234558/Chinook-On-White-03.jpg
000007.jpg,https://www.petguide.com/wp-content/uploads/2013/04/chinook1.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Chinook-dog-2.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27162111/Chinook-Puppy-2.jpg
000010.jpg,https://www.dogbreedinfo.com/images15/ChinookHurricaneKodiacBear1.JPG
000011.jpg,http://www.easypetmd.com/sites/default/files/Chinook%20Dog%20(3).jpg
000012.jpg,https://www.petful.com/wp-content/uploads/2013/09/Chinook.jpg
000013.jpg,https://www.petguide.com/wp-content/uploads/2013/04/chinook-2.jpg
000014.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f8/d9ad10c79311e09b940050568d6ceb/file/Chinook-5-645km071411.jpg
000015.jpg,https://vetstreet.brightspotcdn.com/dims4/default/164bb09/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F9d%2Fa8%2Ff2e1a45a4ff3a1d2a19c8c37db6c%2FChinook-CallicoonAdjo-645sm21714.jpg
000016.jpg,https://i1.wp.com/puppytoob.com/wp-content/uploads/2018/12/belle_06.01.3.jpg?resize=750%2C488
000017.jpg,https://i.pinimg.com/236x/8f/91/81/8f91810ba75395f8e974145605d10505--rare-breeds-dog-breeds.jpg
000018.jpg,https://dogsaholic.com/wp-content/uploads/2016/06/Chinook-dog-810x536.jpg
000019.jpg,https://d3mjdmsps3shsp.cloudfront.net/media/magpleasure/mpblog/post_thumbnail_file/7/0/cache/4/119bdf99710d9a86013f24c82ab9b2da/70bde3e6bff52d77de5a04e8a8196496.jpg
000020.jpg,https://www.dogalize.com/wp-content/uploads/2018/01/Chinook-dog.jpg
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/02/Chinook-Dog-Images.jpg
000022.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29185831/Chinook.care_.jpg
000023.jpg,http://www.chinookclubofamerica.org/uploads/4/9/4/7/49477275/editor/six-dog-chinook-team-cropped.jpg?1497640906
000024.jpg,https://i.pinimg.com/236x/48/35/3d/48353db1ee278e649431a59de04ca26b.jpg
000025.jpg,http://www.easypetmd.com/sites/default/files/Chinook%20Dog%20(2).jpg
000026.jpg,http://www.desertsolchinooks.com/images/pictures/Kyra/2012/2012.9.10_kyra-beach.jpg
000027.jpg,https://www.animaroo.com/assets/sites/animaroo.com/img/breeds/img/chinook_medium.jpg?1359203646
000028.jpg,https://1.bp.blogspot.com/-1olpmuZq60Q/V-rcoFRmfLI/AAAAAAAAFHg/vczOhdWTtMk6AJO2Yfz6p8XiCfi5S0DlQCLcB/s1600/Chinook-dog.jpg
000029.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/02/Chinook-Dog-Mix.jpg
