image,source
000001.jpg,https://www.dogspot.in/new/breed_engine/images/dog_images/chippiparai2.jpg
000002.jpg,https://i.ytimg.com/vi/oUbtfK3_LC4/maxresdefault.jpg
000003.jpg,https://i.pinimg.com/originals/7f/54/6f/7f546fec30859ce80736be198c5859e0.jpg
000004.jpg,https://i.ytimg.com/vi/6oTaVurnaqY/maxresdefault.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Female_Chippiparai_sitting.jpg
000006.jpg,https://www.dogspot.in/puppies/images/1305971064.jpg
000007.jpg,https://th.thgim.com/news/cities/chennai/dr930d/article25500205.ece/alternates/FREE_660/Karuppi
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Dropping_Ear_Kanni.jpg/392px-Dropping_Ear_Kanni.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Chippiparai-2.jpg
000010.jpg,https://www.kennelsindia.com/root_upld/puppysale/PSD1804788950/t4_29057201709112346.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Images-of-Chippiparai.jpg
000012.jpg,https://tamildogbreeds.com/wp-content/uploads/2017/12/cropped-031be551306c10e64fbcc0fc8163a71b-4.jpg
000013.jpg,https://qph.fs.quoracdn.net/main-qimg-ed9e0d66dc11af88dc81eb45e1f3b467
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Chippiparai-3.jpg
000015.jpg,https://www.kennelsindia.com/root_upld/puppysale/45211/t4_20140714155225.jpg
000016.jpg,https://i.ytimg.com/vi/asVht-SEB_w/maxresdefault.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Chippiparai-Dog.jpg
000018.jpg,http://www.easypetmd.com/sites/default/files/Chippiparai%20(1).jpg
000019.jpg,https://qph.fs.quoracdn.net/main-qimg-fd1654c477d9b591972d368fd3477541
000020.jpg,http://www.dogexpress.in/wp-content/uploads/2016/02/Chippiparai-2.jpg
000021.jpg,https://www.zamroo.com/images/product-images/pets/pets-for-adoption/medium/20171123030533-24464.jpg
000022.jpg,http://www.dogbreedsindia.com/images/breeds/chippiparai.png
000023.jpg,https://tamildogbreeds.com/wp-content/uploads/2018/11/Chippiparai-Dog-breeds-659x445.jpg
000024.jpg,https://www.wikilistia.com/wp-content/uploads/2018/12/Chippiparai-Dog.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chippiparai_head_study.jpg/220px-Chippiparai_head_study.jpg
000026.jpg,https://dogshealthcare.in/wp-content/uploads/2018/03/417627_3305589677436_1970239841_n-e1521203138383.jpg
000027.jpg,https://indiandogbreeds.in/wp-content/uploads/2014/10/Zulu_chippiparai.jpg
000028.jpg,http://www.dogsindia.com/IMAGES/Chippi_Geetha_Pup-HP_11-10-09.jpg
000029.jpg,https://i.ytimg.com/vi/7E8jRSUVxEA/hqdefault.jpg
000030.jpg,https://teja9.kuikr.com/i5/20171006/Chippiparai-Puppies-for-sale-ak_LWBP764502619-1507293643.jpeg
000031.jpg,https://srimaaan.files.wordpress.com/2017/10/rajapalayam-dog.jpg?w=620
000032.jpg,https://i.pinimg.com/originals/77/c6/01/77c60159fcd8a79f89275cc7306625ce.jpg
000033.jpg,https://4.bp.blogspot.com/-7d3RISO5XAA/W7mp4A_KRQI/AAAAAAAAEh8/nPVfynt9MGo8C9EPkKdHN-hTbVMiqGGAACLcBGAs/s1600/chip%2Bpuppy.jpg
000034.jpg,http://1.bp.blogspot.com/-EtIV3xhG6F8/UblDi8I1IFI/AAAAAAAABZE/U9lB86TH98U/s1600/Chipiparai+1.jpg
000035.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Chippiparai-Dog-Images.jpg
000036.jpg,https://www.researchgate.net/profile/Sivaselvam_S_N/publication/313861661/figure/fig1/AS:477137397391360@1490769828313/Chippiparai-male-dog-Fig-2-Chippiparai-female-dog-with-young-stock.png
000037.jpg,https://tamildogbreeds.com/wp-content/uploads/2019/02/Chippiparai-Dog-720x445.jpg
000038.jpg,https://www.zamroo.com/images/product-images/pets/pets-for-adoption/medium/20170911053349-49492.jpg
000039.jpg,https://www.dogspot.in/puppies/images/1363710439.jpg
000040.jpg,https://tuffclassified.com/oc-content/uploads/85517.jpg
000041.jpg,http://www.easypetmd.com/sites/default/files/Chippiparai%20(2).jpg
000042.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Chippiparai-Pictures.jpg
000043.jpg,https://scontent-atl3-1.cdninstagram.com/vp/2e0d9730670c9914211abbf1b470feb4/5DA43111/t51.2885-15/e35/s480x480/60844633_457461141665414_4860491812532163466_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com
000044.jpg,https://content1.jdmagicbox.com/comp/ahmedabad/k8/079pxx79.xx79.160322170752.a8k8/catalogue/pandya-pets-new-c-g-road-chandkheda-ahmedabad-pet-shops-4izgvoh.jpg
000045.jpg,https://dogsbreedsinformation.files.wordpress.com/2014/07/chippiparai-dog-breed.jpg
000046.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Nipper%3B_12_months_old_male_Chippiparai_dog_5.jpg
000047.jpg,https://cdn131.picsart.com/291917607072201.jpg?r1024x1024
000048.jpg,http://3.bp.blogspot.com/-eMqsQKySv5o/UerDsrvsrRI/AAAAAAAAAFc/SAARuCMYrLg/s500/8638_541050499273902_124530965_n.jpg
