image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/41A7S0Hh8sL._SX331_BO1,204,203,200_.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/coton-de-tulear-detail.jpg?bust=1535565553&width=355
000003.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23230_coton-de-tulear-460x290.jpg
000004.jpg,https://img.buzzfeed.com/buzzfeed-static/static/2015-01/21/13/campaign_images/webdr04/16-reasons-the-coton-de-tulear-should-be-your-fav-2-8966-1421865616-17_dblbig.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234218/Coton-de-Tulear-On-White-03.jpg
000006.jpg,http://cdn.akc.org/content/article-body-image/Coton_de_Tulear_Puppy_Laying.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Coton-De-Tulear-2.jpg
000008.jpg,http://www.dogexpress.in/wp-content/uploads/2016/04/coton-de-tulear-1.jpg
000009.jpg,http://www.animalalliancenyc.org/wordpress/wp-content/uploads/MiscPhoto-Coton01.png
000010.jpg,https://www.mvtimes.com/mvt/uploads/2019/01/coton-de-tulear-chien-blanc-femelle-1496325326lJt.jpg
000011.jpg,http://www.petsworld.in/blog/wp-content/uploads/2014/11/Coton.jpg
000012.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/coton-de-tulear-dog-breed-pictures/face-1.jpg
000013.jpg,https://cdn.pixabay.com/photo/2018/09/22/19/26/dog-3695937_960_720.jpg
000014.jpg,https://images-eu.ssl-images-amazon.com/images/I/51ovZTq8aWL.jpg
000015.jpg,http://coton.elevage-faurez.com/photos/IMG_4085.JPG
000016.jpg,https://media.istockphoto.com/photos/coton-de-tulear-dog-picture-id926723644
000017.jpg,https://previews.123rf.com/images/isselee/isselee1101/isselee110100444/8650343-coton-de-tulear-puppy-4-months-old-standing-in-front-of-white-background.jpg
000018.jpg,https://i.pinimg.com/originals/df/e1/ee/dfe1eef5a1ddbe40ea7f577d400d45f8.jpg
000019.jpg,https://livestock.teghakennel.com/wp-content/uploads/2015/03/6421_231596176986224_890912949_n.jpg
000020.jpg,https://images.ctfassets.net/w00x6p5qkejz/502wUG81LGuyAYqkKqAoqi/960c9a358362c3b92270e76856ad454c/Coton_de_Tulear3.png
